_id,year,residential_status,unemployment_rate
1,1992,overall,1.8
2,1993,overall,1.7
3,1994,overall,1.7
4,1995,overall,1.8
5,1996,overall,1.7
6,1997,overall,1.4
7,1998,overall,2.5
8,1999,overall,2.8
9,2000,overall,2.7
10,2001,overall,2.7
11,2002,overall,3.6
12,2003,overall,4
13,2004,overall,3.4
14,2005,overall,3.1
15,2006,overall,2.7
16,2007,overall,2.1
17,2008,overall,2.2
18,2009,overall,3
19,2010,overall,2.2
20,2011,overall,2
21,2012,overall,2
22,2013,overall,1.9
23,2014,overall,2
24,2015,overall,1.9
25,2016,overall,2.1
26,2017,overall,2.2
27,2018,overall,2.1
28,2019,overall,2.3
29,2020,overall,3
30,2021,overall,2.7
31,2022,overall,2.1
32,2023,overall,1.9
