_id,quarter,industry1,industry2,industry3,employment_change
1,1991-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.1
2,1991-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,-1
3,1991-Q1,manufacturing,paper products and publishing,paper products and publishing,0.1
4,1991-Q1,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.3
5,1991-Q1,manufacturing,fabricated metal products,fabricated metal products,0.2
6,1991-Q1,manufacturing,machinery and equipment,machinery and equipment,0.5
7,1991-Q1,manufacturing,electrical products,electrical products,-
8,1991-Q1,manufacturing,electronic products,electronic products,-2.6
9,1991-Q1,manufacturing,medical and precision instruments,medical and precision instruments,-
10,1991-Q1,manufacturing,transport equipment,transport equipment,2.3
11,1991-Q1,manufacturing,other manufacturing industries,other manufacturing industries,-0.1
12,1991-Q1,construction,construction,construction,4.9
13,1991-Q1,services,wholesale and retail trade,wholesale trade,3
14,1991-Q1,services,wholesale and retail trade,retail trade,-
15,1991-Q1,services,"transport, storage and communications","transport, storage and communications",0.7
16,1991-Q1,services,financial services,financial institutions,0.3
17,1991-Q1,services,financial services,insurance,-
18,1991-Q1,services,business and real estate services,business and real estate services,-0.1
19,1991-Q1,services,"community, social and personal services",public administration and education,-0.4
20,1991-Q1,services,"community, social and personal services",public administration,n.a.
21,1991-Q1,services,"community, social and personal services",education,n.a.
22,1991-Q1,services,"community, social and personal services",health and social work,-
23,1991-Q1,services,"community, social and personal services","other community, social and personal services",3.4
24,1991-Q1,others,others,others,-0.2
25,1991-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.2
26,1991-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,-1.4
27,1991-Q2,manufacturing,paper products and publishing,paper products and publishing,0.4
28,1991-Q2,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.5
29,1991-Q2,manufacturing,fabricated metal products,fabricated metal products,-
30,1991-Q2,manufacturing,machinery and equipment,machinery and equipment,0.5
31,1991-Q2,manufacturing,electrical products,electrical products,-0.5
32,1991-Q2,manufacturing,electronic products,electronic products,0.8
33,1991-Q2,manufacturing,medical and precision instruments,medical and precision instruments,-0.2
34,1991-Q2,manufacturing,transport equipment,transport equipment,2.1
35,1991-Q2,manufacturing,other manufacturing industries,other manufacturing industries,-
36,1991-Q2,construction,construction,construction,6.3
37,1991-Q2,services,wholesale and retail trade,wholesale trade,2.7
38,1991-Q2,services,wholesale and retail trade,retail trade,-0.7
39,1991-Q2,services,"transport, storage and communications","transport, storage and communications",0.1
40,1991-Q2,services,financial services,financial institutions,0.2
41,1991-Q2,services,financial services,insurance,0.1
42,1991-Q2,services,business and real estate services,business and real estate services,2.8
43,1991-Q2,services,"community, social and personal services",public administration and education,0.2
44,1991-Q2,services,"community, social and personal services",public administration,n.a.
45,1991-Q2,services,"community, social and personal services",education,n.a.
46,1991-Q2,services,"community, social and personal services",health and social work,0.4
47,1991-Q2,services,"community, social and personal services","other community, social and personal services",2.7
48,1991-Q2,others,others,others,-0.1
49,1991-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.1
50,1991-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,-0.3
51,1991-Q3,manufacturing,paper products and publishing,paper products and publishing,0.1
52,1991-Q3,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.5
53,1991-Q3,manufacturing,fabricated metal products,fabricated metal products,-
54,1991-Q3,manufacturing,machinery and equipment,machinery and equipment,0.1
55,1991-Q3,manufacturing,electrical products,electrical products,-0.2
56,1991-Q3,manufacturing,electronic products,electronic products,-1.4
57,1991-Q3,manufacturing,medical and precision instruments,medical and precision instruments,-0.1
58,1991-Q3,manufacturing,transport equipment,transport equipment,1.6
59,1991-Q3,manufacturing,other manufacturing industries,other manufacturing industries,-0.3
60,1991-Q3,construction,construction,construction,7.4
61,1991-Q3,services,wholesale and retail trade,wholesale trade,1
62,1991-Q3,services,wholesale and retail trade,retail trade,-0.9
63,1991-Q3,services,"transport, storage and communications","transport, storage and communications",1.1
64,1991-Q3,services,financial services,financial institutions,0.2
65,1991-Q3,services,financial services,insurance,0.1
66,1991-Q3,services,business and real estate services,business and real estate services,1.6
67,1991-Q3,services,"community, social and personal services",public administration and education,0.7
68,1991-Q3,services,"community, social and personal services",public administration,n.a.
69,1991-Q3,services,"community, social and personal services",education,n.a.
70,1991-Q3,services,"community, social and personal services",health and social work,-
71,1991-Q3,services,"community, social and personal services","other community, social and personal services",4.5
72,1991-Q3,others,others,others,-
73,1991-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.2
74,1991-Q4,manufacturing,textile and wearing apparel,textile and wearing apparel,0.4
75,1991-Q4,manufacturing,paper products and publishing,paper products and publishing,0.2
76,1991-Q4,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",-
77,1991-Q4,manufacturing,fabricated metal products,fabricated metal products,-0.1
78,1991-Q4,manufacturing,machinery and equipment,machinery and equipment,0.2
79,1991-Q4,manufacturing,electrical products,electrical products,0.1
80,1991-Q4,manufacturing,electronic products,electronic products,-2.3
81,1991-Q4,manufacturing,medical and precision instruments,medical and precision instruments,-
82,1991-Q4,manufacturing,transport equipment,transport equipment,1.3
83,1991-Q4,manufacturing,other manufacturing industries,other manufacturing industries,-0.2
84,1991-Q4,construction,construction,construction,-0.9
85,1991-Q4,services,wholesale and retail trade,wholesale trade,1.3
86,1991-Q4,services,wholesale and retail trade,retail trade,2.3
87,1991-Q4,services,"transport, storage and communications","transport, storage and communications",1.4
88,1991-Q4,services,financial services,financial institutions,0.4
89,1991-Q4,services,financial services,insurance,0.1
90,1991-Q4,services,business and real estate services,business and real estate services,-0.3
91,1991-Q4,services,"community, social and personal services",public administration and education,0.6
92,1991-Q4,services,"community, social and personal services",public administration,n.a.
93,1991-Q4,services,"community, social and personal services",education,n.a.
94,1991-Q4,services,"community, social and personal services",health and social work,-0.2
95,1991-Q4,services,"community, social and personal services","other community, social and personal services",4.6
96,1991-Q4,others,others,others,0.2
97,1992-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.1
98,1992-Q1,manufacturing,textile and wearing apparel,textile and wearing apparel,-0.5
99,1992-Q1,manufacturing,paper products and publishing,paper products and publishing,0.5
100,1992-Q1,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.1
101,1992-Q1,manufacturing,fabricated metal products,fabricated metal products,-
102,1992-Q1,manufacturing,machinery and equipment,machinery and equipment,0.6
103,1992-Q1,manufacturing,electrical products,electrical products,-
104,1992-Q1,manufacturing,electronic products,electronic products,1.5
105,1992-Q1,manufacturing,medical and precision instruments,medical and precision instruments,-1
106,1992-Q1,manufacturing,transport equipment,transport equipment,0.3
107,1992-Q1,manufacturing,other manufacturing industries,other manufacturing industries,-0.2
108,1992-Q1,construction,construction,construction,-1.2
109,1992-Q1,services,wholesale and retail trade,wholesale trade,1.9
110,1992-Q1,services,wholesale and retail trade,retail trade,1.5
111,1992-Q1,services,"transport, storage and communications","transport, storage and communications",1.5
112,1992-Q1,services,financial services,financial institutions,0.5
113,1992-Q1,services,financial services,insurance,0.4
114,1992-Q1,services,business and real estate services,business and real estate services,2.5
115,1992-Q1,services,"community, social and personal services",public administration and education,0.3
116,1992-Q1,services,"community, social and personal services",public administration,n.a.
117,1992-Q1,services,"community, social and personal services",education,n.a.
118,1992-Q1,services,"community, social and personal services",health and social work,0.7
119,1992-Q1,services,"community, social and personal services","other community, social and personal services",4.5
120,1992-Q1,others,others,others,-0.1
121,1992-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.2
122,1992-Q2,manufacturing,textile and wearing apparel,textile and wearing apparel,-0.7
123,1992-Q2,manufacturing,paper products and publishing,paper products and publishing,-0.9
124,1992-Q2,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.7
125,1992-Q2,manufacturing,fabricated metal products,fabricated metal products,-1.3
126,1992-Q2,manufacturing,machinery and equipment,machinery and equipment,0.6
127,1992-Q2,manufacturing,electrical products,electrical products,-0.6
128,1992-Q2,manufacturing,electronic products,electronic products,-
129,1992-Q2,manufacturing,medical and precision instruments,medical and precision instruments,0.6
130,1992-Q2,manufacturing,transport equipment,transport equipment,0.7
131,1992-Q2,manufacturing,other manufacturing industries,other manufacturing industries,0.3
132,1992-Q2,construction,construction,construction,3.5
133,1992-Q2,services,wholesale and retail trade,wholesale trade,1.3
134,1992-Q2,services,wholesale and retail trade,retail trade,-0.5
135,1992-Q2,services,"transport, storage and communications","transport, storage and communications",0.9
136,1992-Q2,services,financial services,financial institutions,0.1
137,1992-Q2,services,financial services,insurance,0.1
138,1992-Q2,services,business and real estate services,business and real estate services,2.5
139,1992-Q2,services,"community, social and personal services",public administration and education,0.2
140,1992-Q2,services,"community, social and personal services",public administration,n.a.
141,1992-Q2,services,"community, social and personal services",education,n.a.
142,1992-Q2,services,"community, social and personal services",health and social work,1.6
143,1992-Q2,services,"community, social and personal services","other community, social and personal services",-2
144,1992-Q2,others,others,others,0.7
145,1992-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.4
146,1992-Q3,manufacturing,textile and wearing apparel,textile and wearing apparel,-1.9
147,1992-Q3,manufacturing,paper products and publishing,paper products and publishing,0.3
148,1992-Q3,manufacturing,"petroleum, chemical, rubber and plastic products","petroleum, chemical, rubber and plastic products",0.3
149,1992-Q3,manufacturing,fabricated metal products,fabricated metal products,0.2
150,1992-Q3,manufacturing,machinery and equipment,machinery and equipment,0.7
151,1992-Q3,manufacturing,electrical products,electrical products,-0.1
152,1992-Q3,manufacturing,electronic products,electronic products,0.7
153,1992-Q3,manufacturing,medical and precision instruments,medical and precision instruments,-0.1
154,1992-Q3,manufacturing,transport equipment,transport equipment,-5.7
155,1992-Q3,manufacturing,other manufacturing industries,other manufacturing industries,0.5
156,1992-Q3,construction,construction,construction,5
157,1992-Q3,services,wholesale and retail trade,wholesale trade,1.1
158,1992-Q3,services,wholesale and retail trade,retail trade,-0.2
159,1992-Q3,services,"transport, storage and communications","transport, storage and communications",2.4
160,1992-Q3,services,financial services,financial institutions,-
161,1992-Q3,services,financial services,insurance,0.1
162,1992-Q3,services,business and real estate services,business and real estate services,1.8
163,1992-Q3,services,"community, social and personal services",public administration and education,-0.6
164,1992-Q3,services,"community, social and personal services",public administration,n.a.
165,1992-Q3,services,"community, social and personal services",education,n.a.
