Date,Is_Event,Concert_Event,Sports_Event,MICE_Event,Theatre_Event,Cultural_Event,Social_Event,Event_Description
23/2/2025,0,0,0,0,0,0,0,0
24/2/2025,1,0,0,0,0,1,0,0
25/2/2025,0,0,0,0,0,0,0,0
26/2/2025,0,0,0,0,0,0,0,0
27/2/2025,0,0,0,0,0,0,0,0
28/2/2025,0,0,0,0,0,0,0,0
1/3/2025,0,0,0,0,0,0,0,0
2/3/2025,0,0,0,0,0,0,0,0
3/3/2025,0,0,0,0,0,0,0,0
4/3/2025,0,0,0,0,0,0,0,0
5/3/2025,0,0,0,0,0,0,0,0
6/3/2025,0,0,0,0,0,0,0,0
7/3/2025,0,0,0,0,0,0,0,0
8/3/2025,0,0,0,0,0,0,0,0
9/3/2025,0,0,0,0,0,0,0,0
10/3/2025,0,0,0,0,0,0,0,0
11/3/2025,0,0,0,0,0,0,0,0
12/3/2025,0,0,0,0,0,0,0,0
13/3/2025,0,0,0,0,0,0,0,0
14/3/2025,0,0,0,0,0,0,0,0
15/3/2025,0,0,0,0,0,0,0,0
16/3/2025,0,0,0,0,0,0,0,0
17/3/2025,0,0,0,0,0,0,0,0
18/3/2025,0,0,0,0,0,0,0,0
19/3/2025,0,0,0,0,0,0,0,0
20/3/2025,0,0,0,0,0,0,0,0
21/3/2025,0,0,0,0,0,0,0,0
22/3/2025,0,0,0,0,0,0,0,0
23/3/2025,0,0,0,0,0,0,0,0
24/3/2025,0,0,0,0,0,0,0,0
25/3/2025,0,0,0,0,0,0,0,0
26/3/2025,0,0,0,0,0,0,0,0
27/3/2025,0,0,0,0,0,0,0,0
28/3/2025,0,0,0,0,0,0,0,0
29/3/2025,0,0,0,0,0,0,0,0
30/3/2025,0,0,0,0,0,0,0,0
31/3/2025,0,0,0,0,0,0,0,0
1/4/2025,0,0,0,0,0,0,0,0
2/4/2025,0,0,0,0,0,0,0,0
3/4/2025,0,0,0,0,0,0,0,0
4/4/2025,0,0,0,0,0,0,0,0
5/4/2025,0,0,0,0,0,0,0,0
6/4/2025,0,0,0,0,0,0,0,0
7/4/2025,0,0,0,0,0,0,0,0
8/4/2025,0,0,0,0,0,0,0,0
9/4/2025,0,0,0,0,0,0,0,0
10/4/2025,0,0,0,0,0,0,0,0
11/4/2025,0,0,0,0,0,0,0,0
12/4/2025,0,0,0,0,0,0,0,0
13/4/2025,0,0,0,0,0,0,0,0
14/4/2025,0,0,0,0,0,0,0,0
15/4/2025,0,0,0,0,0,0,0,0
16/4/2025,0,0,0,0,0,0,0,0
17/4/2025,0,0,0,0,0,0,0,0
18/4/2025,1,0,0,0,0,0,1,Good Friday
19/4/2025,0,0,0,0,0,0,0,0
20/4/2025,1,0,0,0,0,0,1,Hari Raya Puasa
21/4/2025,0,0,0,0,0,0,0,0
22/4/2025,0,0,0,0,0,0,0,0
23/4/2025,0,0,0,0,0,0,0,0
24/4/2025,0,0,0,0,0,0,0,0
25/4/2025,0,0,0,0,0,0,0,0
26/4/2025,0,0,0,0,0,0,0,0
27/4/2025,0,0,0,0,0,0,0,0
28/4/2025,0,0,0,0,0,0,0,0
29/4/2025,0,0,0,0,0,0,0,0
30/4/2025,0,0,0,0,0,0,0,0
1/5/2025,0,0,0,0,0,0,0,0
2/5/2025,0,0,0,0,0,0,0,0
3/5/2025,0,0,0,0,0,0,0,0
4/5/2025,0,0,0,0,0,0,0,0
5/5/2025,0,0,0,0,0,0,0,0
6/5/2025,0,0,0,0,0,0,0,0
7/5/2025,0,0,0,0,0,0,0,0
8/5/2025,0,0,0,0,0,0,0,0
9/5/2025,1,0,0,0,0,1,0,Vesak Day
10/5/2025,0,0,0,0,0,0,0,0
