record_date,forecast_timestamp,forecast_date,day,temp_low,temp_high,humidity_low,humidity_high,forecast_summary,forecast_text,wind_speed_low,wind_speed_high,wind_direction
2016-03-19,2016-03-20T00:00:00+08:00,20/03/2016,Sunday,24,35,50,90,Warm. Afternoon showers.,Showers,10,20,NNE
2016-03-19,2016-03-21T00:00:00+08:00,21/03/2016,Monday,24,34,55,95,Afternoon and evening thundery showers.,Thundery Showers,10,20,NNW
2016-03-19,2016-03-22T00:00:00+08:00,22/03/2016,Tuesday,24,33,60,95,Afternoon and evening thundery showers.,Thundery Showers,10,25,NW
2016-03-19,2016-03-23T00:00:00+08:00,23/03/2016,Wednesday,25,33,60,95,Afternoon thundery showers.,Thundery Showers,10,20,WNW
2016-03-20,2016-03-21T00:00:00+08:00,21/03/2016,Monday,25,34,55,95,Afternoon thundery showers.,Thundery Showers,10,20,N
2016-03-20,2016-03-22T00:00:00+08:00,22/03/2016,Tuesday,24,34,60,95,Afternoon and evening thundery showers.,Thundery Showers,10,20,NNW
2016-03-20,2016-03-23T00:00:00+08:00,23/03/2016,Wednesday,24,34,60,95,Afternoon thundery showers.,Thundery Showers,10,20,NW
2016-03-20,2016-03-24T00:00:00+08:00,24/03/2016,Thursday,25,34,60,95,Afternoon thundery showers.,Thundery Showers,10,20,NNE
2016-03-21,2016-03-22T00:00:00+08:00,22/03/2016,Tuesday,24,33,60,95,Predawn and early morning and again in the afternoon thundery showers.,Thundery Showers,10,25,NNW
2016-03-21,2016-03-23T00:00:00+08:00,23/03/2016,Wednesday,24,34,60,95,Afternoon thundery showers.,Thundery Showers,10,20,NNW
2016-03-21,2016-03-24T00:00:00+08:00,24/03/2016,Thursday,25,34,60,95,Afternoon thundery showers.,Thundery Showers,10,20,NE
2016-03-21,2016-03-25T00:00:00+08:00,25/03/2016,Friday,25,34,60,95,Afternoon thundery showers.,Thundery Showers,10,20,NE
2016-03-22,2016-03-23T00:00:00+08:00,23/03/2016,Wednesday,25,34,55,95,Afternoon thundery showers.,Thundery Showers,10,20,NW
2016-03-22,2016-03-24T00:00:00+08:00,24/03/2016,Thursday,25,34,60,95,Afternoon thundery showers.,Thundery Showers,5,15,VARIABLE
2016-03-22,2016-03-25T00:00:00+08:00,25/03/2016,Friday,25,34,60,95,Afternoon thundery showers.,Thundery Showers,10,20,ENE
2016-03-22,2016-03-26T00:00:00+08:00,26/03/2016,Saturday,24,32,60,95,Afternoon and evening thundery showers.,Thundery Showers,15,35,NE
2016-03-23,2016-03-24T00:00:00+08:00,24/03/2016,Thursday,25,35,60,95,Warm. Afternoon thundery showers.,Thundery Showers,5,15,VARIABLE
2016-03-23,2016-03-25T00:00:00+08:00,25/03/2016,Friday,25,35,60,95,Warm. Late afternoon thundery showers.,Thundery Showers,5,15,VARIABLE
2016-03-23,2016-03-26T00:00:00+08:00,26/03/2016,Saturday,25,34,60,95,Afternoon thundery showers.,Thundery Showers,10,25,NE
2016-03-23,2016-03-27T00:00:00+08:00,27/03/2016,Sunday,25,33,60,95,Afternoon passing showers.,Passing Showers,15,30,NE
2016-03-24,2016-03-25T00:00:00+08:00,25/03/2016,Friday,24,35,55,95,Warm. Afternoon thundery showers.,Thundery Showers,10,20,VARIABLE
2016-03-24,2016-03-26T00:00:00+08:00,26/03/2016,Saturday,24,34,55,95,Afternoon thundery showers.,Thundery Showers,10,25,NE
2016-03-24,2016-03-27T00:00:00+08:00,27/03/2016,Sunday,25,33,55,90,Afternoon passing showers.,Passing Showers,15,35,NE
2016-03-24,2016-03-28T00:00:00+08:00,28/03/2016,Monday,25,33,55,90,Afternoon passing showers.,Passing Showers,15,30,NE
2016-03-25,2016-03-26T00:00:00+08:00,26/03/2016,Saturday,25,34,55,95,Afternoon thundery showers.,Thundery Showers,10,25,NE
2016-03-25,2016-03-27T00:00:00+08:00,27/03/2016,Sunday,25,33,55,95,Afternoon passing showers.,Passing Showers,15,35,NE
2016-03-25,2016-03-28T00:00:00+08:00,28/03/2016,Monday,24,33,55,90,Afternoon passing showers.,Passing Showers,15,30,NE
2016-03-25,2016-03-29T00:00:00+08:00,29/03/2016,Tuesday,24,32,55,90,Morning thundery showers.,Thundery Showers,10,25,NE
2016-03-26,2016-03-27T00:00:00+08:00,27/03/2016,Sunday,25,33,55,95,Occasionally windy. Afternoon passing showers.,Passing Showers,15,30,NE
2016-03-26,2016-03-28T00:00:00+08:00,28/03/2016,Monday,25,34,50,90,Occasionally windy. Afternoon passing showers.,Passing Showers,20,35,NE
2016-03-26,2016-03-29T00:00:00+08:00,29/03/2016,Tuesday,25,33,55,90,Occasionally windy. Afternoon passing showers.,Passing Showers,15,30,NE
2016-03-26,2016-03-30T00:00:00+08:00,30/03/2016,Wednesday,25,34,60,95,Afternoon thundery showers.,Thundery Showers,10,25,NE
2016-03-27,2016-03-28T00:00:00+08:00,28/03/2016,Monday,25,35,55,95,Occasionally windy. Afternoon passing showers.,Passing Showers,20,35,NE
2016-03-27,2016-03-29T00:00:00+08:00,29/03/2016,Tuesday,25,34,55,95,Occasionally windy. Afternoon passing showers.,Passing Showers,15,30,NE
2016-03-27,2016-03-30T00:00:00+08:00,30/03/2016,Wednesday,25,34,60,95,Afternoon thundery showers.,Thundery Showers,10,25,NE
2016-03-27,2016-03-31T00:00:00+08:00,31/03/2016,Thursday,25,34,60,95,Afternoon thundery showers.,Thundery Showers,10,20,NE
2016-03-28,2016-03-29T00:00:00+08:00,29/03/2016,Tuesday,25,34,60,95,Occasionally windy. Afternoon passing showers.,Passing Showers,10,30,NE
2016-03-28,2016-03-30T00:00:00+08:00,30/03/2016,Wednesday,25,34,60,95,Late morning and afternoon thundery showers.,Thundery Showers,10,25,NE
2016-03-28,2016-03-31T00:00:00+08:00,31/03/2016,Thursday,25,35,60,95,Warm. Afternoon thundery showers.,Thundery Showers,10,20,NE
2016-03-28,2016-04-01T00:00:00+08:00,01/04/2016,Friday,25,35,60,95,Warm. Afternoon thundery showers.,Thundery Showers,10,20,NE
2016-03-29,2016-03-30T00:00:00+08:00,30/03/2016,Wednesday,25,34,50,95,Fair and warm.,Fair & Warm,10,30,NE
2016-03-29,2016-03-31T00:00:00+08:00,31/03/2016,Thursday,26,34,55,95,Fair and warm.,Fair & Warm,10,25,NE
2016-03-29,2016-04-01T00:00:00+08:00,01/04/2016,Friday,26,35,55,95,Fair and warm.,Fair & Warm,10,20,NE
2016-03-29,2016-04-02T00:00:00+08:00,02/04/2016,Saturday,25,34,55,95,Warm. Afternoon thundery showers.,Thundery Showers,10,20,E
2016-03-30,2016-03-31T00:00:00+08:00,31/03/2016,Thursday,25,35,55,90,Fair and warm.,Fair & Warm,10,25,NE
2016-03-30,2016-04-01T00:00:00+08:00,01/04/2016,Friday,25,35,55,90,Fair and warm.,Fair & Warm,10,20,NE
2016-03-30,2016-04-02T00:00:00+08:00,02/04/2016,Saturday,25,35,60,95,Warm. Afternoon thundery showers.,Thundery Showers,10,20,ENE
2016-03-30,2016-04-03T00:00:00+08:00,03/04/2016,Sunday,25,34,60,95,Afternoon thundery showers.,Thundery Showers,10,20,E
2016-03-31,2016-04-01T00:00:00+08:00,01/04/2016,Friday,25,35,50,90,Fair and warm.,Fair & Warm,10,25,NE
2016-03-31,2016-04-02T00:00:00+08:00,02/04/2016,Saturday,25,35,55,95,Warm. Afternoon thundery showers.,Thundery Showers,10,20,ENE
2016-03-31,2016-04-03T00:00:00+08:00,03/04/2016,Sunday,25,34,60,95,Afternoon thundery showers.,Thundery Showers,10,20,E
2016-03-31,2016-04-04T00:00:00+08:00,04/04/2016,Monday,25,34,60,95,Afternoon thundery showers.,Thundery Showers,5,15,E
2016-04-01,2016-04-02T00:00:00+08:00,02/04/2016,Saturday,25,35,50,90,Warm. Afternoon showers.,Light Showers,10,25,NE
2016-04-01,2016-04-03T00:00:00+08:00,03/04/2016,Sunday,25,33,60,95,Afternoon thundery showers.,Thundery Showers,10,20,NE
2016-04-01,2016-04-04T00:00:00+08:00,04/04/2016,Monday,25,34,60,95,Afternoon thundery showers.,Thundery Showers,10,20,E
2016-04-01,2016-04-05T00:00:00+08:00,05/04/2016,Tuesday,25,34,60,95,Afternoon thundery showers.,Thundery Showers,5,15,E
2016-04-02,2016-04-03T00:00:00+08:00,03/04/2016,Sunday,25,35,60,95,Afternoon thundery showers.,Thundery Showers,10,20,ENE
2016-04-02,2016-04-04T00:00:00+08:00,04/04/2016,Monday,25,34,60,95,Afternoon thundery showers.,Thundery Showers,10,20,E
2016-04-02,2016-04-05T00:00:00+08:00,05/04/2016,Tuesday,25,34,60,95,Afternoon thundery showers.,Thundery Showers,5,15,E
2016-04-02,2016-04-06T00:00:00+08:00,06/04/2016,Wednesday,25,34,60,95,Afternoon thundery showers.,Thundery Showers,5,15,VARIABLE
2016-04-03,2016-04-04T00:00:00+08:00,04/04/2016,Monday,25,34,55,95,Afternoon thundery showers.,Thundery Showers,10,20,ENE
2016-04-03,2016-04-05T00:00:00+08:00,05/04/2016,Tuesday,25,34,55,95,Afternoon thundery showers.,Thundery Showers,5,15,ENE
2016-04-03,2016-04-06T00:00:00+08:00,06/04/2016,Wednesday,25,35,55,95,Warm. Late afternoon and evening thundery showers.,Thundery Showers,5,15,ENE
2016-04-03,2016-04-07T00:00:00+08:00,07/04/2016,Thursday,25,34,55,95,Afternoon thundery showers.,Thundery Showers,10,20,E
2016-04-04,2016-04-05T00:00:00+08:00,05/04/2016,Tuesday,25,34,60,95,Afternoon thundery showers.,Thundery Showers,10,20,ENE
