date,north_avg_daily_psi,south_avg_daily_psi,east_avg_daily_psi,west_avg_daily_psi,central_avg_daily_psi,average_nationwide_psi,highest_region_reading,psi_level_rating
2014-04-01,57.83,56.0,56.42,63.67,56.75,58.13,west_avg_daily_psi,Moderate
2014-04-02,56.33,51.75,55.33,61.08,57.0,56.3,west_avg_daily_psi,Moderate
2014-04-03,55.58,53.5,53.0,61.0,55.5,55.72,west_avg_daily_psi,Moderate
2014-04-04,56.0,54.67,51.5,55.42,51.75,53.87,north_avg_daily_psi,Moderate
2014-04-05,66.17,65.0,66.83,61.5,67.08,65.32,central_avg_daily_psi,Moderate
2014-04-06,54.42,55.42,56.08,43.58,54.58,52.82,east_avg_daily_psi,Moderate
2014-04-07,46.75,39.67,49.42,41.83,46.58,44.85,east_avg_daily_psi,Good
2014-04-08,53.92,53.92,53.17,54.58,50.5,53.22,west_avg_daily_psi,Moderate
2014-04-09,61.58,55.25,58.17,58.75,57.5,58.25,north_avg_daily_psi,Moderate
2014-04-10,61.33,55.92,59.08,58.42,58.92,58.73,north_avg_daily_psi,Moderate
2014-04-11,61.17,54.25,58.0,59.67,55.58,57.73,north_avg_daily_psi,Moderate
2014-04-12,61.17,58.83,61.42,58.5,59.25,59.83,east_avg_daily_psi,Moderate
2014-04-13,59.25,54.42,55.67,55.17,55.17,55.93,north_avg_daily_psi,Moderate
2014-04-14,57.25,55.75,54.67,61.5,58.58,57.55,west_avg_daily_psi,Moderate
2014-04-15,67.92,64.17,63.42,65.0,63.42,64.78,north_avg_daily_psi,Moderate
2014-04-16,66.67,63.67,63.42,61.25,64.08,63.82,north_avg_daily_psi,Moderate
2014-04-17,68.25,64.5,62.0,63.17,66.0,64.78,north_avg_daily_psi,Moderate
2014-04-18,71.25,62.33,66.17,67.67,67.08,66.9,north_avg_daily_psi,Moderate
2014-04-19,63.58,56.33,59.0,59.33,58.0,59.25,north_avg_daily_psi,Moderate
2014-04-20,64.58,56.58,60.83,60.17,61.83,60.8,north_avg_daily_psi,Moderate
2014-04-21,58.08,58.08,59.33,55.92,58.42,57.97,east_avg_daily_psi,Moderate
