Date,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
1/1/2016,5.2,4.2,4.2,4.2,27.1,28.9,24.7,6.5,24.5
2/1/2016,27.6,12.6,20,21.2,25.9,27.5,22.7,7.2,45.4
3/1/2016,2,1.2,1.6,1.8,26.4,27.7,25,6.8,25.2
4/1/2016,16.2,10.4,10.4,16,27.4,31.4,25.6,7.2,33.1
5/1/2016,0,0,0,0,28.9,32.5,26.6,7.6,34.2
6/1/2016,0.8,0.6,0.6,0.8,28.9,32.3,27,7.2,34.2
7/1/2016,0,0,0,0,29.3,33.4,27,7.6,25.2
8/1/2016,0,0,0,0,29.1,33.4,26.6,7.6,34.6
9/1/2016,1,1,1,1,29.2,33.8,26.1,7.9,28.4
10/1/2016,0,0,0,0,29.2,32.5,27.2,9,42.5
11/1/2016,31.6,14.6,19.2,19.2,28.1,33,25.3,7.6,32
12/1/2016,0,0,0,0,29.1,32.8,27.1,7.2,26.3
13/1/2016,0,0,0,0,29.3,33.4,27.1,8.3,38.2
14/1/2016,18.2,14,17.4,18.2,28.9,33.7,25.2,6.8,29.2
15/1/2016,19.8,12.6,12.6,12.6,27.6,30.6,25.4,5,23.4
16/1/2016,0.2,0.2,0.2,0.2,28.1,32,26,5.8,22.3
17/1/2016,0,0,0,0,28.6,32.5,26.5,5.8,27.4
18/1/2016,35.8,26.4,29.6,29.6,27.9,32,24.4,6.8,31.3
19/1/2016,3.8,3.8,3.8,3.8,28.6,32.1,26.8,5.8,30.2
20/1/2016,7,7,7,7,28,30.1,24.2,6.1,23.4
21/1/2016,0.2,5.4,24.8,22.4,30.1,32.4,26.5,5.7,30.6
22/1/2016,9.8,4.2,5.8,7,0,0,0,6.1,33.5
23/1/2016,8,22.8,18.8,5.6,27,31.1,25.6,4.7,29.2
24/1/2016,1.8,8.4,2.8,0.4,28,34.3,25.9,6.9,30.9
25/1/2016,1,0.8,0.8,0.8,0,0,0,9,34.6
26/1/2016,1.6,41,21,14.5,29.5,31.7,24.1,5.1,23
27/1/2016,18.8,1.2,0.4,0.2,28.9,33.8,26.1,4.4,29.1
28/1/2016,25.4,2.4,1.6,8.4,29.2,31.2,27,4.1,36.3
29/1/2016,4.4,1,2.6,0.2,26.8,32.7,26,5.3,23.3
30/1/2016,5.8,1,9.6,12.8,29.6,34.6,25.8,7,29.2
31/1/2016,1.8,4.4,4,5.6,29,32.4,27.1,5.6,27.8
