date,actual_date,forecast_day,temp_low,temp_high,humidity_low,humidity_high,forecast_summary,forecast_text,wind_speed_low,wind_speed_high,wind_direction,north_avg_daily_psi,south_avg_daily_psi,east_avg_daily_psi,west_avg_daily_psi,central_avg_daily_psi,average_nationwide_psi,highest_region_reading,psi_level_rating,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),avg_daily_relative_humidity,windspeed
23/2/2025,Sunday,Monday,23.17,32.87,46.09,72.3,Windy with afternoon passing showers.,Slightly Hazy,8.29,11.56,ESE,39.5,105,47.9,44.5,105,37.23,west_avg_daily_psi,Good,3.31,0.53,0.56,0.74,29.195,30.76,27.63,6.54,8.64,91.26,3.74
24/2/2025,Monday,Tuesday ,23.6,33.74,52,86.26,Cloudy. Occasionally windy with periods of showers.,Hazy,10.48,25.69,ESE,35.19,27.79,52.61,59.31,34.13,33.02,west_avg_daily_psi,Good,3.96,0.12,1.95,3.66,28.14,29.9,26.38,6.52,10.03,67.16,3.14
25/2/2025,Tuesday,Wednesday,25.11,32.31,49.21,73.49,Fair & warm,Partly Cloudy (Day),13.65,21.57,E,30.32,53.4,36.5,43.22,35.36,47,east_avg_daily_psi,Good,12.53,2.04,6.26,9.99,28.915,31.38,26.45,7.61,10.85,95.54,2.17
26/2/2025,Wednesday,Thursday,24.56,34.96,76.15,66.17,Late morning and afternoon passing showers,Slightly Hazy,10.77,23.87,VARIABLE,48.97,30.66,45,42.85,49.15,45.61,east_avg_daily_psi,Good,14.33,3.7,9.46,11.02,28.505,30.4,26.61,8.7,11.09,30.94,3.91
27/2/2025,Thursday,Friday,23.9,35.49,36.55,84.8,Passing showers in the afternoon.,Windy,8.02,19.02,NNW,32.9,34.39,35.56,41.47,42.17,51.56,central,Moderate,9.3,2.1,5.81,8.22,27.705,29.98,25.43,6.85,9.35,77,0
28/2/2025,Friday,Saturday,25.58,31.5,68.92,85.48,Thundery showers in the  morning.,Windy,5.84,15.19,NE,41.17,47.55,38.59,49.44,48.7,56.07,east,Moderate,9.8,1.98,2.95,3.46,29.4,31.88,26.92,8.74,12.34,74.9,3.33
1/3/2025,Saturday,Sunday,23.55,33.14,49.57,58.58,Mainly fair except for showers over southern and western Singapore in the late afternoon.,Moderate Rain,12.67,12.02,NNE,55.85,45.51,36.88,28.55,43.31,29.05,north_avg_daily_psi,Good,4.24,1.06,1.23,1.53,29.875,32.55,27.2,2.7,5.61,64.85,2.22
2/3/2025,Sunday,Monday,25.76,33.19,48.24,57.35,"Cloudy with periods of showers, heavy at times, clearing in the evening.",Fair & Warm,18.71,26.01,W,39.29,23.23,48.04,27.52,31.54,35.22,central_avg_daily_psi,Good,6.37,0.87,2.56,3.05,28.89,31.36,26.42,6.69,8.92,34.8,0.97
3/3/2025,Monday,Tuesday,22.8,33,60.25,61.1,Occasionally windy. Afternoon thundery showers. ,Windy,6.6,7.56,W,34.09,43.97,57.32,51.99,51.64,36.77,central,Good,9.33,0.01,6.78,8.68,28.24,31.08,25.4,6.68,10.12,69.17,0.91
4/3/2025,Tuesday,Wednesday,25.89,33.62,58.25,62.33,Late morning and afternoon thundery showers ,Fair & Warm,21.94,21.84,SE,47.48,38.84,51.16,30.11,27.02,29.14,south_avg_daily_psi,Good,5.72,0.32,0.75,5.42,28.855,31.19,26.52,8.17,12.14,65.69,4.43
5/3/2025,Wednesday,Thursday,23.43,33.68,69.68,61.48,Fair and windy.,Heavy Thundery Showers with Gusty Winds,4.99,18.56,ESE,43.55,45.9,48.09,32.39,27.82,26.71,south,Good,8.2,0.93,3.05,3.29,26.63,28.68,24.58,7.42,9.7,70.57,2.75
6/3/2025,Thursday,Friday,23.45,34.35,67.48,79.79,Cloudy. Occasionally windy with periods of showers.,Heavy Thundery Showers with Gusty Winds,7.56,24.11,SSW,48.45,36.37,33.23,46.27,43.58,40.88,west,Good,2.26,0.92,1.32,1.57,27.565,29.5,25.63,7.07,9.32,26.18,3.31
7/3/2025,Friday,Saturday,24.39,32.83,47.86,75.87,Fair and occasionally windy.,Cloudy,13.74,19.79,NE,36.11,46.83,27.84,48.76,55.62,44.8,east,Good,7.65,2.66,3.14,7.31,29.3,30.99,27.61,6.68,8.81,2.37,2.01
8/3/2025,Saturday,Sunday,24.42,30.79,65.99,84.51,Late afternoon thundery showers ,Moderate Rain,4.26,25.16,NNW,25.12,31.13,61.04,45.19,33.51,25.42,east_avg_daily_psi,Good,3.55,0.79,1.9,2.17,28.635,30.81,26.46,9.6,12.76,31.26,1.93
9/3/2025,Sunday,Monday,24.19,34.29,71.26,65.59,Thundery showers in the late morning and early afternoon,Slightly Hazy,17.74,16.89,SSE,31.85,36.37,29.66,54.1,36.09,32.54,central_avg_daily_psi,Good,9.54,3.92,5.15,5.65,26.535,28.94,24.13,7.03,10.5,22.24,0.8
10/3/2025,Monday,Tuesday,24.26,31.96,53.58,67.59,Early and pre-dawn hours thundery showers,Moderate Rain,14.54,19.92,SSW,54.29,29.23,35.16,37.59,41.6,62.59,east_avg_daily_psi,Moderate,5.88,1.81,3.85,4.25,28.035,29.78,26.29,6.7,9.78,62.92,0
11/3/2025,Tuesday,Wednesday,23.45,33.94,81.37,72.87,Showers in the morning. Thundery showers in the afternoon.  ,Light Rain,15.64,22.7,N,42.69,43.28,36.47,50.05,46.23,45.02,east,Good,7.74,5.08,6.21,6.71,28.28,31.01,25.55,5.65,8.03,14.99,4.07
12/3/2025,Wednesday,Thursday,25.14,34.34,61.52,70.93,Early hours thundery showers.,Thundery Showers,4.36,18.48,ESE,27.78,50.77,39.69,51.13,41.54,43.44,west_avg_daily_psi,Good,7.66,0.03,1.9,2.36,26.69,29.66,23.72,8.67,10.8,105.08,0
13/3/2025,Thursday,Friday,24.64,32.21,77.04,70.91,Late morning and early afternoon passing showers,Passing Showers,12.49,38.22,ENE,35.38,12.47,32.67,44.12,47.08,59.85,south_avg_daily_psi,Moderate,3.78,1.54,1.87,2.16,26.25,27.84,24.66,5.48,8.11,3.69,1.38
14/3/2025,Friday,Saturday,24.53,33.96,65.73,64.83,Slightly hazy.,Fair & Warm,10.84,25.93,WSW,26.45,30.62,39.92,20.69,52.79,40.18,west,Good,6.03,1.71,3.06,4.2,26.47,28.43,24.51,6.35,9.74,42.42,1.9
15/3/2025,Saturday,Sunday,25.08,33.63,60.03,78.94,Late morning thundery showers.,Partly Cloudy (Day),10.23,24.99,SW,24.87,140,42.9,40.24,35.81,49.91,north,Good,0.95,0.46,0.63,0.76,27.775,30.48,25.07,7.86,11.61,80.55,0.3
16/3/2025,Sunday,Monday,24.06,31.73,52.06,66.21,Predawn showers and afternoon thundery showers.,Moderate Rain,12.65,27.32,ENE,36.95,42.21,162,39.43,34.04,40.06,west,Good,6.68,0.16,0.39,5.12,28.43,30.15,26.71,7.13,10.63,89.75,3.22
17/3/2025,Monday,Tuesday,23.95,32.15,62.16,75.2,Occasionally windy. Late afternoon and evening thundery showers.,Heavy Rain,2.72,17.49,NW,45.91,56.67,39.01,41.38,47.73,27.65,west,Good,9.68,5.39,5.53,7.09,27.46,29.51,25.41,9.05,11.12,17.69,1.3
18/3/2025,Tuesday,Wednesday,23.72,32.68,45.57,75.61,Occasionally windy. Late morning and early afternoon showers.,Light Showers,12.51,13.02,N,48.72,29.04,46.53,30.73,34.82,32.86,central_avg_daily_psi,Good,8.18,2.41,3.59,6.66,28.455,31.39,25.52,6.92,10.18,35.56,2.35
19/3/2025,Wednesday,Thursday,25.18,33.79,29.44,57.41,Early hours and pre-dawn thundery showers.,Heavy Showers,15.26,21,ESE,45.24,48.66,46.45,40.2,17.82,33.1,north_avg_daily_psi,Good,5.18,2.78,3.64,5.18,26.125,27.97,24.28,7.51,11.5,74.35,3.27
20/3/2025,Thursday,Friday,24.36,34.79,54.96,58.37,Late morning and early afternoon showers.,Slightly Hazy,10.04,11.34,ESE,37.17,53.13,48.63,23.71,43.21,54.18,north_avg_daily_psi,Moderate,6.01,1.94,4.41,4.42,27.975,30.14,25.81,6.13,8.26,36.33,1.53
21/3/2025,Friday,Saturday,25.36,33.71,63.94,68.59,Pre-dawn hours and early morning showers. Afternoon and evening thundery showers.,Heavy Showers,17.23,21.92,ENE,33.36,54.28,24.82,55.12,44.82,43.49,east_avg_daily_psi,Good,2.94,0.09,0.3,0.56,27.865,30.51,25.22,5.28,7.56,54.78,2.13
