Date,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2017-01-01,0.0,0.0,0.0,0.0,26.8,31.2,24.6,6.5,29.5
2017-01-02,0.4,0.4,0.4,0.4,26.6,29.4,25.8,6.5,20.5
2017-01-03,12.4,6.2,9.6,10.4,26.8,30.6,24.4,6.5,20.5
2017-01-04,0.8,0.8,0.8,0.8,27.5,31.0,24.1,5.8,33.5
2017-01-05,4.8,4.0,4.8,4.8,28.3,32.7,24.7,6.1,25.6
2017-01-06,0.0,0.0,0.0,0.0,28.7,31.7,26.4,5.4,22.0
2017-01-07,0.0,0.0,0.0,0.0,29.4,33.5,26.9,6.1,23.0
2017-01-08,0.0,0.0,0.0,0.0,29.2,32.9,26.6,6.1,22.7
2017-01-09,0.0,0.0,0.0,0.0,29.0,32.5,27.3,5.8,20.9
2017-01-10,0.0,0.0,0.0,0.0,28.8,33.8,27.1,6.1,26.3
2017-01-11,0.0,0.0,0.0,0.0,28.7,32.6,26.6,5.8,22.7
2017-01-12,0.0,0.0,0.0,0.0,28.5,31.9,26.2,5.4,20.9
2017-01-13,0.0,0.0,0.0,0.0,28.5,32.3,26.6,5.4,20.9
2017-01-14,0.0,0.0,0.0,0.0,28.1,30.2,26.0,5.8,19.4
2017-01-15,0.0,0.0,0.0,0.0,28.6,31.4,26.3,5.4,27.4
2017-01-16,0.0,0.0,0.0,0.0,28.5,31.8,25.8,6.8,31.3
2017-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,11.2
2017-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,25.2
2017-01-19,22.8,18.8,21.6,22.8,27.5,31.9,25.8,6.1,21.6
2017-01-20,2.8,2.8,2.8,2.8,0.0,0.0,0.0,8.3,33.8
2017-01-21,0.8,0.6,0.8,0.8,0.0,0.0,0.0,6.5,31.3
2017-01-22,51.6,29.2,44.2,47.6,0.0,0.0,0.0,5.8,27.4
