date,station_id,station_name,latitude,longitude,windspeed
2017-01-06,S60,Sentosa,1.25,103.8279,2.79
2017-01-07,S60,Sentosa,1.25,103.8279,3.64
2017-01-08,S60,Sentosa,1.25,103.8279,3.52
2017-01-09,S60,Sentosa,1.25,103.8279,2.16
2017-01-10,S60,Sentosa,1.25,103.8279,2.1
2017-01-11,S60,Sentosa,1.25,103.8279,2.44
2017-01-12,S60,Sentosa,1.25,103.8279,2.2
2017-01-13,S60,Sentosa,1.25,103.8279,1.79
2017-01-14,S60,Sentosa,1.25,103.8279,2.68
2017-01-15,S60,Sentosa,1.25,103.8279,1.69
2017-01-16,S60,Sentosa,1.25,103.8279,1.85
2017-01-18,S60,Sentosa,1.25,103.8279,2.87
2017-01-19,S60,Sentosa,1.25,103.8279,3.19
2017-01-22,S60,Sentosa,1.25,103.8279,3.17
2017-01-25,S60,Sentosa,1.25,103.8279,2.4
2017-08-31,S60,Sentosa,1.25,103.8279,6.03
2017-09-01,S60,Sentosa,1.25,103.8279,5.77
2017-09-02,S60,Sentosa,1.25,103.8279,6.01
2017-09-03,S60,Sentosa,1.25,103.8279,4.46
2017-09-04,S60,Sentosa,1.25,103.8279,2.2
2017-09-05,S60,Sentosa,1.25,103.8279,2.22
2017-09-06,S60,Sentosa,1.25,103.8279,1.48
2017-09-07,S60,Sentosa,1.25,103.8279,4.08
2017-09-08,S60,Sentosa,1.25,103.8279,2.83
2017-09-09,S60,Sentosa,1.25,103.8279,1.56
2017-09-10,S60,Sentosa,1.25,103.8279,2.79
2017-09-11,S60,Sentosa,1.25,103.8279,2.49
2017-09-12,S60,Sentosa,1.25,103.8279,3.16
2017-09-13,S60,Sentosa,1.25,103.8279,4.65
2017-09-14,S60,Sentosa,1.25,103.8279,1.58
2017-09-15,S60,Sentosa,1.25,103.8279,1.76
2017-09-16,S60,Sentosa,1.25,103.8279,4.97
2017-09-17,S60,Sentosa,1.25,103.8279,3.75
2017-09-18,S60,Sentosa,1.25,103.8279,3.15
2017-09-19,S60,Sentosa,1.25,103.8279,2.38
2017-09-20,S60,Sentosa,1.25,103.8279,12.85
2017-09-21,S60,Sentosa,1.25,103.8279,2.34
2017-09-22,S60,Sentosa,1.25,103.8279,3.17
2017-09-23,S60,Sentosa,1.25,103.8279,4.96
2017-09-24,S60,Sentosa,1.25,103.8279,3.19
2017-09-25,S60,Sentosa,1.25,103.8279,4.51
2017-09-26,S60,Sentosa,1.25,103.8279,1.45
2017-09-27,S60,Sentosa,1.25,103.8279,2.07
2017-09-28,S60,Sentosa,1.25,103.8279,3.4
2017-09-29,S60,Sentosa,1.25,103.8279,1.3
2017-09-30,S60,Sentosa,1.25,103.8279,1.39
2017-10-01,S60,Sentosa,1.25,103.8279,2.45
2017-10-02,S60,Sentosa,1.25,103.8279,1.35
2017-10-03,S60,Sentosa,1.25,103.8279,3.21
2017-10-04,S60,Sentosa,1.25,103.8279,2.13
2017-10-05,S60,Sentosa,1.25,103.8279,3.04
2017-10-06,S60,Sentosa,1.25,103.8279,3.55
2017-10-07,S60,Sentosa,1.25,103.8279,2.83
2017-10-08,S60,Sentosa,1.25,103.8279,2.31
2017-10-09,S60,Sentosa,1.25,103.8279,7.48
2017-10-10,S60,Sentosa,1.25,103.8279,3.75
2017-10-11,S60,Sentosa,1.25,103.8279,4.49
2017-10-12,S60,Sentosa,1.25,103.8279,3.06
2017-10-13,S60,Sentosa,1.25,103.8279,5.05
2017-10-14,S60,Sentosa,1.25,103.8279,1.37
2017-10-15,S60,Sentosa,1.25,103.8279,5.05
2017-10-16,S60,Sentosa,1.25,103.8279,3.98
2017-10-17,S60,Sentosa,1.25,103.8279,3.28
2017-10-18,S60,Sentosa,1.25,103.8279,4.74
2017-10-19,S60,Sentosa,1.25,103.8279,1.33
2017-10-20,S60,Sentosa,1.25,103.8279,5.69
2017-10-21,S60,Sentosa,1.25,103.8279,3.15
2017-10-22,S60,Sentosa,1.25,103.8279,1.9
2017-10-23,S60,Sentosa,1.25,103.8279,2.68
2017-10-24,S60,Sentosa,1.25,103.8279,3.26
2017-10-25,S60,Sentosa,1.25,103.8279,2.64
2017-10-26,S60,Sentosa,1.25,103.8279,1.48
2017-10-27,S60,Sentosa,1.25,103.8279,3.52
2017-10-28,S60,Sentosa,1.25,103.8279,2.91
2017-10-29,S60,Sentosa,1.25,103.8279,3.01
2017-10-30,S60,Sentosa,1.25,103.8279,1.24
2017-10-31,S60,Sentosa,1.25,103.8279,1.66
2017-11-01,S60,Sentosa,1.25,103.8279,2.54
2017-11-03,S60,Sentosa,1.25,103.8279,3.8
2017-11-04,S60,Sentosa,1.25,103.8279,2.56
2017-11-05,S60,Sentosa,1.25,103.8279,4.6
2017-11-06,S60,Sentosa,1.25,103.8279,3.38
2017-11-07,S60,Sentosa,1.25,103.8279,2.08
2017-11-21,S60,Sentosa,1.25,103.8279,2.08
2017-11-22,S60,Sentosa,1.25,103.8279,2.93
2017-11-23,S60,Sentosa,1.25,103.8279,3.43
2017-11-24,S60,Sentosa,1.25,103.8279,2.67
2017-11-25,S60,Sentosa,1.25,103.8279,2.87
2017-11-26,S60,Sentosa,1.25,103.8279,3.56
2017-11-29,S60,Sentosa,1.25,103.8279,8.23
2017-11-30,S60,Sentosa,1.25,103.8279,6.75
2017-12-01,S60,Sentosa,1.25,103.8279,3.91
2017-12-02,S60,Sentosa,1.25,103.8279,3.16
