title,show times
Baby Kilo's Naptime Tango,"1030, 1730"
Despicable Me Family Portrait,"1100"
Egyptian Legends,"1100, 1140, 1315, 1400, 1500, 1530, 1630, 1700, 1800, 1840"
Gru and Lucy,"0950, 1415, 1615, 1800"
Happily Ever After,"1050, 1250, 1450, 1650, 1850"
Hatched! Featuring Dr. Rodney,"1100, 1800"
Minion Dance Party,"1000, 1030, 1130, 1200, 1315, 1445, 1545, 1645, 1745, 1815"
Po and Master Tigress,"1025, 1215, 1415, 1600, 1755"
Raptor Encounter with Blue,"1130, 1840"
Raptor Encounter: Generations,"1330, 1530"
Sesame Street,"1100, 1245, 1415, 1616, 1745"
Shrek and Princess Fiona,"1025, 1155, 1330, 1530, 1730"
Transformers: Voices of Cybertron,"1035, 1045, 1145, 1245, 1255, 1355, 1455, 1505, 1605, 1705, 1715, 1815"
WaterWorld Meet and Greet,"1230, 1430, 1700"
