Year,num_visitors,YoY_Change
1991,3532651,9.2
1992,3581540,1.4
1993,3410447,-4.8
1994,3468055,1.7
1995,3345274,-3.5
1996,3837113,14.7
1997,4218208,9.9
1998,4106057,-2.7
1999,4437863,8.1
2000,4757146,7.2
2001,4771555,0.3
2002,5238963,9.8
2003,5211725,-0.5
2004,6137905,17.8
2005,6727926,9.6
2006,7334077,9.0
2007,8346969,13.8
2008,8350835,0.0
2009,6789658,-18.7
2010,8611175,26.8
2011,6218752,-27.8
2012,8358105,34.4
2013,10363904,24.0
2014,13413467,29.4
2015,19737409,47.1
2016,24039700,21.8
2017,28691073,19.3
2018,31191856,8.7
2019,31882049,2.2
2020,4115828,-87.1
2021,245862,-94.0
2022,3832110,1458.6
2023,25066350,554.1
2024,36869900,47.1
