Park,Date/Time,Wait Time
Universal Studios Singapore,2024-11-01 10:00:00,7
Universal Studios Singapore,2024-11-01 10:05:00,9
Universal Studios Singapore,2024-11-01 10:10:00,9
Universal Studios Singapore,2024-11-01 10:15:00,10
Universal Studios Singapore,2024-11-01 10:20:00,10
Universal Studios Singapore,2024-11-01 10:25:00,11
Universal Studios Singapore,2024-11-01 10:30:00,14
Universal Studios Singapore,2024-11-01 10:35:00,15
Universal Studios Singapore,2024-11-01 10:40:00,17
Universal Studios Singapore,2024-11-01 10:45:00,20
Universal Studios Singapore,2024-11-01 10:50:00,20
Universal Studios Singapore,2024-11-01 10:55:00,21
Universal Studios Singapore,2024-11-01 11:00:00,20
Universal Studios Singapore,2024-11-01 11:05:00,20
Universal Studios Singapore,2024-11-01 11:10:00,16
Universal Studios Singapore,2024-11-01 11:15:00,21
Universal Studios Singapore,2024-11-01 11:20:00,22
Universal Studios Singapore,2024-11-01 11:25:00,27
Universal Studios Singapore,2024-11-01 11:30:00,30
Universal Studios Singapore,2024-11-01 11:35:00,31
Universal Studios Singapore,2024-11-01 11:40:00,31
Universal Studios Singapore,2024-11-01 11:45:00,31
Universal Studios Singapore,2024-11-01 11:55:00,30
Universal Studios Singapore,2024-11-01 12:00:00,31
Universal Studios Singapore,2024-11-01 12:05:00,36
Universal Studios Singapore,2024-11-01 12:10:00,35
Universal Studios Singapore,2024-11-01 12:15:00,36
Universal Studios Singapore,2024-11-01 12:20:00,36
Universal Studios Singapore,2024-11-01 12:25:00,35
Universal Studios Singapore,2024-11-01 12:30:00,33
Universal Studios Singapore,2024-11-01 12:35:00,35
Universal Studios Singapore,2024-11-01 12:40:00,34
Universal Studios Singapore,2024-11-01 12:45:00,36
Universal Studios Singapore,2024-11-01 12:50:00,36
Universal Studios Singapore,2024-11-01 12:55:00,34
Universal Studios Singapore,2024-11-01 13:00:00,34
Universal Studios Singapore,2024-11-01 13:05:00,34
Universal Studios Singapore,2024-11-01 13:10:00,34
Universal Studios Singapore,2024-11-01 13:15:00,35
Universal Studios Singapore,2024-11-01 13:20:00,35
Universal Studios Singapore,2024-11-01 13:25:00,35
Universal Studios Singapore,2024-11-01 13:30:00,35
Universal Studios Singapore,2024-11-01 13:35:00,37
Universal Studios Singapore,2024-11-01 13:40:00,37
Universal Studios Singapore,2024-11-01 13:45:00,35
Universal Studios Singapore,2024-11-01 13:50:00,32
Universal Studios Singapore,2024-11-01 13:55:00,30
Universal Studios Singapore,2024-11-01 14:00:00,33
Universal Studios Singapore,2024-11-01 14:05:00,28
Universal Studios Singapore,2024-11-01 14:10:00,26
Universal Studios Singapore,2024-11-01 14:15:00,18
Universal Studios Singapore,2024-11-01 14:20:00,18
Universal Studios Singapore,2024-11-01 14:25:00,17
Universal Studios Singapore,2024-11-01 14:30:00,24
Universal Studios Singapore,2024-11-01 14:35:00,24
Universal Studios Singapore,2024-11-01 14:40:00,24
Universal Studios Singapore,2024-11-01 14:45:00,24
Universal Studios Singapore,2024-11-01 14:50:00,24
Universal Studios Singapore,2024-11-01 14:55:00,31
Universal Studios Singapore,2024-11-01 15:00:00,29
Universal Studios Singapore,2024-11-01 15:05:00,28
Universal Studios Singapore,2024-11-01 15:10:00,31
Universal Studios Singapore,2024-11-01 15:15:00,29
Universal Studios Singapore,2024-11-01 15:20:00,29
Universal Studios Singapore,2024-11-01 15:25:00,31
Universal Studios Singapore,2024-11-01 15:30:00,32
Universal Studios Singapore,2024-11-01 15:35:00,32
Universal Studios Singapore,2024-11-01 15:40:00,34
Universal Studios Singapore,2024-11-01 15:45:00,35
Universal Studios Singapore,2024-11-01 15:50:00,31
Universal Studios Singapore,2024-11-01 15:55:00,29
Universal Studios Singapore,2024-11-01 16:00:00,32
Universal Studios Singapore,2024-11-01 16:05:00,32
Universal Studios Singapore,2024-11-01 16:10:00,30
Universal Studios Singapore,2024-11-01 16:15:00,34
