Date,USSAttendance
2017-01-01,12766
2017-01-02,11139
2017-01-03,11133
2017-01-04,10892
2017-01-05,11234
2017-01-06,10872
2017-01-07,11721
2017-01-08,12680
2017-01-09,11060
2017-01-10,11627
2017-01-11,11069
2017-01-12,10703
2017-01-13,11218
2017-01-14,11743
2017-01-15,12675
2017-01-16,11194
2017-01-17,10587
2017-01-18,10667
2017-01-19,11534
2017-01-20,10937
2017-01-21,12523
2017-01-22,12659
2017-01-23,12352
2017-01-24,11368
2017-01-25,11297
2017-01-26,10687
2017-01-27,10792
2017-01-28,12851
2017-01-29,12190
2017-01-30,10998
2017-01-31,11377
2017-02-01,10815
2017-02-02,10690
2017-02-03,11060
2017-02-04,12658
2017-02-05,12257
2017-02-06,10572
2017-02-07,11809
2017-02-08,10900
2017-02-09,10886
2017-02-10,10910
2017-02-11,12217
2017-02-12,12452
2017-02-13,10643
2017-02-14,11064
2017-02-15,11595
2017-02-16,11308
2017-02-17,11000
2017-02-18,12672
2017-02-19,14184
2017-02-20,10801
2017-02-21,11734
2017-02-22,10922
2017-02-23,10594
2017-02-24,11492
2017-02-25,13286
2017-02-26,12093
2017-02-27,10726
2017-02-28,10628
2017-03-01,11539
2017-03-02,11179
2017-03-03,10843
2017-03-04,12544
2017-03-05,13423
2017-03-06,10806
2017-03-07,11030
2017-03-08,10741
2017-03-09,10779
2017-03-10,10876
2017-03-11,12430
2017-03-12,11934
2017-03-13,11010
2017-03-14,10850
2017-03-15,11393
2017-03-16,11722
2017-03-17,10871
2017-03-18,12204
2017-03-19,12629
2017-03-20,11134
2017-03-21,10959
2017-03-22,10956
2017-03-23,11291
2017-03-24,10684
2017-03-25,12672
2017-03-26,13240
2017-03-27,10641
2017-03-28,11294
2017-03-29,11263
2017-03-30,10902
2017-03-31,10353
2017-04-01,13021
2017-04-02,12136
2017-04-03,11587
2017-04-04,11307
2017-04-05,11043
2017-04-06,11967
2017-04-07,11056
2017-04-08,11879
2017-04-09,13345
2017-04-10,10884
2017-04-11,11460
2017-04-12,10828
2017-04-13,10622
2017-04-14,10455
2017-04-15,12535
2017-04-16,12096
2017-04-17,11548
2017-04-18,10844
2017-04-19,10922
2017-04-20,11239
2017-04-21,10806
2017-04-22,12780
2017-04-23,12446
2017-04-24,10789
2017-04-25,10923
2017-04-26,10920
2017-04-27,11227
2017-04-28,11875
2017-04-29,12482
2017-04-30,12322
2017-05-01,10697
2017-05-02,10896
2017-05-03,11426
2017-05-04,10937
2017-05-05,10771
2017-05-06,12518
2017-05-07,13192
2017-05-08,10846
2017-05-09,11298
2017-05-10,11572
2017-05-11,11635
2017-05-12,11398
2017-05-13,13445
2017-05-14,11635
2017-05-15,10523
2017-05-16,10578
2017-05-17,10791
2017-05-18,11315
2017-05-19,11310
2017-05-20,12743
2017-05-21,13236
2017-05-22,10915
2017-05-23,11604
2017-05-24,11009
2017-05-25,11073
2017-05-26,10839
2017-05-27,12844
2017-05-28,12328
2017-05-29,11648
2017-05-30,11193
2017-05-31,10916
2017-06-01,10709
2017-06-02,11204
2017-06-03,12396
2017-06-04,13212
2017-06-05,10634
2017-06-06,10605
2017-06-07,11016
2017-06-08,11807
2017-06-09,11489
2017-06-10,13679
2017-06-11,12512
