DataSeries,year_month,no_of_visitors
Total International Visitor Arrivals By Inbound Tourism Markets,2025Jan,1633471
    Southeast Asia,2025Jan,476545
        Brunei Darussalam,2025Jan,4535
        Indonesia,2025Jan,251768
        Malaysia,2025Jan,102323
        Myanmar,2025Jan,11793
        Philippines,2025Jan,49088
        Thailand,2025Jan,23423
        Vietnam,2025Jan,26655
        Other Markets In Southeast Asia,2025Jan,6960
    Greater China,2025Jan,452734
        China,2025Jan,376474
        Hong Kong SAR,2025Jan,25869
        Taiwan,2025Jan,46126
        Other Markets In Greater China,2025Jan,4265
    North Asia,2025Jan,119528
        Japan,2025Jan,40053
        South Korea,2025Jan,79300
        Other Markets In North Asia,2025Jan,175
    South Asia,2025Jan,107443
        Bangladesh,2025Jan,12532
        India,2025Jan,85398
        Pakistan,2025Jan,1809
        Sri Lanka,2025Jan,4463
        Other Markets In South Asia,2025Jan,3241
    West Asia,2025Jan,13666
        Iran,2025Jan,390
        Israel,2025Jan,2116
        Kuwait,2025Jan,754
        Saudi Arabia,2025Jan,2381
        United Arab Emirates,2025Jan,5750
        Other Markets In West Asia,2025Jan,2275
    Americas,2025Jan,97421
        Canada,2025Jan,16854
        USA,2025Jan,70962
        Other Markets In Americas,2025Jan,9605
    Europe,2025Jan,200003
        Belgium & Luxembourg,2025Jan,2634
        Denmark,2025Jan,3162
        Finland,2025Jan,3613
        France,2025Jan,12948
        Germany,2025Jan,39376
        Italy,2025Jan,6086
        Netherlands,2025Jan,7685
        Norway,2025Jan,2603
        Rep Of Ireland,2025Jan,2673
        Russian Federation,2025Jan,10469
        Spain,2025Jan,4376
        Sweden,2025Jan,4673
        Switzerland,2025Jan,8283
        United Kingdom,2025Jan,56474
        Other Markets In Europe,2025Jan,34948
    Oceania,2025Jan,159559
        Australia,2025Jan,141336
        New Zealand,2025Jan,14545
        Other Markets In Oceania,2025Jan,3678
    Africa,2025Jan,6525
        Egypt,2025Jan,426
        Mauritius,2025Jan,487
        South Africa (Rep Of),2025Jan,2942
        Other Markets In Africa,2025Jan,2670
    Others,2025Jan,47
Total International Visitor Arrivals By Inbound Tourism Markets,2024Dec,1390631
    Southeast Asia,2024Dec,528319
        Brunei Darussalam,2024Dec,8439
        Indonesia,2024Dec,266032
        Malaysia,2024Dec,105622
        Myanmar,2024Dec,14421
        Philippines,2024Dec,72162
        Thailand,2024Dec,30436
        Vietnam,2024Dec,22642
        Other Markets In Southeast Asia,2024Dec,8565
    Greater China,2024Dec,240769
        China,2024Dec,193482
        Hong Kong SAR,2024Dec,23487
        Taiwan,2024Dec,20557
        Other Markets In Greater China,2024Dec,3243
    North Asia,2024Dec,85930
        Japan,2024Dec,42999
        South Korea,2024Dec,42841
        Other Markets In North Asia,2024Dec,90
    South Asia,2024Dec,129413
        Bangladesh,2024Dec,13441
        India,2024Dec,103739
        Pakistan,2024Dec,2109
        Sri Lanka,2024Dec,6804
        Other Markets In South Asia,2024Dec,3320
    West Asia,2024Dec,15103
        Iran,2024Dec,430
        Israel,2024Dec,1494
        Kuwait,2024Dec,530
        Saudi Arabia,2024Dec,1914
        United Arab Emirates,2024Dec,7869
        Other Markets In West Asia,2024Dec,2866
    Americas,2024Dec,84450
        Canada,2024Dec,12838
        USA,2024Dec,64841
        Other Markets In Americas,2024Dec,6771
    Europe,2024Dec,155694
        Belgium & Luxembourg,2024Dec,2533
        Denmark,2024Dec,2415
        Finland,2024Dec,2839
        France,2024Dec,10945
        Germany,2024Dec,31729
        Italy,2024Dec,4828
        Netherlands,2024Dec,6643
        Norway,2024Dec,2130
        Rep Of Ireland,2024Dec,1992
        Russian Federation,2024Dec,6109
        Spain,2024Dec,4362
        Sweden,2024Dec,4024
        Switzerland,2024Dec,7536
        United Kingdom,2024Dec,44650
        Other Markets In Europe,2024Dec,22959
    Oceania,2024Dec,139442
        Australia,2024Dec,122321
        New Zealand,2024Dec,13038
        Other Markets In Oceania,2024Dec,4083
    Africa,2024Dec,11486
        Egypt,2024Dec,239
        Mauritius,2024Dec,1077
        South Africa (Rep Of),2024Dec,5336
        Other Markets In Africa,2024Dec,4834
    Others,2024Dec,25
Total International Visitor Arrivals By Inbound Tourism Markets,2024Nov,1234696
    Southeast Asia,2024Nov,437875
        Brunei Darussalam,2024Nov,4500
        Indonesia,2024Nov,194445
        Malaysia,2024Nov,101920
        Myanmar,2024Nov,11345
        Philippines,2024Nov,66942
        Thailand,2024Nov,26740
        Vietnam,2024Nov,24350
        Other Markets In Southeast Asia,2024Nov,7633
    Greater China,2024Nov,224281
        China,2024Nov,174751
        Hong Kong SAR,2024Nov,24541
        Taiwan,2024Nov,23190
        Other Markets In Greater China,2024Nov,1799
    North Asia,2024Nov,84039
        Japan,2024Nov,44327
        South Korea,2024Nov,39600
        Other Markets In North Asia,2024Nov,112
    South Asia,2024Nov,113091
        Bangladesh,2024Nov,11092
        India,2024Nov,92904
        Pakistan,2024Nov,1569
        Sri Lanka,2024Nov,4970
