Region/Country,year_month,no_of_visitors
Total International Visitor Arrivals By Inbound Tourism Markets,2025-01-01,1633471
Southeast Asia,2025-01-01,476545
Brunei Darussalam,2025-01-01,4535
Indonesia,2025-01-01,251768
Malaysia,2025-01-01,102323
Myanmar,2025-01-01,11793
Philippines,2025-01-01,49088
Thailand,2025-01-01,23423
Vietnam,2025-01-01,26655
Other Markets In Southeast Asia,2025-01-01,6960
Greater China,2025-01-01,452734
China,2025-01-01,376474
Hong Kong SAR,2025-01-01,25869
Taiwan,2025-01-01,46126
Other Markets In Greater China,2025-01-01,4265
North Asia,2025-01-01,119528
Japan,2025-01-01,40053
South Korea,2025-01-01,79300
Other Markets In North Asia,2025-01-01,175
South Asia,2025-01-01,107443
Bangladesh,2025-01-01,12532
India,2025-01-01,85398
Pakistan,2025-01-01,1809
Sri Lanka,2025-01-01,4463
Other Markets In South Asia,2025-01-01,3241
West Asia,2025-01-01,13666
Iran,2025-01-01,390
Israel,2025-01-01,2116
Kuwait,2025-01-01,754
Saudi Arabia,2025-01-01,2381
United Arab Emirates,2025-01-01,5750
Other Markets In West Asia,2025-01-01,2275
Americas,2025-01-01,97421
Canada,2025-01-01,16854
USA,2025-01-01,70962
Other Markets In Americas,2025-01-01,9605
Europe,2025-01-01,200003
Belgium & Luxembourg,2025-01-01,2634
Denmark,2025-01-01,3162
Finland,2025-01-01,3613
France,2025-01-01,12948
Germany,2025-01-01,39376
Italy,2025-01-01,6086
Netherlands,2025-01-01,7685
Norway,2025-01-01,2603
Rep Of Ireland,2025-01-01,2673
Russian Federation,2025-01-01,10469
Spain,2025-01-01,4376
Sweden,2025-01-01,4673
Switzerland,2025-01-01,8283
United Kingdom,2025-01-01,56474
Other Markets In Europe,2025-01-01,34948
Oceania,2025-01-01,159559
Australia,2025-01-01,141336
New Zealand,2025-01-01,14545
Other Markets In Oceania,2025-01-01,3678
Africa,2025-01-01,6525
Egypt,2025-01-01,426
Mauritius,2025-01-01,487
South Africa (Rep Of),2025-01-01,2942
Other Markets In Africa,2025-01-01,2670
Others,2025-01-01,47
Total International Visitor Arrivals By Inbound Tourism Markets,2024-12-01,1390631
Southeast Asia,2024-12-01,528319
Brunei Darussalam,2024-12-01,8439
Indonesia,2024-12-01,266032
Malaysia,2024-12-01,105622
Myanmar,2024-12-01,14421
Philippines,2024-12-01,72162
Thailand,2024-12-01,30436
Vietnam,2024-12-01,22642
Other Markets In Southeast Asia,2024-12-01,8565
Greater China,2024-12-01,240769
China,2024-12-01,193482
Hong Kong SAR,2024-12-01,23487
Taiwan,2024-12-01,20557
Other Markets In Greater China,2024-12-01,3243
North Asia,2024-12-01,85930
Japan,2024-12-01,42999
South Korea,2024-12-01,42841
Other Markets In North Asia,2024-12-01,90
South Asia,2024-12-01,129413
Bangladesh,2024-12-01,13441
India,2024-12-01,103739
Pakistan,2024-12-01,2109
Sri Lanka,2024-12-01,6804
Other Markets In South Asia,2024-12-01,3320
West Asia,2024-12-01,15103
Iran,2024-12-01,430
Israel,2024-12-01,1494
Kuwait,2024-12-01,530
Saudi Arabia,2024-12-01,1914
United Arab Emirates,2024-12-01,7869
Other Markets In West Asia,2024-12-01,2866
Americas,2024-12-01,84450
Canada,2024-12-01,12838
USA,2024-12-01,64841
Other Markets In Americas,2024-12-01,6771
Europe,2024-12-01,155694
Belgium & Luxembourg,2024-12-01,2533
Denmark,2024-12-01,2415
Finland,2024-12-01,2839
France,2024-12-01,10945
Germany,2024-12-01,31729
Italy,2024-12-01,4828
Netherlands,2024-12-01,6643
Norway,2024-12-01,2130
Rep Of Ireland,2024-12-01,1992
Russian Federation,2024-12-01,6109
Spain,2024-12-01,4362
Sweden,2024-12-01,4024
Switzerland,2024-12-01,7536
United Kingdom,2024-12-01,44650
Other Markets In Europe,2024-12-01,22959
Oceania,2024-12-01,139442
Australia,2024-12-01,122321
New Zealand,2024-12-01,13038
Other Markets In Oceania,2024-12-01,4083
Africa,2024-12-01,11486
Egypt,2024-12-01,239
Mauritius,2024-12-01,1077
South Africa (Rep Of),2024-12-01,5336
Other Markets In Africa,2024-12-01,4834
Others,2024-12-01,25
Total International Visitor Arrivals By Inbound Tourism Markets,2024-11-01,1234696
Southeast Asia,2024-11-01,437875
Brunei Darussalam,2024-11-01,4500
Indonesia,2024-11-01,194445
Malaysia,2024-11-01,101920
Myanmar,2024-11-01,11345
Philippines,2024-11-01,66942
Thailand,2024-11-01,26740
Vietnam,2024-11-01,24350
Other Markets In Southeast Asia,2024-11-01,7633
Greater China,2024-11-01,224281
China,2024-11-01,174751
Hong Kong SAR,2024-11-01,24541
Taiwan,2024-11-01,23190
Other Markets In Greater China,2024-11-01,1799
North Asia,2024-11-01,84039
Japan,2024-11-01,44327
South Korea,2024-11-01,39600
Other Markets In North Asia,2024-11-01,112
South Asia,2024-11-01,113091
Bangladesh,2024-11-01,11092
India,2024-11-01,92904
Pakistan,2024-11-01,1569
Sri Lanka,2024-11-01,4970
Other Markets In South Asia,2024-11-01,2556
West Asia,2024-11-01,15092
Iran,2024-11-01,400
Israel,2024-11-01,1877
Kuwait,2024-11-01,352
Saudi Arabia,2024-11-01,3429
United Arab Emirates,2024-11-01,6699
Other Markets In West Asia,2024-11-01,2335
Americas,2024-11-01,86005
Canada,2024-11-01,14791
USA,2024-11-01,61005
Other Markets In Americas,2024-11-01,10209
Europe,2024-11-01,161891
Belgium & Luxembourg,2024-11-01,2906
Denmark,2024-11-01,2577
Finland,2024-11-01,2394
France,2024-11-01,13671
Germany,2024-11-01,26020
Italy,2024-11-01,5112
Netherlands,2024-11-01,7303
