age_group,year_month,no_of_visitors
Under 15 Years,2025-01-01,198338
15-19 Years,2025-01-01,74039
20-24 Years,2025-01-01,109166
25-34 Years,2025-01-01,308438
35-44 Years,2025-01-01,329530
45-54 Years,2025-01-01,248265
55-64 Years,2025-01-01,195883
65 & Over,2025-01-01,169812
Under 15 Years,2024-12-01,162779
15-19 Years,2024-12-01,66341
20-24 Years,2024-12-01,91704
25-34 Years,2024-12-01,277041
35-44 Years,2024-12-01,273868
45-54 Years,2024-12-01,210568
55-64 Years,2024-12-01,170167
65 & Over,2024-12-01,138163
Under 15 Years,2024-11-01,70097
15-19 Years,2024-11-01,34425
20-24 Years,2024-11-01,72083
25-34 Years,2024-11-01,283083
35-44 Years,2024-11-01,259271
45-54 Years,2024-11-01,201397
55-64 Years,2024-11-01,178581
65 & Over,2024-11-01,135759
Under 15 Years,2024-10-01,101959
15-19 Years,2024-10-01,44107
20-24 Years,2024-10-01,76181
25-34 Years,2024-10-01,308982
35-44 Years,2024-10-01,277729
45-54 Years,2024-10-01,206193
55-64 Years,2024-10-01,172521
65 & Over,2024-10-01,126814
Under 15 Years,2024-09-01,79642
15-19 Years,2024-09-01,34020
20-24 Years,2024-09-01,94180
25-34 Years,2024-09-01,324620
35-44 Years,2024-09-01,269147
45-54 Years,2024-09-01,203011
55-64 Years,2024-09-01,160831
65 & Over,2024-09-01,105224
Under 15 Years,2024-08-01,205970
15-19 Years,2024-08-01,85775
20-24 Years,2024-08-01,121870
25-34 Years,2024-08-01,304828
35-44 Years,2024-08-01,324783
45-54 Years,2024-08-01,243637
55-64 Years,2024-08-01,153304
65 & Over,2024-08-01,99661
Under 15 Years,2024-07-01,246195
15-19 Years,2024-07-01,111938
20-24 Years,2024-07-01,126991
25-34 Years,2024-07-01,279848
35-44 Years,2024-07-01,327221
45-54 Years,2024-07-01,258730
55-64 Years,2024-07-01,151654
65 & Over,2024-07-01,100019
Under 15 Years,2024-06-01,136472
15-19 Years,2024-06-01,62637
20-24 Years,2024-06-01,89265
25-34 Years,2024-06-01,257149
35-44 Years,2024-06-01,264209
45-54 Years,2024-06-01,196926
55-64 Years,2024-06-01,142054
65 & Over,2024-06-01,101581
Under 15 Years,2024-05-01,100607
15-19 Years,2024-05-01,36671
20-24 Years,2024-05-01,77436
25-34 Years,2024-05-01,292157
35-44 Years,2024-05-01,274683
45-54 Years,2024-05-01,202488
55-64 Years,2024-05-01,169548
65 & Over,2024-05-01,123570
Under 15 Years,2024-04-01,129752
15-19 Years,2024-04-01,42753
20-24 Years,2024-04-01,76292
25-34 Years,2024-04-01,295216
35-44 Years,2024-04-01,279901
45-54 Years,2024-04-01,208412
55-64 Years,2024-04-01,174941
65 & Over,2024-04-01,136052
Under 15 Years,2024-03-01,100306
15-19 Years,2024-03-01,45424
20-24 Years,2024-03-01,101093
25-34 Years,2024-03-01,362693
35-44 Years,2024-03-01,272732
45-54 Years,2024-03-01,209795
55-64 Years,2024-03-01,200220
65 & Over,2024-03-01,172602
Under 15 Years,2024-02-01,146139
15-19 Years,2024-02-01,45851
20-24 Years,2024-02-01,87578
25-34 Years,2024-02-01,293278
35-44 Years,2024-02-01,285128
45-54 Years,2024-02-01,210028
55-64 Years,2024-02-01,188957
65 & Over,2024-02-01,160848
Under 15 Years,2024-01-01,141754
15-19 Years,2024-01-01,55516
20-24 Years,2024-01-01,97560
25-34 Years,2024-01-01,301596
35-44 Years,2024-01-01,284643
45-54 Years,2024-01-01,214010
55-64 Years,2024-01-01,178196
65 & Over,2024-01-01,146681
Under 15 Years,2023-12-01,147770
15-19 Years,2023-12-01,55902
20-24 Years,2023-12-01,77330
25-34 Years,2023-12-01,245362
35-44 Years,2023-12-01,242866
45-54 Years,2023-12-01,187426
55-64 Years,2023-12-01,150897
65 & Over,2023-12-01,124012
Under 15 Years,2023-11-01,67096
15-19 Years,2023-11-01,27928
20-24 Years,2023-11-01,60792
25-34 Years,2023-11-01,248014
35-44 Years,2023-11-01,228688
45-54 Years,2023-11-01,179548
55-64 Years,2023-11-01,160082
65 & Over,2023-11-01,128311
Under 15 Years,2023-10-01,90349
15-19 Years,2023-10-01,33748
20-24 Years,2023-10-01,61067
25-34 Years,2023-10-01,264989
35-44 Years,2023-10-01,242387
45-54 Years,2023-10-01,179280
55-64 Years,2023-10-01,148825
65 & Over,2023-10-01,105319
Under 15 Years,2023-09-01,76550
15-19 Years,2023-09-01,28350
20-24 Years,2023-09-01,76408
25-34 Years,2023-09-01,287268
35-44 Years,2023-09-01,240842
45-54 Years,2023-09-01,181949
55-64 Years,2023-09-01,144918
65 & Over,2023-09-01,94477
Under 15 Years,2023-08-01,169313
15-19 Years,2023-08-01,64612
20-24 Years,2023-08-01,99781
25-34 Years,2023-08-01,270916
35-44 Years,2023-08-01,273623
45-54 Years,2023-08-01,208850
55-64 Years,2023-08-01,136666
65 & Over,2023-08-01,88932
Under 15 Years,2023-07-01,213900
15-19 Years,2023-07-01,87362
20-24 Years,2023-07-01,106091
25-34 Years,2023-07-01,260823
35-44 Years,2023-07-01,289963
45-54 Years,2023-07-01,226377
55-64 Years,2023-07-01,141383
65 & Over,2023-07-01,93743
Under 15 Years,2023-06-01,127133
15-19 Years,2023-06-01,52133
20-24 Years,2023-06-01,78138
25-34 Years,2023-06-01,238080
35-44 Years,2023-06-01,236955
45-54 Years,2023-06-01,176276
55-64 Years,2023-06-01,128264
65 & Over,2023-06-01,92331
Under 15 Years,2023-05-01,86537
15-19 Years,2023-05-01,31588
20-24 Years,2023-05-01,68402
25-34 Years,2023-05-01,265087
35-44 Years,2023-05-01,243768
45-54 Years,2023-05-01,178420
55-64 Years,2023-05-01,139956
65 & Over,2023-05-01,98754
Under 15 Years,2023-04-01,130720
15-19 Years,2023-04-01,40678
20-24 Years,2023-04-01,62125
25-34 Years,2023-04-01,244148
35-44 Years,2023-04-01,238924
45-54 Years,2023-04-01,174794
55-64 Years,2023-04-01,134080
65 & Over,2023-04-01,103141
Under 15 Years,2023-03-01,74447
15-19 Years,2023-03-01,25960
20-24 Years,2023-03-01,59341
25-34 Years,2023-03-01,232638
35-44 Years,2023-03-01,213331
45-54 Years,2023-03-01,161958
55-64 Years,2023-03-01,139133
65 & Over,2023-03-01,114232
Under 15 Years,2023-02-01,65721
15-19 Years,2023-02-01,22878
20-24 Years,2023-02-01,65498
25-34 Years,2023-02-01,221643
35-44 Years,2023-02-01,195224
45-54 Years,2023-02-01,150978
55-64 Years,2023-02-01,129725
65 & Over,2023-02-01,106177
Under 15 Years,2023-01-01,98848
15-19 Years,2023-01-01,36964
20-24 Years,2023-01-01,67248
25-34 Years,2023-01-01,200425
35-44 Years,2023-01-01,184848
45-54 Years,2023-01-01,143897
55-64 Years,2023-01-01,111368
65 & Over,2023-01-01,88216
Under 15 Years,2022-12-01,123734
15-19 Years,2022-12-01,43167
20-24 Years,2022-12-01,65231
25-34 Years,2022-12-01,200412
35-44 Years,2022-12-01,187200
45-54 Years,2022-12-01,136410
55-64 Years,2022-12-01,99949
65 & Over,2022-12-01,75234
Under 15 Years,2022-11-01,48421
15-19 Years,2022-11-01,16801
20-24 Years,2022-11-01,51327
25-34 Years,2022-11-01,210690
35-44 Years,2022-11-01,180148
45-54 Years,2022-11-01,137778
55-64 Years,2022-11-01,103043
65 & Over,2022-11-01,68132
Under 15 Years,2022-10-01,63829
15-19 Years,2022-10-01,21290
20-24 Years,2022-10-01,51624
25-34 Years,2022-10-01,212843
35-44 Years,2022-10-01,175720
45-54 Years,2022-10-01,129825
55-64 Years,2022-10-01,97222
65 & Over,2022-10-01,64480
Under 15 Years,2022-09-01,50827
15-19 Years,2022-09-01,19359
20-24 Years,2022-09-01,59783
25-34 Years,2022-09-01,215319
35-44 Years,2022-09-01,168721
45-54 Years,2022-09-01,123753
55-64 Years,2022-09-01,90120
65 & Over,2022-09-01,54333
Under 15 Years,2022-08-01,64064
15-19 Years,2022-08-01,29326
20-24 Years,2022-08-01,66314
25-34 Years,2022-08-01,187932
35-44 Years,2022-08-01,148400
45-54 Years,2022-08-01,110418
55-64 Years,2022-08-01,76569
65 & Over,2022-08-01,45721
Under 15 Years,2022-07-01,78914
15-19 Years,2022-07-01,37336
20-24 Years,2022-07-01,66276
25-34 Years,2022-07-01,169853
35-44 Years,2022-07-01,146720
45-54 Years,2022-07-01,112285
55-64 Years,2022-07-01,71746
65 & Over,2022-07-01,43609
Under 15 Years,2022-06-01,54166
15-19 Years,2022-06-01,22970
20-24 Years,2022-06-01,42754
25-34 Years,2022-06-01,128450
35-44 Years,2022-06-01,114453
45-54 Years,2022-06-01,83636
55-64 Years,2022-06-01,57907
