gender,year_month,no_of_visitors
Males,2025-01-01,774915
Females,2025-01-01,858412
Males,2024-12-01,671068
Females,2024-12-01,719426
Males,2024-11-01,625593
Females,2024-11-01,609010
Males,2024-10-01,650032
Females,2024-10-01,664347
Males,2024-09-01,643863
Females,2024-09-01,626723
Males,2024-08-01,737572
Females,2024-08-01,802168
Males,2024-07-01,760898
Females,2024-07-01,841569
Males,2024-06-01,603112
Females,2024-06-01,646958
Males,2024-05-01,628754
Females,2024-05-01,648180
Males,2024-04-01,650631
Females,2024-04-01,692587
Males,2024-03-01,680108
Females,2024-03-01,784665
Males,2024-02-01,683302
Females,2024-02-01,734394
Males,2024-01-01,677562
Females,2024-01-01,742306
Males,2023-12-01,598523
Females,2023-12-01,632992
Males,2023-11-01,556610
Females,2023-11-01,543828
Males,2023-10-01,563225
Females,2023-10-01,562723
Males,2023-09-01,576699
Females,2023-09-01,554054
Males,2023-08-01,634882
Females,2023-08-01,677793
Males,2023-07-01,681780
Females,2023-07-01,737855
Males,2023-06-01,548258
Females,2023-06-01,581045
Males,2023-05-01,545031
Females,2023-05-01,567474
Males,2023-04-01,556456
Females,2023-04-01,572144
Males,2023-03-01,515067
Females,2023-03-01,505964
Males,2023-02-01,483745
Females,2023-02-01,474086
Males,2023-01-01,464508
Females,2023-01-01,467297
Males,2022-12-01,457823
Females,2022-12-01,473507
Males,2022-11-01,428447
Females,2022-11-01,387885
Males,2022-10-01,423112
Females,2022-10-01,393712
Males,2022-09-01,419664
Females,2022-09-01,362542
Males,2022-08-01,375963
Females,2022-08-01,352779
Males,2022-07-01,371596
Females,2022-07-01,355136
Males,2022-06-01,280284
Females,2022-06-01,263439
Males,2022-05-01,223467
Females,2022-05-01,194989
Males,2022-04-01,160563
Females,2022-04-01,134525
Males,2022-03-01,73672
Females,2022-03-01,47532
Males,2022-02-01,40068
Females,2022-02-01,27679
Males,2022-01-01,32605
Females,2022-01-01,24546
Males,2021-12-01,54718
Females,2021-12-01,38070
Males,2021-11-01,24371
Females,2021-11-01,16804
Males,2021-10-01,14698
Females,2021-10-01,9307
Males,2021-09-01,11615
Females,2021-09-01,7392
