,timestamp,visited_US,visit_freq,age,gender,monthly_income,nationality,companion,ride_pref,time_in_park,visit_day,visit_reason,mkting_content_seen,mkting_content_pref,get_ticket,fee_pricing,queuing,fast_pass_worth,cleanliness,facilities,navigation,rides,theme,relavamce,staffing,friendliness,return_likelihood,concern_malfucntion,concern_violence,concern_crowd_crush,concern_theft,concern_getting_lost,concern_medical_access,concern_weather,concern_food_safety,visit_deterrents,attraction_decision,top_expense,hollywood,minion_land,far_far_away,lost_world,ancient_egypt,scifi_city,new_york
0,15/02/2025 19:01:30,True,Once every 2-3 years,19-25 years old,Female,No income,singaporean/pr,"Friends, Family",high,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)","School Holidays, For special events (eg. Halloween, Christmas etc.)","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount","Email newsletter or promotional offers, Print advertisements (e.g., magazines, brochures), Theme park websites or blogs","Discounts, special offers, or bundles, New attractions or event announcements",6,4,4,1,7,7,7,6,7,7,7,7,7,3,1,1,1,1,2,5,2,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
1,16/02/2025 10:44:01,True,Once every 2-3 years,19-25 years old,Female,No income,singaporean/pr,"Friends, Family",high,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)","Weekdays (Mondays to Thursdays), School Holidays, For special events (eg. Halloween, Christmas etc.)","To experience a specific attraction or ride, To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To spend time with family/friends, For a relaxing getaway or vacation, As part of a larger travel plan (e.g., trip to the area)","YouTube videos or influencer content (can be overseas theme parks as well), Theme park websites or blogs, Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles, New attractions or event announcements, Interactive experiences (e.g., virtual tours, social media contests)",7,5,3,2,7,6,7,7,7,6,7,6,7,4,3,2,3,1,1,4,3,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions",I stick to the few rides/attractions that I enjoy the most.,F&B,,,,,,,
2,16/02/2025 11:16:23,True,When on vacation,19-25 years old,Male,No income,singaporean/pr,"Friends, Family",medium,"Morning (10am-12pm), Afternoon (12pm-5pm)","Fridays, Saturdays, Sundays, For special events (eg. Halloween, Christmas etc.)","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To spend time with family/friends, As part of a larger travel plan (e.g., trip to the area), To visit a newly opened or recently renovated park/area","Social media ads, Online banner ads, Theme park websites or blogs, Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles, New attractions or event announcements, User-generated content (e.g., visitor testimonials, influencer partnerships), Interactive experiences (e.g., virtual tours, social media contests)",5,3,3,5,7,5,6,5,5,5,5,6,5,3,3,2,2,3,2,3,1,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
3,16/02/2025 11:22:17,True,< Once every 3 years,46-54 years old,Female,"$6,000 - $9,999",singaporean/pr,Family,low,Morning (10am-12pm),Public Holidays,To spend time with family/friends,Online banner ads,"Discounts, special offers, or bundles",6,1,1,1,6,6,5,3,7,4,4,3,1,4,4,4,3,1,4,4,1,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions, Boring","A mix of both of the above —some planned rides, but I also go with what’s nearby.",Transportation,,,,,,,
4,16/02/2025 11:22:40,True,< Once every 3 years,55 and above,Female,No income,singaporean/pr,Family,no_rides,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)","Saturdays, Sundays, Public Holidays, School Holidays, For special events (eg. Halloween, Christmas etc.)",To spend time with family/friends,TV commercials,"Discounts, special offers, or bundles",6,7,7,4,6,6,6,5,7,4,5,5,4,4,1,1,1,1,1,1,4,"Costs (F&B, admission tickets, etc.), Unpredictable weather conditions, Boring","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
5,16/02/2025 11:38:59,True,When on vacation,15-18 years old,Male,No income,singaporean/pr,"Friends, Family",no_rides,Afternoon (12pm-5pm),School Holidays,"To spend time with family/friends, For a relaxing getaway or vacation","Social media ads, TV commercials, YouTube videos or influencer content (can be overseas theme parks as well)","Behind-the-scenes content or exclusive previews, User-generated content (e.g., visitor testimonials, influencer partnerships)",6,5,2,5,6,6,6,6,6,5,5,5,6,1,2,3,3,3,2,3,1,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
6,16/02/2025 11:52:52,True,< Once every 3 years,19-25 years old,Male,No income,singaporean/pr,"Couple (I go with my partner), Friends",high,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)",School Holidays,Roller coasters,Billboard or outdoor ads,"Discounts, special offers, or bundles, New attractions or event announcements",6,1,4,4,5,5,6,5,3,5,5,4,5,1,1,1,3,1,1,4,1,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions, Boring",I stick to the few rides/attractions that I enjoy the most.,Transportation,,,,,,,
7,16/02/2025 12:00:21,True,Once every 2-3 years,19-25 years old,Female,No income,singaporean/pr,Friends,high,"Afternoon (12pm-5pm), Evening (5pm-7pm)","Weekdays (Mondays to Thursdays), Fridays, Public Holidays, School Holidays","Because of a special promotion or discount, For a relaxing getaway or vacation","Social media ads, Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles",4,3,3,4,5,4,4,4,4,4,4,4,4,3,2,4,2,1,3,4,3,"Crowd, Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
8,16/02/2025 12:03:24,True,Once every 2-3 years,19-25 years old,Female,"$2,000 - $5,999",singaporean/pr,"Friends, Family",high,"Afternoon (12pm-5pm), Evening (5pm-7pm)","Saturdays, For special events (eg. Halloween, Christmas etc.), Evenings/Night visits (After 6pm)","To experience a specific attraction or ride, To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), To spend time with family/friends","Social media ads, Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles, New attractions or event announcements",7,5,4,4,6,6,6,6,5,5,5,6,6,4,4,2,3,3,4,3,3,"Crowd, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
9,16/02/2025 12:07:09,True,When on vacation,19-25 years old,Female,Below $2000,singaporean/pr,Friends,medium,Evening (5pm-7pm),"For special events (eg. Halloween, Christmas etc.)","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), To spend time with family/friends","Social media ads, YouTube videos or influencer content (can be overseas theme parks as well), Online banner ads, Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles",5,1,2,5,6,6,5,6,5,5,5,5,6,3,1,3,2,4,2,4,1,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",Transportation,,,,,,,
10,16/02/2025 12:19:15,True,< Once every 3 years,19-25 years old,Male,Below $2000,singaporean/pr,Family,medium,Afternoon (12pm-5pm),"Saturdays, Sundays, Public Holidays",To spend time with family/friends,Online banner ads,"Discounts, special offers, or bundles",3,3,3,4,5,5,5,6,5,5,5,5,3,4,3,4,3,3,3,4,3,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time",I decide based on which rides are closest to me at the moment.,F&B,,,,,,,
11,16/02/2025 12:23:34,True,When on vacation,55 and above,Female,Below $2000,singaporean/pr,"Friends, Family",low,Afternoon (12pm-5pm),"Weekdays (Mondays to Thursdays), Saturdays, Sundays",To spend time with family/friends,TV commercials,"Discounts, special offers, or bundles",4,4,4,2,4,6,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,"Costs (F&B, admission tickets, etc.)",I stick to the few rides/attractions that I enjoy the most.,F&B,,,,,,,
12,16/02/2025 13:01:15,True,Once every 2-3 years,19-25 years old,Female,No income,singaporean/pr,Friends,high,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)","Weekdays (Mondays to Thursdays), For special events (eg. Halloween, Christmas etc.)","Because of a special promotion or discount, As part of a larger travel plan (e.g., trip to the area)","Social media ads, Billboard or outdoor ads, Theme park websites or blogs","Discounts, special offers, or bundles, New attractions or event announcements",7,2,2,4,5,5,6,5,5,6,6,6,6,2,2,4,2,2,2,4,2,"Crowd, Costs (F&B, admission tickets, etc.)","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
