Timestamp,1. Have you ever been to Universal Studios?,2. How frequently do you visit a theme park?,3. What is your age?,4. What is your gender?,5. What is your monthly income?,"6. What is your nationality? If you select ""Other"", please specify.",7. Who do you usually go to theme parks with? (Select all that apply),8. What types of rides do you prefer?,9. What time of the day are you usually in the theme park? (Select all that apply),10. When are you most likely to visit a theme park? (Select all that apply),"11. Why do you visit a theme park? If you select ""Other"", please specify. (Select all that apply)","12. What types of theme park marketing content have you seen recently? If you select ""Other"", please specify. (Select all that apply)","13. What types of marketing content do you find most appealing from theme parks? If you select ""Other"", please specify. (Select all that apply)",14. Getting tickets was easy for me,"15. Fees were fairly priced (F&B, admission tickets)",16. I spent less time queueing than expected,17. Getting an express / fast pass is worth it,18. The park was clean and well maintained,"19. There were adequate facilities provided (toilets, shelters, cooling or heating, etc.)",20. I was able to navigate through the theme park easily,21. The rides and attractions were enjoyable,22. The rides and attractions help reinforce the park’s theme and atmosphere,23. The rides and attractions are relevant today,24. The park was adequately staffed,25. Staff were friendly and helpful,26. I am likely to come back to this theme park again,27. How concerned are you of these possible situations at a theme park during your visit? (Rate each factor on a scale of 1-5) [Ride Malfunction],27. How concerned are you of these possible situations at a theme park during your visit? (Rate each factor on a scale of 1-5) [Violent behaviour from others],27. How concerned are you of these possible situations at a theme park during your visit? (Rate each factor on a scale of 1-5) [Crowd crush],27. How concerned are you of these possible situations at a theme park during your visit? (Rate each factor on a scale of 1-5) [Theft & Pickpocketing],27. How concerned are you of these possible situations at a theme park during your visit? (Rate each factor on a scale of 1-5) [Getting lost or separated from friends and family],27. How concerned are you of these possible situations at a theme park during your visit? (Rate each factor on a scale of 1-5) [Lack of immediate medical attention],27. How concerned are you of these possible situations at a theme park during your visit? (Rate each factor on a scale of 1-5) [Sudden weather changes],27. How concerned are you of these possible situations at a theme park during your visit? (Rate each factor on a scale of 1-5) [Food contamination],"28. What dissuades you from wanting to visit a theme park? If you select ""Other"", please specify",29. How do you typically decide which attractions to visit at a theme park?,"30. What do you spend the most money on in a theme park (excluding the admission ticket)? If you select ""Other"", please specify",31. (Optional - only if you have recently been to USS) Which areas did you visit and in what order? (Select only the areas which you have visited) [Hollywood],31. (Optional - only if you have recently been to USS) Which areas did you visit and in what order? (Select only the areas which you have visited) [Minion Land],31. (Optional - only if you have recently been to USS) Which areas did you visit and in what order? (Select only the areas which you have visited) [Far Far Away],31. (Optional - only if you have recently been to USS) Which areas did you visit and in what order? (Select only the areas which you have visited) [The Lost World],31. (Optional - only if you have recently been to USS) Which areas did you visit and in what order? (Select only the areas which you have visited) [Ancient Egypt],31. (Optional - only if you have recently been to USS) Which areas did you visit and in what order? (Select only the areas which you have visited) [Sci-fi City],31. (Optional - only if you have recently been to USS) Which areas did you visit and in what order? (Select only the areas which you have visited) [New York]
15/02/2025 19:01:30,Yes,Once every 2-3 years,19-25 years old,Female,No income,Singaporean/PR,"Friends, Family",High-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)","School Holidays, For special events (eg. Halloween, Christmas etc.)","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount","Email newsletter or promotional offers, Print advertisements (e.g., magazines, brochures), Theme park websites or blogs","Discounts, special offers, or bundles, New attractions or event announcements",6,4,4,1,7,7,7,6,7,7,7,7,7,3,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,2,5 - Very concerned,2,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
16/02/2025 10:44:01,Yes,Once every 2-3 years,19-25 years old,Female,No income,Singaporean/PR,"Friends, Family",High-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)","Weekdays (Mondays to Thursdays), School Holidays, For special events (eg. Halloween, Christmas etc.)","To experience a specific attraction or ride, To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To spend time with family/friends, For a relaxing getaway or vacation, As part of a larger travel plan (e.g., trip to the area)","YouTube videos or influencer content (can be overseas theme parks as well), Theme park websites or blogs, Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles, New attractions or event announcements, Interactive experiences (e.g., virtual tours, social media contests)",7,5,3,2,7,6,7,7,7,6,7,6,7,4,3,2,3,1 - Not a concern at all,1 - Not a concern at all,4,3,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions",I stick to the few rides/attractions that I enjoy the most.,F&B,,,,,,,
16/02/2025 11:16:23,Yes,When on vacation,19-25 years old,Male,No income,Singaporean/PR,"Friends, Family",Medium-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm)","Fridays, Saturdays, Sundays, For special events (eg. Halloween, Christmas etc.)","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To spend time with family/friends, As part of a larger travel plan (e.g., trip to the area), To visit a newly opened or recently renovated park/area","Social media ads, Online banner ads, Theme park websites or blogs, Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles, New attractions or event announcements, User-generated content (e.g., visitor testimonials, influencer partnerships), Interactive experiences (e.g., virtual tours, social media contests)",5,3,3,5,7,5,6,5,5,5,5,6,5,3,3,2,2,3,2,3,1 - Not a concern at all,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
16/02/2025 11:22:17,Yes,< Once every 3 years,46-54 years old,Female,"$6,000 - $9,999",Singaporean/PR,Family,Low-intensity rides,Morning (10am-12pm),Public Holidays,To spend time with family/friends,Online banner ads,"Discounts, special offers, or bundles",6,1,1,1,6,6,5,3,7,4,4,3,1,4,4,4,3,1 - Not a concern at all,4,4,1 - Not a concern at all,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions, Boring","A mix of both of the above —some planned rides, but I also go with what’s nearby.","Transportation (e.g. Parking, taxi fares etc.)",,,,,,,
16/02/2025 11:22:40,Yes,< Once every 3 years,55 and above,Female,No income,Singaporean/PR,Family,I do not go on any rides,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)","Saturdays, Sundays, Public Holidays, School Holidays, For special events (eg. Halloween, Christmas etc.)",To spend time with family/friends,TV commercials,"Discounts, special offers, or bundles",6,7,7,4,6,6,6,5,7,4,5,5,4,4,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,4,"Costs (F&B, admission tickets, etc.), Unpredictable weather conditions, Boring","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
16/02/2025 11:38:59,Yes,When on vacation,15-18 years old,Male,No income,Singaporean/PR,"Friends, Family",I do not go on any rides,Afternoon (12pm-5pm),School Holidays,"To spend time with family/friends, For a relaxing getaway or vacation","Social media ads, TV commercials, YouTube videos or influencer content (can be overseas theme parks as well)","Behind-the-scenes content or exclusive previews, User-generated content (e.g., visitor testimonials, influencer partnerships)",6,5,2,5,6,6,6,6,6,5,5,5,6,1 - Not a concern at all,2,3,3,3,2,3,1 - Not a concern at all,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
16/02/2025 11:52:52,Yes,< Once every 3 years,19-25 years old,Male,No income,Singaporean/PR,"Couple (I go with my partner), Friends",High-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)",School Holidays,Roller coasters,Billboard or outdoor ads,"Discounts, special offers, or bundles, New attractions or event announcements",6,1,4,4,5,5,6,5,3,5,5,4,5,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,3,1 - Not a concern at all,1 - Not a concern at all,4,1 - Not a concern at all,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions, Boring",I stick to the few rides/attractions that I enjoy the most.,"Transportation (e.g. Parking, taxi fares etc.)",,,,,,,
16/02/2025 12:00:21,Yes,Once every 2-3 years,19-25 years old,Female,No income,Singaporean/PR,Friends,High-intensity rides,"Afternoon (12pm-5pm), Evening (5pm-7pm)","Weekdays (Mondays to Thursdays), Fridays, Public Holidays, School Holidays","Because of a special promotion or discount, For a relaxing getaway or vacation","Social media ads, Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles",4,3,3,4,5,4,4,4,4,4,4,4,4,3,2,4,2,1 - Not a concern at all,3,4,3,"Crowd, Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
16/02/2025 12:03:24,Yes,Once every 2-3 years,19-25 years old,Female,"$2,000 - $5,999",Singaporean/PR,"Friends, Family",High-intensity rides,"Afternoon (12pm-5pm), Evening (5pm-7pm)","Saturdays, For special events (eg. Halloween, Christmas etc.), Evenings/Night visits (After 6pm)","To experience a specific attraction or ride, To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), To spend time with family/friends","Social media ads, Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles, New attractions or event announcements",7,5,4,4,6,6,6,6,5,5,5,6,6,4,4,2,3,3,4,3,3,"Crowd, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
16/02/2025 12:07:09,Yes,When on vacation,19-25 years old,Female,Below $2000,Singaporean/PR,Friends,Medium-intensity rides,Evening (5pm-7pm),"For special events (eg. Halloween, Christmas etc.)","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), To spend time with family/friends","Social media ads, YouTube videos or influencer content (can be overseas theme parks as well), Online banner ads, Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles",5,1,2,5,6,6,5,6,5,5,5,5,6,3,1 - Not a concern at all,3,2,4,2,4,1 - Not a concern at all,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.","Transportation (e.g. Parking, taxi fares etc.)",,,,,,,
