ride,file_name
Enchanted Airways,enchantedairways
Accelerator,accelerator
Battlestar Galactica: CYLON,cylon
Battlestar Galactica: HUMAN,human
Buggie Boogie,buggieboogie
Canopy Flyer,canopyflyer
Despicable Me Minon Mayhem,minionmayhem
Dino-Soarin,dinosoarin
Jurassic Park Rapids Adventure,rapidsadventure
Lights, Camera, Action! Hosted by Steven Spielberg,lightscameraaction
Magic Potion Spin,magicpotionspin
Puss In Boots' Giant Journey,pussinboots
Revenge of the Mummy,mummy
Sesame Street Spaghetti Space Chase,sesamestreet
Shrek 4-D Adventure,shrek
Silly Swirly,sillyswirly
TRANSFORMERS The Ride: The Ultimate 3D Battle,transformers
Treasure Hunters,treasurehunters
