Ride,Date/Time,Wait Time
Dino-Soarin,2024-08-01 09:45:13,5
Dino-Soarin,2024-08-01 09:50:13,5
Dino-Soarin,2024-08-01 09:55:13,5
Dino-Soarin,2024-08-01 10:00:13,5
Dino-Soarin,2024-08-01 10:05:12,5
Dino-Soarin,2024-08-01 10:15:13,5
Dino-Soarin,2024-08-01 10:20:13,5
Dino-Soarin,2024-08-01 10:25:13,5
Dino-Soarin,2024-08-01 10:30:13,5
Dino-Soarin,2024-08-01 10:35:13,5
Dino-Soarin,2024-08-01 10:40:13,5
Dino-Soarin,2024-08-01 10:45:13,5
Dino-Soarin,2024-08-01 10:50:13,5
Dino-Soarin,2024-08-01 10:55:13,5
Dino-Soarin,2024-08-01 11:00:13,15
Dino-Soarin,2024-08-01 11:05:13,15
Dino-Soarin,2024-08-01 11:10:13,15
Dino-Soarin,2024-08-01 11:15:13,15
Dino-Soarin,2024-08-01 11:20:13,15
Dino-Soarin,2024-08-01 11:25:13,15
Dino-Soarin,2024-08-01 11:30:13,15
Dino-Soarin,2024-08-01 11:35:14,15
Dino-Soarin,2024-08-01 11:40:14,25
Dino-Soarin,2024-08-01 11:45:13,25
Dino-Soarin,2024-08-01 11:50:13,30
Dino-Soarin,2024-08-01 11:55:12,30
Dino-Soarin,2024-08-01 12:00:14,30
Dino-Soarin,2024-08-01 12:05:13,30
Dino-Soarin,2024-08-01 12:10:14,30
Dino-Soarin,2024-08-01 12:15:13,30
Dino-Soarin,2024-08-01 12:20:13,30
Dino-Soarin,2024-08-01 12:25:14,40
Dino-Soarin,2024-08-01 12:30:14,40
Dino-Soarin,2024-08-01 12:35:13,40
Dino-Soarin,2024-08-01 12:40:13,40
Dino-Soarin,2024-08-01 12:45:13,40
Dino-Soarin,2024-08-01 12:50:13,40
Dino-Soarin,2024-08-01 12:55:13,40
Dino-Soarin,2024-08-01 13:00:13,40
Dino-Soarin,2024-08-01 13:05:12,40
Dino-Soarin,2024-08-01 13:10:12,40
Dino-Soarin,2024-08-01 13:15:13,30
Dino-Soarin,2024-08-01 13:20:13,30
Dino-Soarin,2024-08-01 13:25:13,30
Dino-Soarin,2024-08-01 13:30:13,30
