Ride,Date/Time,Wait Time
Dino-Soarin,2024-10-01 06:00:12,0
Dino-Soarin,2024-10-01 06:05:12,0
Dino-Soarin,2024-10-01 06:10:12,0
Dino-Soarin,2024-10-01 06:15:12,0
Dino-Soarin,2024-10-01 06:20:11,0
Dino-Soarin,2024-10-01 06:25:12,0
Dino-Soarin,2024-10-01 06:30:12,0
Dino-Soarin,2024-10-01 06:35:12,0
Dino-Soarin,2024-10-01 06:40:12,0
Dino-Soarin,2024-10-01 06:45:11,0
Dino-Soarin,2024-10-01 06:50:12,0
Dino-Soarin,2024-10-01 06:55:12,0
Dino-Soarin,2024-10-01 07:00:12,0
Dino-Soarin,2024-10-01 07:05:12,0
Dino-Soarin,2024-10-01 07:10:13,0
Dino-Soarin,2024-10-01 07:15:13,0
Dino-Soarin,2024-10-01 07:20:12,0
Dino-Soarin,2024-10-01 07:25:12,0
Dino-Soarin,2024-10-01 07:30:12,0
Dino-Soarin,2024-10-01 07:35:12,0
Dino-Soarin,2024-10-01 07:40:12,0
Dino-Soarin,2024-10-01 07:45:12,0
Dino-Soarin,2024-10-01 07:50:12,0
Dino-Soarin,2024-10-01 07:55:12,0
Dino-Soarin,2024-10-01 08:00:12,0
Dino-Soarin,2024-10-01 08:05:11,0
Dino-Soarin,2024-10-01 08:10:12,0
Dino-Soarin,2024-10-01 08:15:12,0
Dino-Soarin,2024-10-01 08:20:12,0
Dino-Soarin,2024-10-01 08:25:12,0
Dino-Soarin,2024-10-01 08:30:12,0
Dino-Soarin,2024-10-01 08:35:12,0
Dino-Soarin,2024-10-01 08:40:12,0
Dino-Soarin,2024-10-01 08:50:13,0
Dino-Soarin,2024-10-01 08:55:13,0
Dino-Soarin,2024-10-01 09:00:12,0
Dino-Soarin,2024-10-01 09:05:13,0
Dino-Soarin,2024-10-01 09:10:12,0
Dino-Soarin,2024-10-01 09:15:12,0
Dino-Soarin,2024-10-01 09:20:12,0
Dino-Soarin,2024-10-01 09:25:12,0
Dino-Soarin,2024-10-01 09:30:12,0
Dino-Soarin,2024-10-01 09:35:12,0
Dino-Soarin,2024-10-01 09:40:12,0
Dino-Soarin,2024-10-01 10:05:21,5
Dino-Soarin,2024-10-01 10:10:12,5
Dino-Soarin,2024-10-01 10:15:12,5
Dino-Soarin,2024-10-01 10:20:12,5
Dino-Soarin,2024-10-01 10:25:12,5
Dino-Soarin,2024-10-01 10:30:12,5
Dino-Soarin,2024-10-01 10:35:12,5
Dino-Soarin,2024-10-01 10:40:12,5
Dino-Soarin,2024-10-01 10:45:12,5
Dino-Soarin,2024-10-01 10:50:12,5
Dino-Soarin,2024-10-01 10:55:12,5
Dino-Soarin,2024-10-01 11:00:12,5
Dino-Soarin,2024-10-01 11:05:12,5
Dino-Soarin,2024-10-01 11:10:12,5
Dino-Soarin,2024-10-01 11:15:12,5
Dino-Soarin,2024-10-01 11:20:12,5
Dino-Soarin,2024-10-01 11:25:12,5
Dino-Soarin,2024-10-01 11:30:11,5
Dino-Soarin,2024-10-01 11:35:12,5
Dino-Soarin,2024-10-01 11:40:12,5
Dino-Soarin,2024-10-01 11:45:12,5
Dino-Soarin,2024-10-01 11:50:13,5
Dino-Soarin,2024-10-01 11:55:12,5
Dino-Soarin,2024-10-01 12:00:13,25
Dino-Soarin,2024-10-01 12:05:14,25
Dino-Soarin,2024-10-01 12:10:12,25
Dino-Soarin,2024-10-01 12:15:12,25
Dino-Soarin,2024-10-01 12:20:12,25
Dino-Soarin,2024-10-01 12:30:12,25
Dino-Soarin,2024-10-01 12:35:12,25
Dino-Soarin,2024-10-01 12:40:12,25
Dino-Soarin,2024-10-01 12:45:12,25
Dino-Soarin,2024-10-01 12:50:12,25
Dino-Soarin,2024-10-01 12:55:12,25
Dino-Soarin,2024-10-01 13:00:12,25
Dino-Soarin,2024-10-01 13:05:11,25
Dino-Soarin,2024-10-01 13:10:12,40
Dino-Soarin,2024-10-01 13:15:12,40
Dino-Soarin,2024-10-01 13:20:12,40
Dino-Soarin,2024-10-01 13:25:11,40
Dino-Soarin,2024-10-01 13:30:12,40
Dino-Soarin,2024-10-01 13:35:11,40
Dino-Soarin,2024-10-01 13:40:12,40
Dino-Soarin,2024-10-01 13:45:12,40
Dino-Soarin,2024-10-01 13:50:12,40
Dino-Soarin,2024-10-01 13:55:12,40
Dino-Soarin,2024-10-01 14:00:12,40
Dino-Soarin,2024-10-01 14:05:12,40
Dino-Soarin,2024-10-01 14:10:12,40
Dino-Soarin,2024-10-01 14:15:12,40
Dino-Soarin,2024-10-01 14:20:12,40
Dino-Soarin,2024-10-01 14:25:11,40
Dino-Soarin,2024-10-01 14:30:12,40
Dino-Soarin,2024-10-01 14:35:12,40
Dino-Soarin,2024-10-01 14:40:12,40
Dino-Soarin,2024-10-01 14:45:12,40
Dino-Soarin,2024-10-01 14:55:11,30
Dino-Soarin,2024-10-01 15:00:12,30
Dino-Soarin,2024-10-01 15:05:12,30
Dino-Soarin,2024-10-01 15:10:12,40
Dino-Soarin,2024-10-01 15:15:13,40
