Ride,Date/Time,Wait Time
[Closed for Maintenance] Enchanted Airways,2025-02-23 19:55:13,5
[Closed for Maintenance] Enchanted Airways,2025-02-23 20:00:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 20:05:14,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 20:10:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 20:25:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 20:30:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 20:35:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 20:45:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 20:50:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 20:55:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 21:00:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 21:05:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 21:10:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 21:15:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 21:20:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 21:30:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 21:35:14,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 21:40:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 21:45:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 21:50:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 21:55:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 22:00:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 22:05:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 22:10:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 22:15:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 22:20:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 22:25:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 22:30:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 22:35:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 22:40:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 22:45:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 22:50:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 22:55:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 23:00:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 23:05:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 23:10:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 23:20:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 23:25:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 23:30:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 23:35:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 23:40:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 23:45:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-23 23:50:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 00:05:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 00:15:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 00:20:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 00:25:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 00:30:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 00:35:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 00:40:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 00:45:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 00:50:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 00:55:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 06:00:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 06:10:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 06:15:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 06:25:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 06:30:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 06:35:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 06:40:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 06:45:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 06:50:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 06:55:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 07:00:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 07:05:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 07:10:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 07:15:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 07:20:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 07:25:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 07:30:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 07:35:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 07:40:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 07:45:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 07:50:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 07:55:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 08:00:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 08:05:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 08:10:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 08:15:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 08:25:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 08:30:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 08:35:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 08:45:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 08:50:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 08:55:14,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 09:00:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 09:05:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 09:10:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 09:15:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 09:20:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 09:25:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 09:35:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 09:40:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 09:45:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 09:50:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 10:00:14,5
[Closed for Maintenance] Enchanted Airways,2025-02-24 10:05:12,5
[Closed for Maintenance] Enchanted Airways,2025-02-24 10:10:13,5
[Closed for Maintenance] Enchanted Airways,2025-02-24 10:15:12,5
[Closed for Maintenance] Enchanted Airways,2025-02-24 10:25:14,5
[Closed for Maintenance] Enchanted Airways,2025-02-24 10:30:13,5
[Closed for Maintenance] Enchanted Airways,2025-02-24 10:35:13,5
[Closed for Maintenance] Enchanted Airways,2025-02-24 10:40:13,5
[Closed for Maintenance] Enchanted Airways,2025-02-24 10:45:12,5
[Closed for Maintenance] Enchanted Airways,2025-02-24 10:50:13,5
[Closed for Maintenance] Enchanted Airways,2025-02-24 10:55:12,5
[Closed for Maintenance] Enchanted Airways,2025-02-24 11:00:13,5
[Closed for Maintenance] Enchanted Airways,2025-02-24 11:05:12,5
[Closed for Maintenance] Enchanted Airways,2025-02-24 11:10:13,5
[Closed for Maintenance] Enchanted Airways,2025-02-24 11:15:12,5
[Closed for Maintenance] Enchanted Airways,2025-02-24 11:20:12,5
[Closed for Maintenance] Enchanted Airways,2025-02-24 11:25:13,5
[Closed for Maintenance] Enchanted Airways,2025-02-24 11:35:13,5
[Closed for Maintenance] Enchanted Airways,2025-02-24 11:40:13,5
[Closed for Maintenance] Enchanted Airways,2025-02-24 11:45:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 11:50:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 11:55:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 12:00:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 12:05:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 12:10:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 12:15:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 12:25:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 12:30:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 12:35:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 12:40:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 12:45:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 12:55:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 13:00:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 13:05:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 13:10:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 13:15:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 13:20:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 13:25:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 13:30:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 13:40:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 13:45:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 13:50:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 13:55:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 14:05:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 14:10:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 14:15:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 14:20:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 14:25:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 14:30:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 14:35:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 14:40:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 14:45:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 15:00:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 15:05:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 15:15:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 15:20:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 15:25:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 15:30:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 15:35:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 15:40:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 15:45:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 15:50:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 15:55:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 16:00:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 16:10:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 16:15:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 16:20:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 16:25:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 16:30:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 16:35:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 16:40:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 16:45:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 16:50:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 16:55:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 17:00:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 17:05:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 17:10:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 17:15:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 17:20:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 17:25:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 17:30:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 17:35:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 17:40:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 17:50:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 17:55:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 18:00:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 18:05:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 18:10:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 18:15:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 18:25:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 18:30:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 18:35:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 18:40:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 18:45:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 18:50:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 18:55:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 19:05:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 19:10:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 19:20:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 19:25:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 19:35:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 19:40:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 19:45:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 19:50:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 19:55:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 20:00:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 20:05:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 20:10:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 20:20:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 20:25:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 20:30:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 20:35:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 20:40:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 20:45:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 20:50:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 20:55:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 21:00:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 21:05:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 21:10:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 21:15:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 21:20:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 21:25:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 21:40:14,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 21:45:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 21:50:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 21:55:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 22:00:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 22:05:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 22:10:14,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 22:15:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 22:20:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 22:25:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 22:30:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 22:35:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 22:40:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 22:45:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 22:50:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 22:55:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 23:00:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 23:05:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 23:10:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 23:15:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 23:20:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 23:25:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 23:30:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 23:35:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 23:40:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 23:45:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 23:50:14,0
[Closed for Maintenance] Enchanted Airways,2025-02-24 23:55:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 00:00:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 00:05:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 00:10:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 00:15:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 00:25:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 00:30:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 00:35:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 00:40:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 00:45:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 00:50:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 00:55:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 06:05:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 06:10:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 06:15:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 06:20:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 06:25:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 06:45:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 06:55:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 07:00:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 07:05:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 07:10:14,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 07:25:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 07:30:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 07:35:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 07:40:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 07:45:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 07:50:15,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 07:55:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 08:00:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 08:05:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 08:10:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 08:15:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 08:20:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 08:25:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 08:35:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 08:40:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 08:45:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 08:50:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 08:55:14,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 09:00:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 09:05:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 09:10:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 09:15:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 09:20:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 09:25:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 09:30:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 09:35:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 09:40:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 09:45:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 09:55:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 10:00:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 10:10:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 10:15:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 10:20:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 10:25:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 10:35:14,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 10:40:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 10:45:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 10:55:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 11:00:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 11:10:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 11:15:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 11:20:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 11:25:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 11:30:14,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 11:35:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 11:40:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 11:45:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 11:50:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 11:55:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 12:00:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 12:05:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 12:10:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 12:15:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 12:20:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 12:25:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 12:30:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 12:35:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 12:40:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 12:45:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 12:50:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 12:55:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 13:00:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 13:05:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 13:10:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 13:15:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 13:20:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 13:25:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 13:30:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 13:35:14,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 13:40:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 13:45:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 13:50:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 13:55:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 14:00:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 14:05:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 14:45:15,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 14:55:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 16:40:14,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 17:15:15,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 17:35:15,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 18:00:14,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 18:10:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 18:50:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 19:30:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 19:35:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 19:45:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 19:50:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 20:00:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 20:05:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 20:10:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 20:15:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 20:20:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 20:30:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 20:35:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 20:40:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 20:45:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 20:50:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 21:00:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 21:05:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 21:10:12,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 21:15:14,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 21:20:13,0
[Closed for Maintenance] Enchanted Airways,2025-02-25 21:25:14,0
