Ride,Date/Time,Wait Time
Jurassic Park Rapids Adventure,2024-05-01 06:00:06,0
Jurassic Park Rapids Adventure,2024-05-01 06:05:06,0
Jurassic Park Rapids Adventure,2024-05-01 06:10:07,0
Jurassic Park Rapids Adventure,2024-05-01 06:15:06,0
Jurassic Park Rapids Adventure,2024-05-01 06:20:06,0
Jurassic Park Rapids Adventure,2024-05-01 06:25:05,0
Jurassic Park Rapids Adventure,2024-05-01 06:30:07,0
Jurassic Park Rapids Adventure,2024-05-01 06:35:06,0
Jurassic Park Rapids Adventure,2024-05-01 06:40:04,0
Jurassic Park Rapids Adventure,2024-05-01 06:45:06,0
Jurassic Park Rapids Adventure,2024-05-01 06:50:07,0
Jurassic Park Rapids Adventure,2024-05-01 06:55:06,0
Jurassic Park Rapids Adventure,2024-05-01 07:00:08,0
Jurassic Park Rapids Adventure,2024-05-01 07:10:05,0
Jurassic Park Rapids Adventure,2024-05-01 07:15:07,0
Jurassic Park Rapids Adventure,2024-05-01 07:20:05,0
Jurassic Park Rapids Adventure,2024-05-01 07:25:05,0
Jurassic Park Rapids Adventure,2024-05-01 07:30:07,0
Jurassic Park Rapids Adventure,2024-05-01 07:35:06,0
Jurassic Park Rapids Adventure,2024-05-01 07:40:05,0
Jurassic Park Rapids Adventure,2024-05-01 07:45:06,0
Jurassic Park Rapids Adventure,2024-05-01 07:50:05,0
Jurassic Park Rapids Adventure,2024-05-01 07:55:06,0
Jurassic Park Rapids Adventure,2024-05-01 08:00:04,0
Jurassic Park Rapids Adventure,2024-05-01 08:05:06,0
Jurassic Park Rapids Adventure,2024-05-01 08:10:07,0
Jurassic Park Rapids Adventure,2024-05-01 08:20:06,0
Jurassic Park Rapids Adventure,2024-05-01 08:25:06,0
Jurassic Park Rapids Adventure,2024-05-01 08:30:07,0
Jurassic Park Rapids Adventure,2024-05-01 08:35:06,0
Jurassic Park Rapids Adventure,2024-05-01 08:45:06,0
Jurassic Park Rapids Adventure,2024-05-01 08:50:06,0
Jurassic Park Rapids Adventure,2024-05-01 08:55:07,0
Jurassic Park Rapids Adventure,2024-05-01 09:00:07,0
Jurassic Park Rapids Adventure,2024-05-01 09:05:06,0
Jurassic Park Rapids Adventure,2024-05-01 09:10:06,0
Jurassic Park Rapids Adventure,2024-05-01 09:15:06,0
Jurassic Park Rapids Adventure,2024-05-01 09:20:06,0
Jurassic Park Rapids Adventure,2024-05-01 09:25:06,0
Jurassic Park Rapids Adventure,2024-05-01 09:30:07,0
Jurassic Park Rapids Adventure,2024-05-01 09:35:06,0
Jurassic Park Rapids Adventure,2024-05-01 09:40:06,0
Jurassic Park Rapids Adventure,2024-05-01 09:45:06,0
Jurassic Park Rapids Adventure,2024-05-01 09:50:05,0
Jurassic Park Rapids Adventure,2024-05-01 09:55:05,0
Jurassic Park Rapids Adventure,2024-05-01 10:00:08,5
Jurassic Park Rapids Adventure,2024-05-01 10:05:06,5
Jurassic Park Rapids Adventure,2024-05-01 10:10:07,5
Jurassic Park Rapids Adventure,2024-05-01 10:15:07,5
Jurassic Park Rapids Adventure,2024-05-01 10:20:03,5
Jurassic Park Rapids Adventure,2024-05-01 10:25:05,5
Jurassic Park Rapids Adventure,2024-05-01 10:30:07,5
Jurassic Park Rapids Adventure,2024-05-01 10:35:05,5
Jurassic Park Rapids Adventure,2024-05-01 10:40:04,5
Jurassic Park Rapids Adventure,2024-05-01 10:45:07,5
Jurassic Park Rapids Adventure,2024-05-01 10:50:06,5
Jurassic Park Rapids Adventure,2024-05-01 11:05:06,5
Jurassic Park Rapids Adventure,2024-05-01 11:10:06,5
Jurassic Park Rapids Adventure,2024-05-01 11:15:07,20
Jurassic Park Rapids Adventure,2024-05-01 11:20:05,20
Jurassic Park Rapids Adventure,2024-05-01 11:25:06,20
Jurassic Park Rapids Adventure,2024-05-01 11:30:06,20
Jurassic Park Rapids Adventure,2024-05-01 11:35:06,20
Jurassic Park Rapids Adventure,2024-05-01 11:40:05,30
Jurassic Park Rapids Adventure,2024-05-01 11:45:06,30
Jurassic Park Rapids Adventure,2024-05-01 11:50:06,40
Jurassic Park Rapids Adventure,2024-05-01 11:55:06,40
Jurassic Park Rapids Adventure,2024-05-01 12:00:08,40
Jurassic Park Rapids Adventure,2024-05-01 12:05:07,40
Jurassic Park Rapids Adventure,2024-05-01 12:10:06,40
Jurassic Park Rapids Adventure,2024-05-01 12:15:05,40
Jurassic Park Rapids Adventure,2024-05-01 12:25:05,40
Jurassic Park Rapids Adventure,2024-05-01 12:30:06,40
Jurassic Park Rapids Adventure,2024-05-01 12:35:06,40
Jurassic Park Rapids Adventure,2024-05-01 12:40:07,40
Jurassic Park Rapids Adventure,2024-05-01 12:45:05,60
Jurassic Park Rapids Adventure,2024-05-01 12:50:06,60
Jurassic Park Rapids Adventure,2024-05-01 13:00:07,60
Jurassic Park Rapids Adventure,2024-05-01 13:05:05,60
Jurassic Park Rapids Adventure,2024-05-01 13:10:06,60
Jurassic Park Rapids Adventure,2024-05-01 13:15:06,60
Jurassic Park Rapids Adventure,2024-05-01 13:20:07,60
Jurassic Park Rapids Adventure,2024-05-01 13:25:05,60
Jurassic Park Rapids Adventure,2024-05-01 13:30:08,60
Jurassic Park Rapids Adventure,2024-05-01 13:35:06,60
Jurassic Park Rapids Adventure,2024-05-01 13:40:05,60
Jurassic Park Rapids Adventure,2024-05-01 13:45:07,60
Jurassic Park Rapids Adventure,2024-05-01 13:50:05,60
Jurassic Park Rapids Adventure,2024-05-01 13:55:05,10
Jurassic Park Rapids Adventure,2024-05-01 14:00:07,10
Jurassic Park Rapids Adventure,2024-05-01 14:05:04,10
Jurassic Park Rapids Adventure,2024-05-01 14:15:06,30
Jurassic Park Rapids Adventure,2024-05-01 14:20:06,30
Jurassic Park Rapids Adventure,2024-05-01 14:25:06,30
Jurassic Park Rapids Adventure,2024-05-01 14:30:05,30
Jurassic Park Rapids Adventure,2024-05-01 14:35:05,30
Jurassic Park Rapids Adventure,2024-05-01 14:40:06,30
Jurassic Park Rapids Adventure,2024-05-01 14:45:06,40
Jurassic Park Rapids Adventure,2024-05-01 14:50:06,40
Jurassic Park Rapids Adventure,2024-05-01 14:55:05,50
Jurassic Park Rapids Adventure,2024-05-01 15:00:07,50
Jurassic Park Rapids Adventure,2024-05-01 15:05:07,50
Jurassic Park Rapids Adventure,2024-05-01 15:15:05,50
Jurassic Park Rapids Adventure,2024-05-01 15:20:06,50
Jurassic Park Rapids Adventure,2024-05-01 15:35:06,50
Jurassic Park Rapids Adventure,2024-05-01 15:40:04,50
Jurassic Park Rapids Adventure,2024-05-01 15:55:05,50
Jurassic Park Rapids Adventure,2024-05-01 16:00:07,40
Jurassic Park Rapids Adventure,2024-05-01 16:05:06,40
Jurassic Park Rapids Adventure,2024-05-01 16:15:06,20
Jurassic Park Rapids Adventure,2024-05-01 16:20:08,20
Jurassic Park Rapids Adventure,2024-05-01 16:25:05,20
Jurassic Park Rapids Adventure,2024-05-01 16:30:06,10
Jurassic Park Rapids Adventure,2024-05-01 16:35:06,10
Jurassic Park Rapids Adventure,2024-05-01 16:45:06,10
Jurassic Park Rapids Adventure,2024-05-01 16:50:06,10
Jurassic Park Rapids Adventure,2024-05-01 16:55:06,10
Jurassic Park Rapids Adventure,2024-05-01 17:00:07,10
Jurassic Park Rapids Adventure,2024-05-01 17:05:06,10
Jurassic Park Rapids Adventure,2024-05-01 17:10:05,10
Jurassic Park Rapids Adventure,2024-05-01 17:15:08,10
Jurassic Park Rapids Adventure,2024-05-01 17:30:05,10
Jurassic Park Rapids Adventure,2024-05-01 17:35:06,10
Jurassic Park Rapids Adventure,2024-05-01 17:40:05,5
Jurassic Park Rapids Adventure,2024-05-01 17:45:05,5
Jurassic Park Rapids Adventure,2024-05-01 17:50:06,5
Jurassic Park Rapids Adventure,2024-05-01 17:55:06,5
Jurassic Park Rapids Adventure,2024-05-01 18:00:08,5
Jurassic Park Rapids Adventure,2024-05-01 18:05:05,5
Jurassic Park Rapids Adventure,2024-05-01 18:10:05,5
Jurassic Park Rapids Adventure,2024-05-01 18:15:06,5
Jurassic Park Rapids Adventure,2024-05-01 18:20:05,5
Jurassic Park Rapids Adventure,2024-05-01 18:25:06,5
Jurassic Park Rapids Adventure,2024-05-01 18:30:07,5
Jurassic Park Rapids Adventure,2024-05-01 18:35:06,5
Jurassic Park Rapids Adventure,2024-05-01 18:40:05,5
Jurassic Park Rapids Adventure,2024-05-01 18:45:07,5
Jurassic Park Rapids Adventure,2024-05-01 18:50:07,5
Jurassic Park Rapids Adventure,2024-05-01 18:55:06,5
Jurassic Park Rapids Adventure,2024-05-01 19:00:07,5
Jurassic Park Rapids Adventure,2024-05-01 19:10:07,5
Jurassic Park Rapids Adventure,2024-05-01 19:20:07,5
Jurassic Park Rapids Adventure,2024-05-01 19:30:07,5
Jurassic Park Rapids Adventure,2024-05-01 19:35:06,5
Jurassic Park Rapids Adventure,2024-05-01 19:45:07,5
Jurassic Park Rapids Adventure,2024-05-01 19:50:05,5
Jurassic Park Rapids Adventure,2024-05-01 19:55:05,5
Jurassic Park Rapids Adventure,2024-05-01 20:00:07,0
Jurassic Park Rapids Adventure,2024-05-01 20:05:06,0
Jurassic Park Rapids Adventure,2024-05-01 20:10:07,0
Jurassic Park Rapids Adventure,2024-05-01 20:15:06,0
Jurassic Park Rapids Adventure,2024-05-01 20:20:06,0
Jurassic Park Rapids Adventure,2024-05-01 20:25:04,0
Jurassic Park Rapids Adventure,2024-05-01 20:30:06,0
Jurassic Park Rapids Adventure,2024-05-01 20:35:06,0
Jurassic Park Rapids Adventure,2024-05-01 20:40:03,0
Jurassic Park Rapids Adventure,2024-05-01 20:45:06,0
Jurassic Park Rapids Adventure,2024-05-01 20:50:06,0
Jurassic Park Rapids Adventure,2024-05-01 20:55:06,0
Jurassic Park Rapids Adventure,2024-05-01 21:00:06,0
Jurassic Park Rapids Adventure,2024-05-01 21:05:06,0
Jurassic Park Rapids Adventure,2024-05-01 21:10:06,0
Jurassic Park Rapids Adventure,2024-05-01 21:15:06,0
Jurassic Park Rapids Adventure,2024-05-01 21:20:06,0
Jurassic Park Rapids Adventure,2024-05-01 21:30:07,0
Jurassic Park Rapids Adventure,2024-05-01 21:35:05,0
Jurassic Park Rapids Adventure,2024-05-01 21:45:05,0
Jurassic Park Rapids Adventure,2024-05-01 21:50:05,0
Jurassic Park Rapids Adventure,2024-05-01 21:55:06,0
Jurassic Park Rapids Adventure,2024-05-01 22:00:07,0
Jurassic Park Rapids Adventure,2024-05-01 22:05:06,0
Jurassic Park Rapids Adventure,2024-05-01 22:10:05,0
Jurassic Park Rapids Adventure,2024-05-01 22:15:06,0
Jurassic Park Rapids Adventure,2024-05-01 22:30:08,0
Jurassic Park Rapids Adventure,2024-05-01 22:35:06,0
Jurassic Park Rapids Adventure,2024-05-01 22:40:06,0
Jurassic Park Rapids Adventure,2024-05-01 22:45:06,0
Jurassic Park Rapids Adventure,2024-05-01 22:50:08,0
Jurassic Park Rapids Adventure,2024-05-01 22:55:06,0
Jurassic Park Rapids Adventure,2024-05-01 23:00:07,0
Jurassic Park Rapids Adventure,2024-05-01 23:05:07,0
Jurassic Park Rapids Adventure,2024-05-01 23:10:07,0
Jurassic Park Rapids Adventure,2024-05-01 23:15:07,0
Jurassic Park Rapids Adventure,2024-05-01 23:25:06,0
Jurassic Park Rapids Adventure,2024-05-01 23:30:06,0
Jurassic Park Rapids Adventure,2024-05-01 23:35:04,0
Jurassic Park Rapids Adventure,2024-05-01 23:40:06,0
Jurassic Park Rapids Adventure,2024-05-01 23:45:07,0
Jurassic Park Rapids Adventure,2024-05-01 23:50:05,0
Jurassic Park Rapids Adventure,2024-05-01 23:55:05,0
Jurassic Park Rapids Adventure,2024-05-02 00:00:07,0
Jurassic Park Rapids Adventure,2024-05-02 00:05:06,0
Jurassic Park Rapids Adventure,2024-05-02 00:10:05,0
Jurassic Park Rapids Adventure,2024-05-02 00:15:07,0
Jurassic Park Rapids Adventure,2024-05-02 00:20:06,0
Jurassic Park Rapids Adventure,2024-05-02 00:25:07,0
Jurassic Park Rapids Adventure,2024-05-02 00:30:09,0
Jurassic Park Rapids Adventure,2024-05-02 00:35:07,0
Jurassic Park Rapids Adventure,2024-05-02 00:40:07,0
Jurassic Park Rapids Adventure,2024-05-02 00:50:07,0
Jurassic Park Rapids Adventure,2024-05-02 00:55:06,0
Jurassic Park Rapids Adventure,2024-05-02 06:00:07,0
Jurassic Park Rapids Adventure,2024-05-02 06:10:07,0
Jurassic Park Rapids Adventure,2024-05-02 06:15:06,0
Jurassic Park Rapids Adventure,2024-05-02 06:20:07,0
Jurassic Park Rapids Adventure,2024-05-02 06:25:06,0
Jurassic Park Rapids Adventure,2024-05-02 06:30:07,0
Jurassic Park Rapids Adventure,2024-05-02 06:35:07,0
Jurassic Park Rapids Adventure,2024-05-02 06:40:07,0
Jurassic Park Rapids Adventure,2024-05-02 06:45:07,0
Jurassic Park Rapids Adventure,2024-05-02 06:50:06,0
Jurassic Park Rapids Adventure,2024-05-02 06:55:05,0
Jurassic Park Rapids Adventure,2024-05-02 07:00:06,0
Jurassic Park Rapids Adventure,2024-05-02 07:05:06,0
Jurassic Park Rapids Adventure,2024-05-02 07:10:07,0
Jurassic Park Rapids Adventure,2024-05-02 07:15:06,0
Jurassic Park Rapids Adventure,2024-05-02 07:20:06,0
Jurassic Park Rapids Adventure,2024-05-02 07:25:05,0
Jurassic Park Rapids Adventure,2024-05-02 07:30:06,0
Jurassic Park Rapids Adventure,2024-05-02 07:35:06,0
Jurassic Park Rapids Adventure,2024-05-02 07:40:06,0
Jurassic Park Rapids Adventure,2024-05-02 07:45:06,0
Jurassic Park Rapids Adventure,2024-05-02 07:50:06,0
Jurassic Park Rapids Adventure,2024-05-02 07:55:06,0
Jurassic Park Rapids Adventure,2024-05-02 08:00:07,0
Jurassic Park Rapids Adventure,2024-05-02 08:05:06,0
Jurassic Park Rapids Adventure,2024-05-02 08:10:05,0
Jurassic Park Rapids Adventure,2024-05-02 08:15:07,0
Jurassic Park Rapids Adventure,2024-05-02 08:25:07,0
Jurassic Park Rapids Adventure,2024-05-02 08:30:06,0
Jurassic Park Rapids Adventure,2024-05-02 08:40:07,0
