Ride,Date/Time,Wait Time
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 06:00:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 06:05:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 06:10:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 06:15:11,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 06:20:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 06:25:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 06:30:11,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 06:35:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 06:40:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 06:45:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 06:50:11,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 06:55:11,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 07:00:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 07:05:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 07:10:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 07:15:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 07:20:11,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 07:25:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 07:30:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 07:35:13,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 07:40:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 07:45:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 07:50:13,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 08:00:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 08:05:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 08:10:13,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 08:15:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 08:20:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 08:25:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 08:30:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 08:35:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 08:40:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 08:45:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 08:50:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 08:55:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 09:00:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 09:05:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 09:10:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 09:15:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 09:20:13,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 09:25:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 09:30:13,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 09:35:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 09:40:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 09:45:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 09:50:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 09:55:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 10:00:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 10:05:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 10:10:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 10:15:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 10:20:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 10:25:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 10:30:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 10:35:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 10:40:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 10:45:13,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 10:50:13,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 10:55:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 11:00:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 11:05:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 11:10:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 11:15:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 11:20:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 11:25:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 11:30:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 11:35:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 11:40:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 11:45:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 11:50:13,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 11:55:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 12:00:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 12:05:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 12:10:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 12:15:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 12:20:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 12:25:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 12:30:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 12:35:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 12:40:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 12:45:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 12:50:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 12:55:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 13:00:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 13:05:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 13:10:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 13:15:13,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 13:20:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 13:25:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 13:35:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 13:40:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 13:45:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 13:50:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 13:55:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 14:00:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 14:05:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 14:10:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 14:15:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 14:20:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 14:25:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 14:30:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 14:35:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 14:40:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 14:45:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 14:50:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 14:55:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 15:00:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 15:05:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 15:10:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 15:15:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 15:20:13,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 15:25:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 15:30:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 15:35:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 15:40:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 15:45:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 15:50:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 15:55:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 16:00:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 16:05:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 16:10:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 16:15:13,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 16:20:13,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 16:25:13,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 16:30:13,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 16:35:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 16:40:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 16:45:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 16:50:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 16:55:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 17:00:13,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 17:05:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 17:10:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 17:15:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 17:20:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 17:25:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 17:30:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 17:35:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 17:40:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 17:45:13,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 17:50:12,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 17:55:11,20
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 18:00:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 18:05:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 18:10:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 18:15:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 18:20:11,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 18:25:13,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 18:30:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 18:35:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 18:40:11,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 18:45:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 18:50:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 18:55:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 19:00:13,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 19:05:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 19:10:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 19:15:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 19:20:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 19:25:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 19:30:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 19:35:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 19:40:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 19:45:11,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 19:50:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 19:55:11,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 20:00:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 20:05:11,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 20:10:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 20:15:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 20:20:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 20:25:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 20:30:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 20:35:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 20:40:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 20:45:11,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 20:50:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 20:55:15,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 21:00:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 21:05:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 21:10:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 21:15:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 21:20:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 21:25:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 21:30:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 21:35:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 21:40:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 21:45:11,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 21:50:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 21:55:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 22:00:13,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 22:05:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 22:10:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 22:15:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 22:20:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 22:25:13,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 22:30:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 22:35:11,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 22:40:13,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 22:45:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 22:50:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 22:55:11,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 23:00:13,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 23:05:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 23:10:13,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 23:15:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 23:20:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 23:25:13,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 23:30:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 23:35:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 23:40:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 23:45:11,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 23:50:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-01 23:55:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-02 00:00:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-02 00:05:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-02 00:10:11,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-02 00:15:13,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-02 00:20:12,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-02 00:25:11,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-02 00:30:11,0
"Lights, Camera, Action! Hosted by Steven Spielberg",2024-09-02 00:35:12,0
