Ride,Date/Time,Wait Time
Revenge of the Mummy,2024-04-01 06:00:05,0
Revenge of the Mummy,2024-04-01 06:05:05,0
Revenge of the Mummy,2024-04-01 06:10:05,0
Revenge of the Mummy,2024-04-01 06:15:05,0
Revenge of the Mummy,2024-04-01 06:20:05,0
Revenge of the Mummy,2024-04-01 06:25:05,0
Revenge of the Mummy,2024-04-01 06:30:05,0
Revenge of the Mummy,2024-04-01 06:35:05,0
Revenge of the Mummy,2024-04-01 06:40:06,0
Revenge of the Mummy,2024-04-01 06:45:05,0
Revenge of the Mummy,2024-04-01 06:50:06,0
Revenge of the Mummy,2024-04-01 06:55:06,0
Revenge of the Mummy,2024-04-01 07:00:06,0
Revenge of the Mummy,2024-04-01 07:05:05,0
Revenge of the Mummy,2024-04-01 07:10:05,0
Revenge of the Mummy,2024-04-01 07:15:06,0
Revenge of the Mummy,2024-04-01 07:20:06,0
Revenge of the Mummy,2024-04-01 07:25:05,0
Revenge of the Mummy,2024-04-01 07:35:06,0
Revenge of the Mummy,2024-04-01 07:40:05,0
Revenge of the Mummy,2024-04-01 07:45:05,0
Revenge of the Mummy,2024-04-01 07:50:06,0
Revenge of the Mummy,2024-04-01 07:55:05,0
Revenge of the Mummy,2024-04-01 08:00:06,0
Revenge of the Mummy,2024-04-01 08:05:05,0
Revenge of the Mummy,2024-04-01 08:10:06,0
Revenge of the Mummy,2024-04-01 08:15:05,0
Revenge of the Mummy,2024-04-01 08:20:05,0
Revenge of the Mummy,2024-04-01 08:25:08,0
Revenge of the Mummy,2024-04-01 08:30:06,0
Revenge of the Mummy,2024-04-01 08:35:06,0
Revenge of the Mummy,2024-04-01 08:40:05,0
Revenge of the Mummy,2024-04-01 08:45:05,0
Revenge of the Mummy,2024-04-01 08:50:04,0
Revenge of the Mummy,2024-04-01 08:55:06,0
Revenge of the Mummy,2024-04-01 09:00:04,0
Revenge of the Mummy,2024-04-01 09:05:06,0
Revenge of the Mummy,2024-04-01 09:10:06,0
Revenge of the Mummy,2024-04-01 09:15:05,0
Revenge of the Mummy,2024-04-01 09:20:06,0
Revenge of the Mummy,2024-04-01 09:25:05,0
Revenge of the Mummy,2024-04-01 09:30:06,0
Revenge of the Mummy,2024-04-01 09:35:05,0
Revenge of the Mummy,2024-04-01 09:40:05,0
Revenge of the Mummy,2024-04-01 09:45:05,0
Revenge of the Mummy,2024-04-01 09:50:06,0
Revenge of the Mummy,2024-04-01 09:55:04,0
Revenge of the Mummy,2024-04-01 10:00:06,5
Revenge of the Mummy,2024-04-01 10:05:06,5
Revenge of the Mummy,2024-04-01 10:10:05,5
Revenge of the Mummy,2024-04-01 10:15:07,5
Revenge of the Mummy,2024-04-01 10:20:07,5
Revenge of the Mummy,2024-04-01 10:30:07,5
Revenge of the Mummy,2024-04-01 10:35:06,5
Revenge of the Mummy,2024-04-01 10:40:06,5
Revenge of the Mummy,2024-04-01 10:45:04,5
Revenge of the Mummy,2024-04-01 10:50:05,5
Revenge of the Mummy,2024-04-01 10:55:06,5
Revenge of the Mummy,2024-04-01 11:00:06,5
Revenge of the Mummy,2024-04-01 11:05:05,5
Revenge of the Mummy,2024-04-01 11:10:06,5
Revenge of the Mummy,2024-04-01 11:15:05,5
Revenge of the Mummy,2024-04-01 11:20:04,5
Revenge of the Mummy,2024-04-01 11:25:06,5
Revenge of the Mummy,2024-04-01 11:30:04,5
Revenge of the Mummy,2024-04-01 11:35:06,5
Revenge of the Mummy,2024-04-01 11:40:05,5
Revenge of the Mummy,2024-04-01 11:45:05,5
Revenge of the Mummy,2024-04-01 11:50:04,45
Revenge of the Mummy,2024-04-01 11:55:04,45
Revenge of the Mummy,2024-04-01 12:00:07,45
Revenge of the Mummy,2024-04-01 12:05:06,45
Revenge of the Mummy,2024-04-01 12:10:06,45
Revenge of the Mummy,2024-04-01 12:15:04,45
Revenge of the Mummy,2024-04-01 12:20:04,45
Revenge of the Mummy,2024-04-01 12:25:06,45
Revenge of the Mummy,2024-04-01 12:30:05,45
Revenge of the Mummy,2024-04-01 12:35:05,45
Revenge of the Mummy,2024-04-01 12:40:06,45
Revenge of the Mummy,2024-04-01 12:45:05,45
Revenge of the Mummy,2024-04-01 12:50:05,45
Revenge of the Mummy,2024-04-01 12:55:04,45
Revenge of the Mummy,2024-04-01 13:00:06,45
Revenge of the Mummy,2024-04-01 13:05:05,45
Revenge of the Mummy,2024-04-01 13:10:06,45
Revenge of the Mummy,2024-04-01 13:15:05,45
Revenge of the Mummy,2024-04-01 13:20:06,45
Revenge of the Mummy,2024-04-01 13:25:06,45
Revenge of the Mummy,2024-04-01 13:30:03,45
Revenge of the Mummy,2024-04-01 13:35:05,45
Revenge of the Mummy,2024-04-01 13:40:04,0
Revenge of the Mummy,2024-04-01 13:45:04,0
Revenge of the Mummy,2024-04-01 13:50:04,45
Revenge of the Mummy,2024-04-01 13:55:05,45
Revenge of the Mummy,2024-04-01 14:00:06,45
Revenge of the Mummy,2024-04-01 14:05:05,45
Revenge of the Mummy,2024-04-01 14:10:06,45
Revenge of the Mummy,2024-04-01 14:15:05,45
Revenge of the Mummy,2024-04-01 14:20:06,45
Revenge of the Mummy,2024-04-01 14:25:06,45
Revenge of the Mummy,2024-04-01 14:30:06,45
Revenge of the Mummy,2024-04-01 14:35:03,45
Revenge of the Mummy,2024-04-01 14:40:06,60
Revenge of the Mummy,2024-04-01 14:45:06,60
Revenge of the Mummy,2024-04-01 14:50:05,60
Revenge of the Mummy,2024-04-01 14:55:05,60
Revenge of the Mummy,2024-04-01 15:00:06,60
Revenge of the Mummy,2024-04-01 15:05:05,60
Revenge of the Mummy,2024-04-01 15:10:05,60
Revenge of the Mummy,2024-04-01 15:15:04,60
Revenge of the Mummy,2024-04-01 15:20:06,60
Revenge of the Mummy,2024-04-01 15:25:05,30
Revenge of the Mummy,2024-04-01 15:30:04,30
Revenge of the Mummy,2024-04-01 15:35:05,30
Revenge of the Mummy,2024-04-01 15:40:06,30
Revenge of the Mummy,2024-04-01 15:45:05,30
Revenge of the Mummy,2024-04-01 15:50:05,30
Revenge of the Mummy,2024-04-01 15:55:04,30
Revenge of the Mummy,2024-04-01 16:00:06,30
Revenge of the Mummy,2024-04-01 16:05:05,30
Revenge of the Mummy,2024-04-01 16:20:06,30
Revenge of the Mummy,2024-04-01 16:25:06,30
Revenge of the Mummy,2024-04-01 16:30:06,30
Revenge of the Mummy,2024-04-01 16:35:06,30
Revenge of the Mummy,2024-04-01 16:40:06,30
Revenge of the Mummy,2024-04-01 16:45:05,10
Revenge of the Mummy,2024-04-01 16:50:06,10
Revenge of the Mummy,2024-04-01 16:55:04,10
Revenge of the Mummy,2024-04-01 17:00:06,10
Revenge of the Mummy,2024-04-01 17:05:04,10
Revenge of the Mummy,2024-04-01 17:10:05,10
Revenge of the Mummy,2024-04-01 17:15:06,10
Revenge of the Mummy,2024-04-01 17:20:06,5
Revenge of the Mummy,2024-04-01 17:25:05,0
Revenge of the Mummy,2024-04-01 17:30:05,0
Revenge of the Mummy,2024-04-01 17:35:05,0
Revenge of the Mummy,2024-04-01 17:40:05,5
Revenge of the Mummy,2024-04-01 17:45:05,5
Revenge of the Mummy,2024-04-01 17:50:06,5
Revenge of the Mummy,2024-04-01 17:55:04,5
Revenge of the Mummy,2024-04-01 18:00:06,5
Revenge of the Mummy,2024-04-01 18:05:06,5
Revenge of the Mummy,2024-04-01 18:10:04,5
Revenge of the Mummy,2024-04-01 18:15:04,5
Revenge of the Mummy,2024-04-01 18:20:05,5
Revenge of the Mummy,2024-04-01 18:25:04,5
Revenge of the Mummy,2024-04-01 18:35:04,5
Revenge of the Mummy,2024-04-01 18:40:05,5
Revenge of the Mummy,2024-04-01 18:45:03,5
Revenge of the Mummy,2024-04-01 18:50:05,5
Revenge of the Mummy,2024-04-01 18:55:06,5
Revenge of the Mummy,2024-04-01 19:00:04,0
Revenge of the Mummy,2024-04-01 19:05:06,0
Revenge of the Mummy,2024-04-01 19:10:05,0
Revenge of the Mummy,2024-04-01 19:15:08,0
Revenge of the Mummy,2024-04-01 19:20:06,0
Revenge of the Mummy,2024-04-01 19:25:05,0
Revenge of the Mummy,2024-04-01 19:30:05,0
Revenge of the Mummy,2024-04-01 19:35:07,0
Revenge of the Mummy,2024-04-01 19:40:04,0
Revenge of the Mummy,2024-04-01 19:45:06,0
Revenge of the Mummy,2024-04-01 19:50:03,0
Revenge of the Mummy,2024-04-01 19:55:07,0
Revenge of the Mummy,2024-04-01 20:00:06,0
Revenge of the Mummy,2024-04-01 20:05:05,0
Revenge of the Mummy,2024-04-01 20:10:05,0
Revenge of the Mummy,2024-04-01 20:15:05,0
Revenge of the Mummy,2024-04-01 20:25:07,0
Revenge of the Mummy,2024-04-01 20:35:07,0
Revenge of the Mummy,2024-04-01 20:40:05,0
Revenge of the Mummy,2024-04-01 20:45:08,0
Revenge of the Mummy,2024-04-01 20:50:05,0
Revenge of the Mummy,2024-04-01 20:55:05,0
Revenge of the Mummy,2024-04-01 21:00:04,0
Revenge of the Mummy,2024-04-01 21:05:06,0
Revenge of the Mummy,2024-04-01 21:10:04,0
Revenge of the Mummy,2024-04-01 21:15:03,0
Revenge of the Mummy,2024-04-01 21:20:05,0
Revenge of the Mummy,2024-04-01 21:25:06,0
Revenge of the Mummy,2024-04-01 21:30:05,0
Revenge of the Mummy,2024-04-01 21:35:05,0
Revenge of the Mummy,2024-04-01 21:40:04,0
Revenge of the Mummy,2024-04-01 21:45:05,0
Revenge of the Mummy,2024-04-01 21:50:05,0
Revenge of the Mummy,2024-04-01 21:55:05,0
Revenge of the Mummy,2024-04-01 22:00:06,0
Revenge of the Mummy,2024-04-01 22:05:06,0
Revenge of the Mummy,2024-04-01 22:10:05,0
Revenge of the Mummy,2024-04-01 22:15:05,0
Revenge of the Mummy,2024-04-01 22:20:07,0
Revenge of the Mummy,2024-04-01 22:25:05,0
Revenge of the Mummy,2024-04-01 22:30:06,0
Revenge of the Mummy,2024-04-01 22:35:05,0
Revenge of the Mummy,2024-04-01 22:40:07,0
Revenge of the Mummy,2024-04-01 22:45:06,0
Revenge of the Mummy,2024-04-01 22:50:07,0
Revenge of the Mummy,2024-04-01 22:55:05,0
Revenge of the Mummy,2024-04-01 23:00:08,0
Revenge of the Mummy,2024-04-01 23:05:05,0
Revenge of the Mummy,2024-04-01 23:10:06,0
Revenge of the Mummy,2024-04-01 23:15:05,0
Revenge of the Mummy,2024-04-01 23:20:08,0
Revenge of the Mummy,2024-04-01 23:25:05,0
Revenge of the Mummy,2024-04-01 23:30:05,0
Revenge of the Mummy,2024-04-01 23:35:06,0
Revenge of the Mummy,2024-04-01 23:40:07,0
Revenge of the Mummy,2024-04-01 23:45:06,0
Revenge of the Mummy,2024-04-01 23:50:07,0
Revenge of the Mummy,2024-04-01 23:55:06,0
Revenge of the Mummy,2024-04-02 00:00:07,0
Revenge of the Mummy,2024-04-02 00:05:05,0
