Ride,Date/Time,Wait Time
Silly Swirly,2025-02-14 00:55:13,0
Silly Swirly,2025-02-14 06:05:12,0
Silly Swirly,2025-02-14 06:10:13,0
Silly Swirly,2025-02-14 06:25:13,0
Silly Swirly,2025-02-14 06:30:13,0
Silly Swirly,2025-02-14 06:35:13,0
Silly Swirly,2025-02-14 06:40:12,0
Silly Swirly,2025-02-14 06:45:13,0
Silly Swirly,2025-02-14 06:50:13,0
Silly Swirly,2025-02-14 07:05:13,0
Silly Swirly,2025-02-14 07:10:13,0
Silly Swirly,2025-02-14 07:15:13,0
Silly Swirly,2025-02-14 07:20:13,0
Silly Swirly,2025-02-14 07:25:13,0
Silly Swirly,2025-02-14 07:30:13,0
Silly Swirly,2025-02-14 07:35:13,0
Silly Swirly,2025-02-14 07:45:13,0
Silly Swirly,2025-02-14 07:50:13,0
Silly Swirly,2025-02-14 07:55:13,0
Silly Swirly,2025-02-14 08:05:13,0
Silly Swirly,2025-02-14 08:10:13,0
Silly Swirly,2025-02-14 08:15:13,0
Silly Swirly,2025-02-14 08:20:13,0
Silly Swirly,2025-02-14 08:25:13,0
Silly Swirly,2025-02-14 08:30:13,0
Silly Swirly,2025-02-14 08:35:12,0
Silly Swirly,2025-02-14 08:40:13,0
Silly Swirly,2025-02-14 08:45:13,0
Silly Swirly,2025-02-14 08:50:12,0
Silly Swirly,2025-02-14 09:00:13,0
Silly Swirly,2025-02-14 09:10:13,0
Silly Swirly,2025-02-14 09:15:13,0
Silly Swirly,2025-02-14 09:20:13,0
Silly Swirly,2025-02-14 09:25:13,0
Silly Swirly,2025-02-14 09:30:13,0
Silly Swirly,2025-02-14 09:35:13,0
Silly Swirly,2025-02-14 09:45:13,0
Silly Swirly,2025-02-14 09:55:13,0
Silly Swirly,2025-02-14 10:00:13,15
Silly Swirly,2025-02-14 10:05:13,25
Silly Swirly,2025-02-14 10:15:14,25
Silly Swirly,2025-02-14 10:20:13,25
Silly Swirly,2025-02-14 10:25:13,40
Silly Swirly,2025-02-14 10:30:13,40
Silly Swirly,2025-02-14 10:40:13,40
Silly Swirly,2025-02-14 10:45:13,40
Silly Swirly,2025-02-14 10:50:13,40
Silly Swirly,2025-02-14 10:55:13,40
Silly Swirly,2025-02-14 11:00:14,40
Silly Swirly,2025-02-14 11:05:13,40
Silly Swirly,2025-02-14 11:10:12,40
Silly Swirly,2025-02-14 11:15:13,30
Silly Swirly,2025-02-14 11:20:13,30
Silly Swirly,2025-02-14 11:25:13,30
Silly Swirly,2025-02-14 11:30:13,30
Silly Swirly,2025-02-14 11:35:13,30
Silly Swirly,2025-02-14 11:40:13,30
Silly Swirly,2025-02-14 11:50:13,30
Silly Swirly,2025-02-14 11:55:13,30
Silly Swirly,2025-02-14 12:00:13,30
Silly Swirly,2025-02-14 12:15:13,30
Silly Swirly,2025-02-14 12:20:13,30
Silly Swirly,2025-02-14 12:25:13,30
Silly Swirly,2025-02-14 12:30:14,30
Silly Swirly,2025-02-14 12:35:13,30
Silly Swirly,2025-02-14 12:40:13,30
Silly Swirly,2025-02-14 12:50:13,30
Silly Swirly,2025-02-14 12:55:13,30
Silly Swirly,2025-02-14 13:00:13,30
Silly Swirly,2025-02-14 13:10:13,30
Silly Swirly,2025-02-14 13:15:13,30
Silly Swirly,2025-02-14 13:25:13,30
Silly Swirly,2025-02-14 13:35:13,30
Silly Swirly,2025-02-14 13:55:12,20
Silly Swirly,2025-02-14 14:05:13,20
Silly Swirly,2025-02-14 14:15:12,20
Silly Swirly,2025-02-14 14:20:13,20
Silly Swirly,2025-02-14 14:55:13,20
Silly Swirly,2025-02-14 15:05:13,20
Silly Swirly,2025-02-14 15:10:13,20
Silly Swirly,2025-02-14 15:15:13,20
Silly Swirly,2025-02-14 15:40:13,20
Silly Swirly,2025-02-14 15:50:14,20
Silly Swirly,2025-02-14 15:55:13,20
Silly Swirly,2025-02-14 16:00:13,20
Silly Swirly,2025-02-14 16:05:13,20
Silly Swirly,2025-02-14 16:15:14,20
Silly Swirly,2025-02-14 16:20:13,20
Silly Swirly,2025-02-14 16:25:13,20
Silly Swirly,2025-02-14 16:30:13,20
Silly Swirly,2025-02-14 16:35:13,20
Silly Swirly,2025-02-14 16:40:13,20
Silly Swirly,2025-02-14 16:50:14,20
Silly Swirly,2025-02-14 16:55:13,0
Silly Swirly,2025-02-14 17:00:13,0
Silly Swirly,2025-02-14 17:05:13,0
Silly Swirly,2025-02-14 17:15:13,10
Silly Swirly,2025-02-14 17:20:14,20
Silly Swirly,2025-02-14 17:25:13,20
Silly Swirly,2025-02-14 17:30:13,20
Silly Swirly,2025-02-14 17:35:13,20
Silly Swirly,2025-02-14 17:40:13,20
Silly Swirly,2025-02-14 17:45:13,20
Silly Swirly,2025-02-14 17:50:13,20
Silly Swirly,2025-02-14 17:55:13,20
Silly Swirly,2025-02-14 18:25:13,15
Silly Swirly,2025-02-14 18:30:13,15
Silly Swirly,2025-02-14 18:45:13,15
Silly Swirly,2025-02-14 18:50:12,15
Silly Swirly,2025-02-14 18:55:13,15
Silly Swirly,2025-02-14 19:00:13,0
Silly Swirly,2025-02-14 19:05:12,0
Silly Swirly,2025-02-14 19:10:13,0
Silly Swirly,2025-02-14 19:15:13,0
Silly Swirly,2025-02-14 19:20:13,0
Silly Swirly,2025-02-14 19:25:13,0
Silly Swirly,2025-02-14 19:30:13,0
Silly Swirly,2025-02-14 19:35:13,0
Silly Swirly,2025-02-14 19:40:13,0
Silly Swirly,2025-02-14 19:45:13,0
Silly Swirly,2025-02-14 19:50:13,0
Silly Swirly,2025-02-14 19:55:13,0
Silly Swirly,2025-02-14 20:00:13,0
Silly Swirly,2025-02-14 20:05:13,0
Silly Swirly,2025-02-14 20:10:13,0
Silly Swirly,2025-02-14 20:15:13,0
Silly Swirly,2025-02-14 20:20:15,0
Silly Swirly,2025-02-14 20:25:14,0
Silly Swirly,2025-02-14 20:30:13,0
Silly Swirly,2025-02-14 20:35:13,0
Silly Swirly,2025-02-14 20:45:12,0
Silly Swirly,2025-02-14 20:50:13,0
Silly Swirly,2025-02-14 20:55:14,0
Silly Swirly,2025-02-14 21:00:14,0
Silly Swirly,2025-02-14 21:05:12,0
Silly Swirly,2025-02-14 21:10:13,0
Silly Swirly,2025-02-14 21:15:12,0
Silly Swirly,2025-02-14 21:20:13,0
Silly Swirly,2025-02-14 21:25:13,0
Silly Swirly,2025-02-14 21:30:13,0
Silly Swirly,2025-02-14 21:35:13,0
Silly Swirly,2025-02-14 21:40:13,0
Silly Swirly,2025-02-14 21:45:14,0
Silly Swirly,2025-02-14 21:50:14,0
Silly Swirly,2025-02-14 21:55:12,0
Silly Swirly,2025-02-14 22:00:13,0
Silly Swirly,2025-02-14 22:05:13,0
Silly Swirly,2025-02-14 22:15:14,0
Silly Swirly,2025-02-14 22:20:14,0
Silly Swirly,2025-02-14 22:25:13,0
Silly Swirly,2025-02-14 22:35:13,0
Silly Swirly,2025-02-14 22:40:13,0
Silly Swirly,2025-02-14 22:45:13,0
Silly Swirly,2025-02-14 22:50:14,0
Silly Swirly,2025-02-14 23:05:13,0
Silly Swirly,2025-02-14 23:15:13,0
Silly Swirly,2025-02-14 23:20:13,0
Silly Swirly,2025-02-14 23:25:13,0
Silly Swirly,2025-02-14 23:30:13,0
Silly Swirly,2025-02-14 23:35:12,0
Silly Swirly,2025-02-14 23:40:14,0
Silly Swirly,2025-02-14 23:45:13,0
Silly Swirly,2025-02-14 23:50:14,0
Silly Swirly,2025-02-14 23:55:13,0
Silly Swirly,2025-02-15 00:00:13,0
Silly Swirly,2025-02-15 00:05:13,0
Silly Swirly,2025-02-15 00:10:13,0
Silly Swirly,2025-02-15 00:15:13,0
Silly Swirly,2025-02-15 00:20:13,0
Silly Swirly,2025-02-15 00:25:13,0
Silly Swirly,2025-02-15 00:40:14,0
Silly Swirly,2025-02-15 00:45:12,0
Silly Swirly,2025-02-15 00:50:13,0
Silly Swirly,2025-02-15 06:00:13,0
Silly Swirly,2025-02-15 06:05:13,0
Silly Swirly,2025-02-15 06:10:13,0
Silly Swirly,2025-02-15 06:15:13,0
Silly Swirly,2025-02-15 06:20:13,0
Silly Swirly,2025-02-15 06:30:12,0
Silly Swirly,2025-02-15 06:40:13,0
Silly Swirly,2025-02-15 06:45:13,0
Silly Swirly,2025-02-15 06:50:13,0
Silly Swirly,2025-02-15 06:55:12,0
Silly Swirly,2025-02-15 07:00:12,0
Silly Swirly,2025-02-15 07:05:13,0
Silly Swirly,2025-02-15 07:10:13,0
Silly Swirly,2025-02-15 07:15:13,0
Silly Swirly,2025-02-15 07:20:13,0
Silly Swirly,2025-02-15 07:25:13,0
Silly Swirly,2025-02-15 07:35:14,0
Silly Swirly,2025-02-15 07:40:13,0
Silly Swirly,2025-02-15 07:45:13,0
Silly Swirly,2025-02-15 07:50:13,0
Silly Swirly,2025-02-15 07:55:13,0
Silly Swirly,2025-02-15 08:00:13,0
Silly Swirly,2025-02-15 08:05:13,0
Silly Swirly,2025-02-15 08:10:12,0
Silly Swirly,2025-02-15 08:15:13,0
Silly Swirly,2025-02-15 08:20:12,0
Silly Swirly,2025-02-15 08:25:13,0
Silly Swirly,2025-02-15 08:30:13,0
Silly Swirly,2025-02-15 08:35:13,0
Silly Swirly,2025-02-15 08:45:13,0
Silly Swirly,2025-02-15 08:50:13,0
Silly Swirly,2025-02-15 08:55:13,0
Silly Swirly,2025-02-15 09:00:13,0
Silly Swirly,2025-02-15 09:05:13,0
Silly Swirly,2025-02-15 09:10:14,0
Silly Swirly,2025-02-15 09:15:13,0
Silly Swirly,2025-02-15 09:20:13,0
Silly Swirly,2025-02-15 09:25:13,0
Silly Swirly,2025-02-15 09:30:13,0
Silly Swirly,2025-02-15 09:35:13,0
Silly Swirly,2025-02-15 09:40:13,0
Silly Swirly,2025-02-15 09:45:13,0
Silly Swirly,2025-02-15 09:50:13,0
Silly Swirly,2025-02-15 09:55:12,0
Silly Swirly,2025-02-15 10:00:13,15
Silly Swirly,2025-02-15 10:05:13,15
Silly Swirly,2025-02-15 10:10:13,15
Silly Swirly,2025-02-15 10:15:12,15
Silly Swirly,2025-02-15 10:20:13,15
Silly Swirly,2025-02-15 10:25:13,15
Silly Swirly,2025-02-15 10:35:13,15
Silly Swirly,2025-02-15 10:40:13,15
Silly Swirly,2025-02-15 10:45:13,15
Silly Swirly,2025-02-15 10:50:13,15
Silly Swirly,2025-02-15 10:55:14,15
Silly Swirly,2025-02-15 11:00:13,15
Silly Swirly,2025-02-15 11:05:14,15
Silly Swirly,2025-02-15 11:10:13,15
Silly Swirly,2025-02-15 11:15:13,15
Silly Swirly,2025-02-15 11:20:13,15
Silly Swirly,2025-02-15 11:25:13,15
Silly Swirly,2025-02-15 11:30:13,15
Silly Swirly,2025-02-15 11:40:14,15
Silly Swirly,2025-02-15 11:45:13,15
Silly Swirly,2025-02-15 11:50:13,15
Silly Swirly,2025-02-15 11:55:12,15
Silly Swirly,2025-02-15 12:00:13,15
Silly Swirly,2025-02-15 12:05:13,15
Silly Swirly,2025-02-15 12:10:13,15
Silly Swirly,2025-02-15 12:15:14,15
Silly Swirly,2025-02-15 12:20:12,15
Silly Swirly,2025-02-15 12:25:13,15
Silly Swirly,2025-02-15 12:30:14,15
Silly Swirly,2025-02-15 12:35:13,15
Silly Swirly,2025-02-15 12:40:14,15
Silly Swirly,2025-02-15 12:45:13,15
Silly Swirly,2025-02-15 12:50:13,15
Silly Swirly,2025-02-15 12:55:14,15
Silly Swirly,2025-02-15 13:00:12,15
Silly Swirly,2025-02-15 13:05:13,15
Silly Swirly,2025-02-15 13:10:13,15
Silly Swirly,2025-02-15 13:15:13,15
Silly Swirly,2025-02-15 13:20:13,15
Silly Swirly,2025-02-15 13:25:14,15
Silly Swirly,2025-02-15 13:30:13,15
Silly Swirly,2025-02-15 13:40:13,15
Silly Swirly,2025-02-15 13:45:13,15
Silly Swirly,2025-02-15 13:50:13,15
Silly Swirly,2025-02-15 13:55:13,15
Silly Swirly,2025-02-15 14:00:13,15
Silly Swirly,2025-02-15 14:05:13,15
Silly Swirly,2025-02-15 14:10:13,15
Silly Swirly,2025-02-15 14:15:13,15
Silly Swirly,2025-02-15 14:20:13,15
Silly Swirly,2025-02-15 14:30:13,0
Silly Swirly,2025-02-15 14:35:12,0
Silly Swirly,2025-02-15 14:40:14,10
Silly Swirly,2025-02-15 14:45:14,10
Silly Swirly,2025-02-15 14:50:13,10
Silly Swirly,2025-02-15 14:55:13,10
Silly Swirly,2025-02-15 15:00:13,10
Silly Swirly,2025-02-15 15:05:13,10
Silly Swirly,2025-02-15 15:10:12,10
Silly Swirly,2025-02-15 15:15:13,10
Silly Swirly,2025-02-15 15:20:13,10
Silly Swirly,2025-02-15 15:25:13,10
Silly Swirly,2025-02-15 15:35:13,10
Silly Swirly,2025-02-15 15:40:12,10
Silly Swirly,2025-02-15 15:45:13,10
