Ride,Date/Time,Wait Time
Silly Swirly,2025-03-01 06:00:13,0
Silly Swirly,2025-03-01 06:05:12,0
Silly Swirly,2025-03-01 06:10:12,0
Silly Swirly,2025-03-01 06:15:13,0
Silly Swirly,2025-03-01 06:25:12,0
Silly Swirly,2025-03-01 06:30:13,0
Silly Swirly,2025-03-01 06:35:12,0
Silly Swirly,2025-03-01 06:40:12,0
Silly Swirly,2025-03-01 06:45:12,0
Silly Swirly,2025-03-01 06:50:12,0
Silly Swirly,2025-03-01 06:55:12,0
Silly Swirly,2025-03-01 07:00:12,0
Silly Swirly,2025-03-01 07:05:13,0
Silly Swirly,2025-03-01 07:10:13,0
Silly Swirly,2025-03-01 07:15:13,0
Silly Swirly,2025-03-01 07:20:13,0
Silly Swirly,2025-03-01 07:30:12,0
Silly Swirly,2025-03-01 07:35:12,0
Silly Swirly,2025-03-01 07:45:13,0
Silly Swirly,2025-03-01 07:50:13,0
Silly Swirly,2025-03-01 07:55:12,0
Silly Swirly,2025-03-01 08:00:13,0
Silly Swirly,2025-03-01 08:05:12,0
Silly Swirly,2025-03-01 08:10:13,0
Silly Swirly,2025-03-01 08:15:14,0
Silly Swirly,2025-03-01 08:20:13,0
Silly Swirly,2025-03-01 08:30:13,0
Silly Swirly,2025-03-01 08:40:12,0
Silly Swirly,2025-03-01 08:45:12,0
Silly Swirly,2025-03-01 08:50:12,0
Silly Swirly,2025-03-01 08:55:12,0
Silly Swirly,2025-03-01 09:00:13,0
Silly Swirly,2025-03-01 09:05:13,0
Silly Swirly,2025-03-01 09:10:12,0
Silly Swirly,2025-03-01 09:15:13,0
Silly Swirly,2025-03-01 09:20:12,0
Silly Swirly,2025-03-01 09:25:13,0
Silly Swirly,2025-03-01 09:35:12,0
Silly Swirly,2025-03-01 09:40:13,0
Silly Swirly,2025-03-01 09:45:12,0
Silly Swirly,2025-03-01 09:50:13,0
Silly Swirly,2025-03-01 09:55:12,0
Silly Swirly,2025-03-01 10:00:12,5
Silly Swirly,2025-03-01 10:05:12,5
Silly Swirly,2025-03-01 10:15:13,10
Silly Swirly,2025-03-01 10:20:13,15
Silly Swirly,2025-03-01 10:25:12,0
Silly Swirly,2025-03-01 10:30:12,0
Silly Swirly,2025-03-01 10:35:12,10
Silly Swirly,2025-03-01 10:40:13,10
Silly Swirly,2025-03-01 10:45:12,15
Silly Swirly,2025-03-01 10:55:13,0
Silly Swirly,2025-03-01 11:10:12,15
Silly Swirly,2025-03-01 11:15:12,15
Silly Swirly,2025-03-01 11:20:12,15
Silly Swirly,2025-03-01 11:25:13,15
Silly Swirly,2025-03-01 11:30:12,15
Silly Swirly,2025-03-01 11:45:12,15
Silly Swirly,2025-03-01 11:55:13,15
Silly Swirly,2025-03-01 12:00:12,15
Silly Swirly,2025-03-01 12:05:12,15
Silly Swirly,2025-03-01 12:15:12,15
Silly Swirly,2025-03-01 12:20:13,15
Silly Swirly,2025-03-01 12:25:12,15
Silly Swirly,2025-03-01 12:30:13,15
Silly Swirly,2025-03-01 12:35:12,15
Silly Swirly,2025-03-01 12:40:12,15
Silly Swirly,2025-03-01 12:45:12,15
Silly Swirly,2025-03-01 12:50:12,15
Silly Swirly,2025-03-01 12:55:13,15
Silly Swirly,2025-03-01 13:00:12,15
Silly Swirly,2025-03-01 13:10:12,15
Silly Swirly,2025-03-01 13:15:12,15
Silly Swirly,2025-03-01 13:20:12,10
Silly Swirly,2025-03-01 13:30:13,10
Silly Swirly,2025-03-01 13:35:13,10
Silly Swirly,2025-03-01 13:40:12,10
Silly Swirly,2025-03-01 13:45:12,10
Silly Swirly,2025-03-01 13:50:12,10
Silly Swirly,2025-03-01 13:55:12,10
Silly Swirly,2025-03-01 14:00:13,10
Silly Swirly,2025-03-01 14:05:13,10
Silly Swirly,2025-03-01 14:10:13,10
Silly Swirly,2025-03-01 14:20:13,10
Silly Swirly,2025-03-01 14:25:12,10
Silly Swirly,2025-03-01 14:30:12,10
Silly Swirly,2025-03-01 14:40:13,10
Silly Swirly,2025-03-01 14:45:12,10
Silly Swirly,2025-03-01 14:50:12,10
Silly Swirly,2025-03-01 14:55:13,10
Silly Swirly,2025-03-01 15:00:13,10
Silly Swirly,2025-03-01 15:05:14,10
Silly Swirly,2025-03-01 15:10:12,10
Silly Swirly,2025-03-01 15:15:12,15
Silly Swirly,2025-03-01 15:20:12,10
Silly Swirly,2025-03-01 15:25:12,10
Silly Swirly,2025-03-01 15:30:13,10
Silly Swirly,2025-03-01 15:35:12,10
Silly Swirly,2025-03-01 15:40:12,10
Silly Swirly,2025-03-01 15:45:12,10
Silly Swirly,2025-03-01 15:50:12,10
Silly Swirly,2025-03-01 16:00:13,10
Silly Swirly,2025-03-01 16:05:12,10
Silly Swirly,2025-03-01 16:10:12,10
Silly Swirly,2025-03-01 16:20:12,10
Silly Swirly,2025-03-01 16:25:13,10
Silly Swirly,2025-03-01 16:30:12,10
Silly Swirly,2025-03-01 16:40:12,10
Silly Swirly,2025-03-01 16:45:12,10
Silly Swirly,2025-03-01 16:50:12,10
Silly Swirly,2025-03-01 16:55:14,10
Silly Swirly,2025-03-01 17:00:14,0
Silly Swirly,2025-03-01 17:05:12,0
Silly Swirly,2025-03-01 17:10:13,0
Silly Swirly,2025-03-01 17:15:12,0
Silly Swirly,2025-03-01 17:20:12,0
Silly Swirly,2025-03-01 17:25:12,5
Silly Swirly,2025-03-01 17:30:14,5
Silly Swirly,2025-03-01 17:35:12,5
Silly Swirly,2025-03-01 17:40:12,5
Silly Swirly,2025-03-01 17:45:12,5
Silly Swirly,2025-03-01 17:50:12,5
Silly Swirly,2025-03-01 17:55:13,5
Silly Swirly,2025-03-01 18:10:12,5
Silly Swirly,2025-03-01 18:15:12,5
Silly Swirly,2025-03-01 18:25:12,5
Silly Swirly,2025-03-01 18:30:14,5
Silly Swirly,2025-03-01 18:35:12,5
Silly Swirly,2025-03-01 18:40:12,5
Silly Swirly,2025-03-01 18:45:13,5
Silly Swirly,2025-03-01 18:50:12,5
Silly Swirly,2025-03-01 18:55:12,5
Silly Swirly,2025-03-01 19:00:12,0
Silly Swirly,2025-03-01 19:05:12,0
Silly Swirly,2025-03-01 19:10:12,0
Silly Swirly,2025-03-01 19:15:12,0
Silly Swirly,2025-03-01 19:20:13,0
Silly Swirly,2025-03-01 19:25:12,0
Silly Swirly,2025-03-01 19:30:13,0
Silly Swirly,2025-03-01 19:40:13,0
Silly Swirly,2025-03-01 19:45:13,0
Silly Swirly,2025-03-01 19:50:13,0
Silly Swirly,2025-03-01 20:00:12,0
Silly Swirly,2025-03-01 20:10:13,0
Silly Swirly,2025-03-01 20:15:13,0
Silly Swirly,2025-03-01 20:20:12,0
Silly Swirly,2025-03-01 20:25:13,0
Silly Swirly,2025-03-01 20:30:12,0
Silly Swirly,2025-03-01 20:35:12,0
Silly Swirly,2025-03-01 20:40:12,0
Silly Swirly,2025-03-01 20:45:13,0
Silly Swirly,2025-03-01 20:50:13,0
Silly Swirly,2025-03-01 20:55:12,0
Silly Swirly,2025-03-01 21:00:12,0
Silly Swirly,2025-03-01 21:10:12,0
Silly Swirly,2025-03-01 21:15:12,0
Silly Swirly,2025-03-01 21:20:13,0
Silly Swirly,2025-03-01 21:25:12,0
Silly Swirly,2025-03-01 21:30:12,0
Silly Swirly,2025-03-01 21:35:13,0
Silly Swirly,2025-03-01 21:40:12,0
Silly Swirly,2025-03-01 21:45:12,0
Silly Swirly,2025-03-01 21:50:12,0
Silly Swirly,2025-03-01 21:55:13,0
Silly Swirly,2025-03-01 22:00:13,0
Silly Swirly,2025-03-01 22:10:12,0
Silly Swirly,2025-03-01 22:15:12,0
Silly Swirly,2025-03-01 22:25:12,0
Silly Swirly,2025-03-01 22:30:12,0
Silly Swirly,2025-03-01 22:35:13,0
Silly Swirly,2025-03-01 22:40:13,0
Silly Swirly,2025-03-01 22:45:13,0
Silly Swirly,2025-03-01 22:50:12,0
Silly Swirly,2025-03-01 22:55:12,0
Silly Swirly,2025-03-01 23:05:12,0
Silly Swirly,2025-03-01 23:10:13,0
Silly Swirly,2025-03-01 23:15:12,0
Silly Swirly,2025-03-01 23:20:13,0
Silly Swirly,2025-03-01 23:25:12,0
Silly Swirly,2025-03-01 23:30:12,0
Silly Swirly,2025-03-01 23:35:13,0
Silly Swirly,2025-03-01 23:45:13,0
Silly Swirly,2025-03-01 23:50:12,0
Silly Swirly,2025-03-01 23:55:13,0
Silly Swirly,2025-03-02 00:00:13,0
Silly Swirly,2025-03-02 00:05:12,0
Silly Swirly,2025-03-02 00:10:13,0
Silly Swirly,2025-03-02 00:15:12,0
Silly Swirly,2025-03-02 00:20:14,0
Silly Swirly,2025-03-02 00:25:13,0
