Ride,Date/Time,Wait Time
Treasure Hunters,2024-04-15 09:50:06,0
Treasure Hunters,2024-04-15 09:55:05,0
Treasure Hunters,2024-04-15 10:00:05,5
Treasure Hunters,2024-04-15 10:05:06,5
Treasure Hunters,2024-04-15 10:10:07,5
Treasure Hunters,2024-04-15 10:15:06,5
Treasure Hunters,2024-04-15 10:20:05,5
Treasure Hunters,2024-04-15 10:25:06,15
Treasure Hunters,2024-04-15 10:30:06,15
Treasure Hunters,2024-04-15 10:35:05,25
Treasure Hunters,2024-04-15 10:40:07,40
Treasure Hunters,2024-04-15 10:45:06,40
Treasure Hunters,2024-04-15 10:50:05,40
Treasure Hunters,2024-04-15 10:55:05,40
Treasure Hunters,2024-04-15 11:00:07,40
Treasure Hunters,2024-04-15 11:05:06,40
Treasure Hunters,2024-04-15 11:10:06,40
Treasure Hunters,2024-04-15 11:15:05,40
Treasure Hunters,2024-04-15 11:20:06,40
Treasure Hunters,2024-04-15 11:25:08,45
Treasure Hunters,2024-04-15 11:30:06,45
Treasure Hunters,2024-04-15 11:35:05,45
Treasure Hunters,2024-04-15 11:40:05,35
Treasure Hunters,2024-04-15 11:45:06,35
Treasure Hunters,2024-04-15 11:50:04,45
Treasure Hunters,2024-04-15 11:55:06,45
Treasure Hunters,2024-04-15 12:00:07,45
Treasure Hunters,2024-04-15 12:05:06,50
Treasure Hunters,2024-04-15 12:10:06,50
Treasure Hunters,2024-04-15 12:15:06,50
Treasure Hunters,2024-04-15 12:20:06,50
Treasure Hunters,2024-04-15 12:25:05,50
Treasure Hunters,2024-04-15 12:30:07,50
Treasure Hunters,2024-04-15 12:35:06,50
Treasure Hunters,2024-04-15 12:40:04,50
Treasure Hunters,2024-04-15 12:45:04,50
Treasure Hunters,2024-04-15 12:50:04,50
Treasure Hunters,2024-04-15 12:55:05,50
Treasure Hunters,2024-04-15 13:00:03,50
Treasure Hunters,2024-04-15 13:05:05,50
Treasure Hunters,2024-04-15 13:10:06,50
Treasure Hunters,2024-04-15 13:15:06,50
Treasure Hunters,2024-04-15 13:20:06,50
Treasure Hunters,2024-04-15 13:25:06,50
Treasure Hunters,2024-04-15 13:30:05,50
Treasure Hunters,2024-04-15 13:35:03,50
Treasure Hunters,2024-04-15 13:40:06,50
Treasure Hunters,2024-04-15 13:45:05,50
Treasure Hunters,2024-04-15 13:50:06,50
Treasure Hunters,2024-04-15 13:55:05,50
Treasure Hunters,2024-04-15 14:00:06,50
Treasure Hunters,2024-04-15 14:05:05,50
Treasure Hunters,2024-04-15 14:10:06,50
Treasure Hunters,2024-04-15 14:15:06,60
Treasure Hunters,2024-04-15 14:20:04,60
Treasure Hunters,2024-04-15 14:25:06,60
Treasure Hunters,2024-04-15 14:30:06,60
Treasure Hunters,2024-04-15 14:35:05,60
Treasure Hunters,2024-04-15 14:40:06,60
Treasure Hunters,2024-04-15 14:45:05,60
Treasure Hunters,2024-04-15 14:50:06,60
Treasure Hunters,2024-04-15 14:55:05,60
Treasure Hunters,2024-04-15 15:00:06,60
Treasure Hunters,2024-04-15 15:05:06,60
Treasure Hunters,2024-04-15 15:10:06,60
Treasure Hunters,2024-04-15 15:15:06,60
Treasure Hunters,2024-04-15 15:20:06,60
Treasure Hunters,2024-04-15 15:25:05,50
Treasure Hunters,2024-04-15 15:30:07,50
Treasure Hunters,2024-04-15 15:35:06,50
Treasure Hunters,2024-04-15 15:40:05,50
Treasure Hunters,2024-04-15 15:45:05,50
Treasure Hunters,2024-04-15 15:50:07,50
Treasure Hunters,2024-04-15 15:55:04,50
Treasure Hunters,2024-04-15 16:00:06,45
Treasure Hunters,2024-04-15 16:05:07,45
Treasure Hunters,2024-04-15 16:10:06,45
Treasure Hunters,2024-04-15 16:15:07,45
Treasure Hunters,2024-04-15 16:20:05,45
Treasure Hunters,2024-04-15 16:25:06,45
Treasure Hunters,2024-04-15 16:30:04,25
Treasure Hunters,2024-04-15 16:35:04,25
Treasure Hunters,2024-04-15 16:40:05,25
Treasure Hunters,2024-04-15 16:45:06,30
Treasure Hunters,2024-04-15 16:50:05,30
Treasure Hunters,2024-04-15 17:00:07,30
Treasure Hunters,2024-04-15 17:10:06,40
Treasure Hunters,2024-04-15 17:15:06,40
Treasure Hunters,2024-04-15 17:20:04,40
Treasure Hunters,2024-04-15 17:25:07,40
Treasure Hunters,2024-04-15 17:30:05,40
Treasure Hunters,2024-04-15 17:35:07,40
Treasure Hunters,2024-04-15 17:40:06,40
Treasure Hunters,2024-04-15 17:45:07,40
Treasure Hunters,2024-04-15 17:50:07,40
Treasure Hunters,2024-04-15 18:00:06,40
Treasure Hunters,2024-04-15 18:05:05,40
Treasure Hunters,2024-04-15 18:10:06,20
Treasure Hunters,2024-04-15 18:15:08,20
Treasure Hunters,2024-04-15 18:20:06,20
Treasure Hunters,2024-04-15 18:35:06,20
Treasure Hunters,2024-04-15 18:40:06,10
Treasure Hunters,2024-04-15 18:45:05,10
Treasure Hunters,2024-04-15 18:50:06,10
Treasure Hunters,2024-04-15 18:55:05,10
Treasure Hunters,2024-04-15 19:00:06,0
Treasure Hunters,2024-04-15 19:05:04,0
Treasure Hunters,2024-04-15 19:10:05,0
Treasure Hunters,2024-04-15 19:20:07,0
Treasure Hunters,2024-04-15 19:25:08,0
Treasure Hunters,2024-04-15 19:35:07,0
Treasure Hunters,2024-04-15 19:40:04,0
Treasure Hunters,2024-04-15 19:50:04,0
Treasure Hunters,2024-04-15 20:00:07,0
Treasure Hunters,2024-04-15 20:10:06,0
Treasure Hunters,2024-04-15 20:15:05,0
Treasure Hunters,2024-04-15 20:20:07,0
Treasure Hunters,2024-04-15 20:25:06,0
Treasure Hunters,2024-04-15 20:40:06,0
Treasure Hunters,2024-04-15 20:45:04,0
Treasure Hunters,2024-04-15 20:50:06,0
Treasure Hunters,2024-04-15 20:55:06,0
Treasure Hunters,2024-04-15 21:00:04,0
Treasure Hunters,2024-04-15 21:05:06,0
Treasure Hunters,2024-04-15 21:10:04,0
Treasure Hunters,2024-04-15 21:15:07,0
Treasure Hunters,2024-04-15 21:20:05,0
Treasure Hunters,2024-04-15 21:25:06,0
Treasure Hunters,2024-04-15 21:35:06,0
Treasure Hunters,2024-04-15 21:40:06,0
Treasure Hunters,2024-04-15 21:45:04,0
Treasure Hunters,2024-04-15 21:55:05,0
Treasure Hunters,2024-04-15 22:00:07,0
Treasure Hunters,2024-04-15 22:05:06,0
Treasure Hunters,2024-04-15 22:10:05,0
Treasure Hunters,2024-04-15 22:15:05,0
Treasure Hunters,2024-04-15 22:20:06,0
Treasure Hunters,2024-04-15 22:25:06,0
Treasure Hunters,2024-04-15 22:30:06,0
Treasure Hunters,2024-04-15 22:35:06,0
Treasure Hunters,2024-04-15 22:40:04,0
Treasure Hunters,2024-04-15 22:45:07,0
Treasure Hunters,2024-04-15 22:50:07,0
Treasure Hunters,2024-04-15 22:55:04,0
Treasure Hunters,2024-04-15 23:00:03,0
Treasure Hunters,2024-04-15 23:05:06,0
Treasure Hunters,2024-04-15 23:10:06,0
Treasure Hunters,2024-04-15 23:15:07,0
Treasure Hunters,2024-04-15 23:20:05,0
Treasure Hunters,2024-04-15 23:25:07,0
Treasure Hunters,2024-04-15 23:35:05,0
Treasure Hunters,2024-04-15 23:50:03,0
Treasure Hunters,2024-04-15 23:55:04,0
Treasure Hunters,2024-04-16 00:00:06,0
Treasure Hunters,2024-04-16 00:05:07,0
Treasure Hunters,2024-04-16 00:15:07,0
Treasure Hunters,2024-04-16 00:25:07,0
Treasure Hunters,2024-04-16 00:35:06,0
Treasure Hunters,2024-04-16 00:40:06,0
Treasure Hunters,2024-04-16 00:45:06,0
Treasure Hunters,2024-04-16 00:50:05,0
Treasure Hunters,2024-04-16 06:00:06,0
Treasure Hunters,2024-04-16 06:05:06,0
Treasure Hunters,2024-04-16 06:10:06,0
Treasure Hunters,2024-04-16 06:15:05,0
Treasure Hunters,2024-04-16 06:20:06,0
Treasure Hunters,2024-04-16 06:25:06,0
Treasure Hunters,2024-04-16 06:35:05,0
Treasure Hunters,2024-04-16 06:45:06,0
Treasure Hunters,2024-04-16 06:50:05,0
Treasure Hunters,2024-04-16 06:55:05,0
Treasure Hunters,2024-04-16 07:00:05,0
Treasure Hunters,2024-04-16 07:05:07,0
Treasure Hunters,2024-04-16 07:10:06,0
Treasure Hunters,2024-04-16 07:15:06,0
Treasure Hunters,2024-04-16 07:20:04,0
Treasure Hunters,2024-04-16 07:30:06,0
Treasure Hunters,2024-04-16 07:35:05,0
Treasure Hunters,2024-04-16 07:40:04,0
Treasure Hunters,2024-04-16 07:50:05,0
Treasure Hunters,2024-04-16 07:55:05,0
Treasure Hunters,2024-04-16 08:00:06,0
Treasure Hunters,2024-04-16 08:05:05,0
Treasure Hunters,2024-04-16 08:10:07,0
Treasure Hunters,2024-04-16 08:15:05,0
Treasure Hunters,2024-04-16 08:25:06,0
Treasure Hunters,2024-04-16 08:35:06,0
Treasure Hunters,2024-04-16 08:40:04,0
Treasure Hunters,2024-04-16 08:45:05,0
Treasure Hunters,2024-04-16 08:50:06,0
Treasure Hunters,2024-04-16 08:55:05,0
Treasure Hunters,2024-04-16 09:00:07,0
Treasure Hunters,2024-04-16 09:05:05,0
Treasure Hunters,2024-04-16 09:10:06,0
Treasure Hunters,2024-04-16 09:15:06,0
Treasure Hunters,2024-04-16 09:20:05,0
Treasure Hunters,2024-04-16 09:25:06,0
Treasure Hunters,2024-04-16 09:30:05,0
Treasure Hunters,2024-04-16 09:35:05,0
Treasure Hunters,2024-04-16 09:40:06,0
Treasure Hunters,2024-04-16 09:45:05,0
Treasure Hunters,2024-04-16 09:55:02,0
Treasure Hunters,2024-04-16 10:10:07,5
Treasure Hunters,2024-04-16 10:15:06,5
Treasure Hunters,2024-04-16 10:20:07,5
Treasure Hunters,2024-04-16 10:25:06,5
