Date,Prediction,Actual,Delta,Comment
2017-01-01,26.0,26.0,0.0,Predicted
2017-01-02,22.0,22.0,0.0,Predicted
2017-01-03,24.0,26.0,-2.0,Under-Predicted
2017-01-04,23.0,23.0,0.0,Predicted
2017-01-05,28.0,28.0,0.0,Predicted
2017-01-06,21.0,21.0,0.0,Predicted
2017-01-07,28.0,28.0,0.0,Predicted
2017-01-08,32.0,32.0,0.0,Predicted
2017-01-09,33.0,27.0,6.0,Over-Predicted
2017-01-10,24.0,25.0,-1.0,Under-Predicted
2017-01-11,35.0,30.0,5.0,Over-Predicted
2017-01-12,40.0,33.0,7.0,Over-Predicted
2017-01-13,9.0,29.0,-20.0,Under-Predicted
2017-01-14,29.0,29.0,0.0,Predicted
2017-01-15,15.0,32.0,-17.0,Under-Predicted
2017-01-16,33.0,27.0,6.0,Over-Predicted
2017-01-17,33.0,33.0,0.0,Predicted
2017-01-18,28.0,28.0,0.0,Predicted
2017-01-19,18.0,27.0,-9.0,Under-Predicted
2017-01-20,33.0,26.0,7.0,Over-Predicted
2017-01-21,20.0,29.0,-9.0,Under-Predicted
2017-01-22,25.0,25.0,0.0,Predicted
2017-01-23,20.0,20.0,0.0,Predicted
2017-01-24,20.0,20.0,0.0,Predicted
2017-01-25,27.0,27.0,0.0,Predicted
2017-01-26,27.0,27.0,0.0,Predicted
2017-01-27,17.0,17.0,0.0,Predicted
2017-01-28,40.0,32.0,8.0,Over-Predicted
2017-01-29,25.0,22.0,3.0,Over-Predicted
2017-01-30,24.0,24.0,0.0,Predicted
2017-01-31,25.0,26.0,-1.0,Under-Predicted
2017-02-01,29.0,21.0,8.0,Over-Predicted
2017-02-02,24.0,24.0,0.0,Predicted
2017-02-03,20.0,27.0,-7.0,Under-Predicted
2017-02-04,21.0,21.0,0.0,Predicted
2017-02-05,23.0,24.0,-1.0,Under-Predicted
2017-02-06,27.0,23.0,4.0,Over-Predicted
2017-02-07,33.0,24.0,9.0,Over-Predicted
2017-02-08,29.0,29.0,0.0,Predicted
2017-02-09,32.0,32.0,0.0,Predicted
2017-02-10,31.0,25.0,6.0,Over-Predicted
2017-02-11,46.0,29.0,17.0,Over-Predicted
2017-02-12,30.0,25.0,5.0,Over-Predicted
2017-02-13,22.0,24.0,-2.0,Under-Predicted
2017-02-14,31.0,31.0,0.0,Predicted
2017-02-15,24.0,24.0,0.0,Predicted
2017-02-16,18.0,23.0,-5.0,Under-Predicted
2017-02-17,27.0,27.0,0.0,Predicted
2017-02-18,23.0,25.0,-2.0,Under-Predicted
2017-02-19,19.0,20.0,-1.0,Under-Predicted
2017-02-20,26.0,26.0,0.0,Predicted
2017-02-21,21.0,21.0,0.0,Predicted
2017-02-22,26.0,26.0,0.0,Predicted
2017-02-23,28.0,28.0,0.0,Predicted
2017-02-24,30.0,30.0,0.0,Predicted
2017-02-25,21.0,21.0,0.0,Predicted
2017-02-26,19.0,22.0,-3.0,Under-Predicted
2017-02-27,30.0,30.0,0.0,Predicted
2017-02-28,17.0,23.0,-6.0,Under-Predicted
2017-03-01,30.0,30.0,0.0,Predicted
2017-03-02,26.0,26.0,0.0,Predicted
2017-03-03,2.0,27.0,-25.0,Under-Predicted
2017-03-04,13.0,21.0,-8.0,Under-Predicted
2017-03-05,23.0,29.0,-6.0,Under-Predicted
2017-03-06,26.0,27.0,-1.0,Under-Predicted
2017-03-07,30.0,30.0,0.0,Predicted
2017-03-08,37.0,32.0,5.0,Over-Predicted
2017-03-09,19.0,18.0,1.0,Over-Predicted
2017-03-10,32.0,32.0,0.0,Predicted
2017-03-11,25.0,25.0,0.0,Predicted
2017-03-12,16.0,24.0,-8.0,Under-Predicted
2017-03-13,26.0,23.0,3.0,Over-Predicted
2017-03-14,32.0,25.0,7.0,Over-Predicted
2017-03-15,21.0,21.0,0.0,Predicted
2017-03-16,18.0,25.0,-7.0,Under-Predicted
2017-03-17,0.0,27.0,-27.0,Under-Predicted
2017-03-18,17.0,24.0,-7.0,Under-Predicted
2017-03-19,32.0,28.0,4.0,Over-Predicted
2017-03-20,29.0,29.0,0.0,Predicted
2017-03-21,23.0,23.0,0.0,Predicted
2017-03-22,21.0,21.0,0.0,Predicted
2017-03-23,27.0,27.0,0.0,Predicted
2017-03-24,21.0,21.0,0.0,Predicted
2017-03-25,25.0,25.0,0.0,Predicted
2017-03-26,27.0,27.0,0.0,Predicted
2017-03-27,23.0,23.0,0.0,Predicted
2017-03-28,30.0,27.0,3.0,Over-Predicted
2017-03-29,26.0,26.0,0.0,Predicted
2017-03-30,25.0,25.0,0.0,Predicted
2017-03-31,9.0,22.0,-13.0,Under-Predicted
2017-04-01,19.0,24.0,-5.0,Under-Predicted
2017-04-02,17.0,26.0,-9.0,Under-Predicted
2017-04-03,26.0,24.0,2.0,Over-Predicted
2017-04-04,25.0,25.0,0.0,Predicted
2017-04-05,15.0,20.0,-5.0,Under-Predicted
2017-04-06,18.0,18.0,0.0,Predicted
2017-04-07,10.0,20.0,-10.0,Under-Predicted
2017-04-08,10.0,20.0,-10.0,Under-Predicted
2017-04-09,21.0,25.0,-4.0,Under-Predicted
2017-04-10,30.0,30.0,0.0,Predicted
2017-04-11,21.0,23.0,-2.0,Under-Predicted
2017-04-12,26.0,26.0,0.0,Predicted
2017-04-13,28.0,28.0,0.0,Predicted
2017-04-14,34.0,26.0,8.0,Over-Predicted
2017-04-15,7.0,27.0,-20.0,Under-Predicted
2017-04-16,25.0,20.0,5.0,Over-Predicted
2017-04-17,34.0,27.0,7.0,Over-Predicted
2017-04-18,10.0,27.0,-17.0,Under-Predicted
2017-04-19,23.0,23.0,0.0,Predicted
2017-04-20,28.0,29.0,-1.0,Under-Predicted
2017-04-21,36.0,26.0,10.0,Over-Predicted
2017-04-22,12.0,25.0,-13.0,Under-Predicted
2017-04-23,26.0,26.0,0.0,Predicted
2017-04-24,8.0,26.0,-18.0,Under-Predicted
2017-04-25,24.0,24.0,0.0,Predicted
2017-04-26,29.0,29.0,0.0,Predicted
2017-04-27,22.0,28.0,-6.0,Under-Predicted
2017-04-28,26.0,26.0,0.0,Predicted
2017-04-29,20.0,29.0,-9.0,Under-Predicted
2017-04-30,21.0,21.0,0.0,Predicted
2017-05-01,30.0,30.0,0.0,Predicted
2017-05-02,23.0,23.0,0.0,Predicted
2017-05-03,22.0,22.0,0.0,Predicted
2017-05-04,28.0,28.0,0.0,Predicted
2017-05-05,25.0,25.0,0.0,Predicted
2017-05-06,23.0,23.0,0.0,Predicted
2017-05-07,26.0,27.0,-1.0,Under-Predicted
2017-05-08,26.0,26.0,0.0,Predicted
2017-05-09,32.0,23.0,9.0,Over-Predicted
2017-05-10,22.0,22.0,0.0,Predicted
2017-05-11,24.0,24.0,0.0,Predicted
2017-05-12,23.0,23.0,0.0,Predicted
2017-05-13,27.0,27.0,0.0,Predicted
2017-05-14,0.0,24.0,-24.0,Under-Predicted
2017-05-15,20.0,20.0,0.0,Predicted
2017-05-16,24.0,24.0,0.0,Predicted
2017-05-17,0.0,21.0,-21.0,Under-Predicted
2017-05-18,23.0,18.0,5.0,Over-Predicted
2017-05-19,5.0,15.0,-10.0,Under-Predicted
2017-05-20,6.0,16.0,-10.0,Under-Predicted
2017-05-21,22.0,27.0,-5.0,Under-Predicted
2017-05-22,22.0,22.0,0.0,Predicted
2017-05-23,0.0,16.0,-16.0,Under-Predicted
2017-05-24,39.0,24.0,15.0,Over-Predicted
2017-05-25,8.0,23.0,-15.0,Under-Predicted
2017-05-26,41.0,31.0,10.0,Over-Predicted
2017-05-27,25.0,25.0,0.0,Predicted
2017-05-28,22.0,24.0,-2.0,Under-Predicted
2017-05-29,30.0,19.0,11.0,Over-Predicted
2017-05-30,25.0,25.0,0.0,Predicted
2017-05-31,41.0,28.0,13.0,Over-Predicted
2017-06-01,36.0,20.0,16.0,Over-Predicted
2017-06-02,26.0,26.0,0.0,Predicted
2017-06-03,0.0,22.0,-22.0,Under-Predicted
2017-06-04,26.0,21.0,5.0,Over-Predicted
2017-06-05,26.0,26.0,0.0,Predicted
2017-06-06,20.0,20.0,0.0,Predicted
2017-06-07,0.0,19.0,-19.0,Under-Predicted
2017-06-08,0.0,21.0,-21.0,Under-Predicted
2017-06-09,0.0,19.0,-19.0,Under-Predicted
2017-06-10,19.0,19.0,0.0,Predicted
2017-06-11,29.0,29.0,0.0,Predicted
2017-06-12,3.0,21.0,-18.0,Under-Predicted
2017-06-13,15.0,25.0,-10.0,Under-Predicted
2017-06-14,10.0,22.0,-12.0,Under-Predicted
2017-06-15,16.0,25.0,-9.0,Under-Predicted
2017-06-16,29.0,21.0,8.0,Over-Predicted
2017-06-17,10.0,17.0,-7.0,Under-Predicted
2017-06-18,24.0,24.0,0.0,Predicted
2017-06-19,18.0,18.0,0.0,Predicted
2017-06-20,21.0,21.0,0.0,Predicted
2017-06-21,25.0,24.0,1.0,Over-Predicted
2017-06-22,23.0,23.0,0.0,Predicted
2017-06-23,26.0,26.0,0.0,Predicted
2017-06-24,6.0,16.0,-10.0,Under-Predicted
2017-06-25,29.0,29.0,0.0,Predicted
2017-06-26,31.0,27.0,4.0,Over-Predicted
2017-06-27,0.0,30.0,-30.0,Under-Predicted
2017-06-28,27.0,28.0,-1.0,Under-Predicted
2017-06-29,25.0,25.0,0.0,Predicted
2017-06-30,27.0,22.0,5.0,Over-Predicted
2017-07-01,0.0,23.0,-23.0,Under-Predicted
2017-07-02,5.0,18.0,-13.0,Under-Predicted
2017-07-03,35.0,20.0,15.0,Over-Predicted
2017-07-04,17.0,17.0,0.0,Predicted
2017-07-05,38.0,25.0,13.0,Over-Predicted
2017-07-06,23.0,23.0,0.0,Predicted
2017-07-07,15.0,23.0,-8.0,Under-Predicted
2017-07-08,22.0,22.0,0.0,Predicted
2017-07-09,33.0,33.0,0.0,Predicted
2017-07-10,29.0,21.0,8.0,Over-Predicted
2017-07-11,20.0,20.0,0.0,Predicted
2017-07-12,22.0,22.0,0.0,Predicted
2017-07-13,20.0,20.0,0.0,Predicted
2017-07-14,29.0,26.0,3.0,Over-Predicted
2017-07-15,24.0,30.0,-6.0,Under-Predicted
2017-07-16,4.0,24.0,-20.0,Under-Predicted
2017-07-17,25.0,19.0,6.0,Over-Predicted
2017-07-18,26.0,26.0,0.0,Predicted
2017-07-19,17.0,24.0,-7.0,Under-Predicted
2017-07-20,25.0,25.0,0.0,Predicted
2017-07-21,25.0,25.0,0.0,Predicted
2017-07-22,0.0,21.0,-21.0,Under-Predicted
2017-07-23,27.0,23.0,4.0,Over-Predicted
2017-07-24,30.0,21.0,9.0,Over-Predicted
2017-07-25,20.0,19.0,1.0,Over-Predicted
2017-07-26,33.0,25.0,8.0,Over-Predicted
2017-07-27,28.0,27.0,1.0,Over-Predicted
2017-07-28,23.0,23.0,0.0,Predicted
2017-07-29,23.0,23.0,0.0,Predicted
2017-07-30,23.0,25.0,-2.0,Under-Predicted
2017-07-31,5.0,14.0,-9.0,Under-Predicted
2017-08-01,38.0,21.0,17.0,Over-Predicted
2017-08-02,32.0,23.0,9.0,Over-Predicted
2017-08-03,27.0,27.0,0.0,Predicted
2017-08-04,20.0,20.0,0.0,Predicted
2017-08-05,23.0,23.0,0.0,Predicted
2017-08-06,0.0,22.0,-22.0,Under-Predicted
2017-08-07,13.0,25.0,-12.0,Under-Predicted
2017-08-08,34.0,25.0,9.0,Over-Predicted
2017-08-09,24.0,24.0,0.0,Predicted
2017-08-10,46.0,25.0,21.0,Over-Predicted
2017-08-11,21.0,21.0,0.0,Predicted
2017-08-12,30.0,28.0,2.0,Over-Predicted
2017-08-13,23.0,24.0,-1.0,Under-Predicted
2017-08-14,21.0,21.0,0.0,Predicted
2017-08-15,25.0,21.0,4.0,Over-Predicted
2017-08-16,28.0,19.0,9.0,Over-Predicted
2017-08-17,25.0,25.0,0.0,Predicted
2017-08-18,8.0,28.0,-20.0,Under-Predicted
2017-08-19,24.0,24.0,0.0,Predicted
2017-08-20,22.0,22.0,0.0,Predicted
2017-08-21,18.0,18.0,0.0,Predicted
2017-08-22,27.0,27.0,0.0,Predicted
2017-08-23,18.0,18.0,0.0,Predicted
2017-08-24,26.0,26.0,0.0,Predicted
2017-08-25,24.0,24.0,0.0,Predicted
2017-08-26,20.0,20.0,0.0,Predicted
2017-08-27,22.0,22.0,0.0,Predicted
2017-08-28,21.0,21.0,0.0,Predicted
2017-08-29,26.0,26.0,0.0,Predicted
2017-08-30,12.0,26.0,-14.0,Under-Predicted
2017-08-31,32.0,27.0,5.0,Over-Predicted
2017-09-01,41.0,21.0,20.0,Over-Predicted
2017-09-02,32.0,32.0,0.0,Predicted
2017-09-03,44.0,39.0,5.0,Over-Predicted
2017-09-04,20.0,24.0,-4.0,Under-Predicted
2017-09-05,39.0,33.0,6.0,Over-Predicted
2017-09-06,34.0,34.0,0.0,Predicted
2017-09-07,15.0,26.0,-11.0,Under-Predicted
2017-09-08,23.0,26.0,-3.0,Under-Predicted
2017-09-09,36.0,30.0,6.0,Over-Predicted
2017-09-10,32.0,26.0,6.0,Over-Predicted
2017-09-11,29.0,32.0,-3.0,Under-Predicted
2017-09-12,27.0,27.0,0.0,Predicted
2017-09-13,29.0,29.0,0.0,Predicted
2017-09-14,34.0,34.0,0.0,Predicted
2017-09-15,24.0,33.0,-9.0,Under-Predicted
2017-09-16,29.0,29.0,0.0,Predicted
2017-09-17,35.0,25.0,10.0,Over-Predicted
2017-09-18,26.0,26.0,0.0,Predicted
2017-09-19,29.0,29.0,0.0,Predicted
2017-09-20,45.0,38.0,7.0,Over-Predicted
2017-09-21,20.0,28.0,-8.0,Under-Predicted
2017-09-22,20.0,22.0,-2.0,Under-Predicted
2017-09-23,25.0,35.0,-10.0,Under-Predicted
2017-09-24,43.0,32.0,11.0,Over-Predicted
2017-09-25,22.0,31.0,-9.0,Under-Predicted
2017-09-26,46.0,28.0,18.0,Over-Predicted
2017-09-27,32.0,32.0,0.0,Predicted
2017-09-28,25.0,29.0,-4.0,Under-Predicted
2017-09-29,35.0,35.0,0.0,Predicted
2017-09-30,35.0,35.0,0.0,Predicted
2017-10-01,20.0,28.0,-8.0,Under-Predicted
2017-10-02,42.0,33.0,9.0,Over-Predicted
2017-10-03,15.0,34.0,-19.0,Under-Predicted
2017-10-04,29.0,29.0,0.0,Predicted
2017-10-05,46.0,26.0,20.0,Over-Predicted
2017-10-06,29.0,30.0,-1.0,Under-Predicted
2017-10-07,24.0,34.0,-10.0,Under-Predicted
2017-10-08,39.0,34.0,5.0,Over-Predicted
