Date,Prediction,Actual,Delta,Comment
2017-01-01,35.0,30.0,5.0,Over-Predicted
2017-01-02,36.0,25.0,11.0,Over-Predicted
2017-01-03,20.0,20.0,0.0,Predicted
2017-01-04,31.0,37.0,-6.0,Under-Predicted
2017-01-05,25.0,25.0,0.0,Predicted
2017-01-06,22.0,18.0,4.0,Over-Predicted
2017-01-07,34.0,34.0,0.0,Predicted
2017-01-08,13.0,13.0,0.0,Predicted
2017-01-09,0.0,25.0,-25.0,Under-Predicted
2017-01-10,30.0,30.0,0.0,Predicted
2017-01-11,26.0,25.0,1.0,Over-Predicted
2017-01-12,40.0,44.0,-4.0,Under-Predicted
2017-01-13,42.0,48.0,-6.0,Under-Predicted
2017-01-14,58.0,44.0,14.0,Over-Predicted
2017-01-15,33.0,32.0,1.0,Over-Predicted
2017-01-16,26.0,16.0,10.0,Over-Predicted
2017-01-17,33.0,33.0,0.0,Predicted
2017-01-18,25.0,25.0,0.0,Predicted
2017-01-19,22.0,12.0,10.0,Over-Predicted
2017-01-20,16.0,22.0,-6.0,Under-Predicted
2017-01-21,33.0,33.0,0.0,Predicted
2017-01-22,19.0,20.0,-1.0,Under-Predicted
2017-01-23,19.0,29.0,-10.0,Under-Predicted
2017-01-24,28.0,28.0,0.0,Predicted
2017-01-25,24.0,24.0,0.0,Predicted
2017-01-26,38.0,38.0,0.0,Predicted
2017-01-27,36.0,26.0,10.0,Over-Predicted
2017-01-28,24.0,39.0,-15.0,Under-Predicted
2017-01-29,21.0,19.0,2.0,Over-Predicted
2017-01-30,3.0,23.0,-20.0,Under-Predicted
2017-01-31,45.0,45.0,0.0,Predicted
2017-02-01,33.0,33.0,0.0,Predicted
2017-02-02,16.0,16.0,0.0,Predicted
2017-02-03,25.0,25.0,0.0,Predicted
2017-02-04,27.0,27.0,0.0,Predicted
2017-02-05,15.0,20.0,-5.0,Under-Predicted
2017-02-06,27.0,27.0,0.0,Predicted
2017-02-07,43.0,37.0,6.0,Over-Predicted
2017-02-08,47.0,36.0,11.0,Over-Predicted
2017-02-09,5.0,13.0,-8.0,Under-Predicted
2017-02-10,36.0,40.0,-4.0,Under-Predicted
2017-02-11,18.0,15.0,3.0,Over-Predicted
2017-02-12,23.0,17.0,6.0,Over-Predicted
2017-02-13,28.0,28.0,0.0,Predicted
2017-02-14,12.0,11.0,1.0,Over-Predicted
2017-02-15,38.0,29.0,9.0,Over-Predicted
2017-02-16,35.0,28.0,7.0,Over-Predicted
2017-02-17,28.0,28.0,0.0,Predicted
2017-02-18,25.0,22.0,3.0,Over-Predicted
2017-02-19,17.0,17.0,0.0,Predicted
2017-02-20,28.0,28.0,0.0,Predicted
2017-02-21,14.0,14.0,0.0,Predicted
2017-02-22,8.0,8.0,0.0,Predicted
2017-02-23,35.0,35.0,0.0,Predicted
2017-02-24,37.0,37.0,0.0,Predicted
2017-02-25,23.0,19.0,4.0,Over-Predicted
2017-02-26,5.0,11.0,-6.0,Under-Predicted
2017-02-27,24.0,44.0,-20.0,Under-Predicted
2017-02-28,20.0,22.0,-2.0,Under-Predicted
2017-03-01,21.0,18.0,3.0,Over-Predicted
2017-03-02,10.0,21.0,-11.0,Under-Predicted
2017-03-03,24.0,24.0,0.0,Predicted
2017-03-04,26.0,27.0,-1.0,Under-Predicted
2017-03-05,15.0,20.0,-5.0,Under-Predicted
2017-03-06,0.0,10.0,-10.0,Under-Predicted
2017-03-07,50.0,50.0,0.0,Predicted
2017-03-08,30.0,34.0,-4.0,Under-Predicted
2017-03-09,29.0,29.0,0.0,Predicted
2017-03-10,25.0,25.0,0.0,Predicted
2017-03-11,47.0,28.0,19.0,Over-Predicted
2017-03-12,0.0,33.0,-33.0,Under-Predicted
2017-03-13,0.0,18.0,-18.0,Under-Predicted
2017-03-14,9.0,34.0,-25.0,Under-Predicted
2017-03-15,29.0,29.0,0.0,Predicted
2017-03-16,8.0,11.0,-3.0,Under-Predicted
2017-03-17,29.0,27.0,2.0,Over-Predicted
2017-03-18,33.0,33.0,0.0,Predicted
2017-03-19,13.0,23.0,-10.0,Under-Predicted
2017-03-20,9.0,8.0,1.0,Over-Predicted
2017-03-21,31.0,31.0,0.0,Predicted
2017-03-22,1.0,14.0,-13.0,Under-Predicted
2017-03-23,15.0,12.0,3.0,Over-Predicted
2017-03-24,21.0,21.0,0.0,Predicted
2017-03-25,38.0,38.0,0.0,Predicted
2017-03-26,21.0,21.0,0.0,Predicted
2017-03-27,32.0,33.0,-1.0,Under-Predicted
2017-03-28,34.0,25.0,9.0,Over-Predicted
2017-03-29,19.0,19.0,0.0,Predicted
2017-03-30,16.0,16.0,0.0,Predicted
2017-03-31,35.0,38.0,-3.0,Under-Predicted
2017-04-01,13.0,15.0,-2.0,Under-Predicted
2017-04-02,29.0,29.0,0.0,Predicted
2017-04-03,30.0,29.0,1.0,Over-Predicted
2017-04-04,24.0,24.0,0.0,Predicted
