Park,Date/Time,Wait Time
Universal Studios Singapore,2024-12-08 10:00:00,7
Universal Studios Singapore,2024-12-08 10:05:00,7
Universal Studios Singapore,2024-12-08 10:10:00,7
Universal Studios Singapore,2024-12-08 10:20:00,7
Universal Studios Singapore,2024-12-08 10:25:00,7
Universal Studios Singapore,2024-12-08 10:30:00,8
Universal Studios Singapore,2024-12-08 10:35:00,8
Universal Studios Singapore,2024-12-08 10:40:00,10
Universal Studios Singapore,2024-12-08 10:45:00,10
Universal Studios Singapore,2024-12-08 10:50:00,10
Universal Studios Singapore,2024-12-08 10:55:00,10
Universal Studios Singapore,2024-12-08 11:00:00,11
Universal Studios Singapore,2024-12-08 11:05:00,11
Universal Studios Singapore,2024-12-09 10:00:00,7
Universal Studios Singapore,2024-12-09 10:05:00,7
Universal Studios Singapore,2024-12-09 10:10:00,8
Universal Studios Singapore,2024-12-09 10:15:00,8
Universal Studios Singapore,2024-12-09 10:20:00,8
Universal Studios Singapore,2024-12-09 10:25:00,10
Universal Studios Singapore,2024-12-09 10:30:00,10
Universal Studios Singapore,2024-12-09 10:35:00,11
Universal Studios Singapore,2024-12-09 10:40:00,11
Universal Studios Singapore,2024-12-09 10:45:00,12
Universal Studios Singapore,2024-12-09 10:50:00,12
Universal Studios Singapore,2024-12-09 10:55:00,12
Universal Studios Singapore,2024-12-09 11:00:00,14
Universal Studios Singapore,2024-12-09 11:05:00,15
Universal Studios Singapore,2024-12-09 11:10:00,16
Universal Studios Singapore,2024-12-09 11:15:00,19
Universal Studios Singapore,2024-12-09 11:20:00,19
Universal Studios Singapore,2024-12-09 11:25:00,24
Universal Studios Singapore,2024-12-09 11:30:00,24
Universal Studios Singapore,2024-12-09 11:35:00,20
Universal Studios Singapore,2024-12-09 11:40:00,21
Universal Studios Singapore,2024-12-09 11:45:00,21
Universal Studios Singapore,2024-12-09 11:50:00,24
Universal Studios Singapore,2024-12-09 11:55:00,23
Universal Studios Singapore,2024-12-09 12:00:00,23
Universal Studios Singapore,2024-12-09 12:05:00,23
Universal Studios Singapore,2024-12-09 12:10:00,22
Universal Studios Singapore,2024-12-09 12:15:00,22
Universal Studios Singapore,2024-12-09 12:20:00,23
Universal Studios Singapore,2024-12-09 12:25:00,23
Universal Studios Singapore,2024-12-09 12:35:00,23
Universal Studios Singapore,2024-12-09 12:40:00,23
Universal Studios Singapore,2024-12-09 12:50:00,24
Universal Studios Singapore,2024-12-09 12:55:00,24
Universal Studios Singapore,2024-12-09 13:00:00,24
Universal Studios Singapore,2024-12-09 13:05:00,25
Universal Studios Singapore,2024-12-09 13:10:00,25
Universal Studios Singapore,2024-12-09 13:15:00,22
Universal Studios Singapore,2024-12-09 13:20:00,22
Universal Studios Singapore,2024-12-09 13:25:00,23
Universal Studios Singapore,2024-12-09 13:30:00,23
Universal Studios Singapore,2024-12-09 13:35:00,23
Universal Studios Singapore,2024-12-09 13:40:00,23
Universal Studios Singapore,2024-12-09 13:45:00,23
Universal Studios Singapore,2024-12-09 13:50:00,24
Universal Studios Singapore,2024-12-09 13:55:00,23
Universal Studios Singapore,2024-12-09 14:00:00,23
Universal Studios Singapore,2024-12-09 14:05:00,25
Universal Studios Singapore,2024-12-09 14:10:00,24
Universal Studios Singapore,2024-12-09 14:15:00,25
Universal Studios Singapore,2024-12-09 14:20:00,26
Universal Studios Singapore,2024-12-09 14:25:00,24
Universal Studios Singapore,2024-12-09 14:30:00,25
Universal Studios Singapore,2024-12-09 14:35:00,24
Universal Studios Singapore,2024-12-09 14:40:00,24
Universal Studios Singapore,2024-12-09 14:45:00,25
Universal Studios Singapore,2024-12-09 14:50:00,24
Universal Studios Singapore,2024-12-09 14:55:00,25
Universal Studios Singapore,2024-12-09 15:00:00,25
Universal Studios Singapore,2024-12-09 15:05:00,25
Universal Studios Singapore,2024-12-09 15:10:00,21
Universal Studios Singapore,2024-12-09 15:15:00,21
Universal Studios Singapore,2024-12-09 15:20:00,21
Universal Studios Singapore,2024-12-09 15:25:00,21
Universal Studios Singapore,2024-12-09 15:30:00,21
Universal Studios Singapore,2024-12-09 15:35:00,21
Universal Studios Singapore,2024-12-09 15:40:00,20
Universal Studios Singapore,2024-12-09 15:45:00,19
Universal Studios Singapore,2024-12-09 15:50:00,19
Universal Studios Singapore,2024-12-09 15:55:00,21
Universal Studios Singapore,2024-12-09 16:00:00,19
Universal Studios Singapore,2024-12-09 16:05:00,19
Universal Studios Singapore,2024-12-09 16:10:00,19
Universal Studios Singapore,2024-12-09 16:20:00,19
Universal Studios Singapore,2024-12-09 16:25:00,18
Universal Studios Singapore,2024-12-09 16:30:00,18
Universal Studios Singapore,2024-12-09 16:35:00,18
Universal Studios Singapore,2024-12-09 16:40:00,17
Universal Studios Singapore,2024-12-09 16:45:00,17
Universal Studios Singapore,2024-12-09 16:50:00,17
Universal Studios Singapore,2024-12-09 16:55:00,17
Universal Studios Singapore,2024-12-09 17:00:00,17
Universal Studios Singapore,2024-12-09 17:05:00,17
Universal Studios Singapore,2024-12-09 17:10:00,17
Universal Studios Singapore,2024-12-09 17:15:00,17
Universal Studios Singapore,2024-12-09 17:20:00,15
Universal Studios Singapore,2024-12-09 17:25:00,15
Universal Studios Singapore,2024-12-09 17:35:00,15
Universal Studios Singapore,2024-12-09 17:40:00,15
Universal Studios Singapore,2024-12-09 17:45:00,18
Universal Studios Singapore,2024-12-09 17:50:00,18
Universal Studios Singapore,2024-12-09 17:55:00,16
Universal Studios Singapore,2024-12-15 10:00:00,7
Universal Studios Singapore,2024-12-15 10:05:00,6
Universal Studios Singapore,2024-12-15 10:10:00,7
Universal Studios Singapore,2024-12-15 10:15:00,7
Universal Studios Singapore,2024-12-15 10:20:00,7
Universal Studios Singapore,2024-12-15 10:25:00,7
Universal Studios Singapore,2024-12-15 10:30:00,8
Universal Studios Singapore,2024-12-15 10:35:00,8
