Park,Date/Time,Wait Time
Universal Studios Singapore,2024-09-01 08:00:00,7
Universal Studios Singapore,2024-09-01 08:05:00,7
Universal Studios Singapore,2024-09-01 08:10:00,7
Universal Studios Singapore,2024-09-01 08:15:00,7
Universal Studios Singapore,2024-09-01 08:20:00,7
Universal Studios Singapore,2024-09-01 08:25:00,7
Universal Studios Singapore,2024-09-01 08:30:00,7
Universal Studios Singapore,2024-09-01 08:35:00,7
Universal Studios Singapore,2024-09-01 08:40:00,7
Universal Studios Singapore,2024-09-01 08:45:00,7
Universal Studios Singapore,2024-09-01 08:50:00,7
Universal Studios Singapore,2024-09-01 08:55:00,7
Universal Studios Singapore,2024-09-01 09:00:00,7
Universal Studios Singapore,2024-09-01 09:05:00,7
Universal Studios Singapore,2024-09-01 09:10:00,7
Universal Studios Singapore,2024-09-01 09:15:00,7
Universal Studios Singapore,2024-09-01 09:20:00,7
Universal Studios Singapore,2024-09-01 09:25:00,7
Universal Studios Singapore,2024-09-01 09:30:00,7
Universal Studios Singapore,2024-09-01 09:35:00,7
Universal Studios Singapore,2024-09-01 09:40:00,7
Universal Studios Singapore,2024-09-01 09:45:00,7
Universal Studios Singapore,2024-09-01 09:50:00,7
Universal Studios Singapore,2024-09-01 09:55:00,7
Universal Studios Singapore,2024-09-01 10:00:00,7
Universal Studios Singapore,2024-09-01 10:05:00,7
Universal Studios Singapore,2024-09-01 10:10:00,8
Universal Studios Singapore,2024-09-01 10:15:00,8
Universal Studios Singapore,2024-09-01 10:20:00,8
Universal Studios Singapore,2024-09-01 10:25:00,8
Universal Studios Singapore,2024-09-01 10:30:00,10
Universal Studios Singapore,2024-09-01 10:35:00,10
Universal Studios Singapore,2024-09-01 10:40:00,10
Universal Studios Singapore,2024-09-01 10:45:00,10
Universal Studios Singapore,2024-09-01 10:50:00,11
Universal Studios Singapore,2024-09-01 10:55:00,11
Universal Studios Singapore,2024-09-01 11:00:00,11
Universal Studios Singapore,2024-09-01 11:05:00,13
Universal Studios Singapore,2024-09-01 11:10:00,13
Universal Studios Singapore,2024-09-01 11:15:00,13
Universal Studios Singapore,2024-09-01 11:20:00,13
Universal Studios Singapore,2024-09-01 11:25:00,15
Universal Studios Singapore,2024-09-01 11:30:00,15
Universal Studios Singapore,2024-09-01 11:35:00,17
